Cluster_category,date_ym,records_month,valid_idmonth,distinct_id,records_cluster,valid_idcluster,distinct_idcluster,pre_1990_n_pct,n_clusters
COVID-19 activity,1990-01,445,445,385,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-02,70,70,60,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-03,65,65,55,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-04,70,70,55,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-05,70,70,60,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-06,100,100,85,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-07,70,70,65,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-08,95,95,80,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-09,80,80,70,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-10,95,95,80,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-11,100,100,85,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1990-12,80,80,75,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-01,465,465,405,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-02,90,90,75,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-03,95,95,80,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-04,115,115,100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-05,105,105,85,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-06,125,125,110,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-07,120,120,100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-08,105,105,85,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-09,115,115,100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-10,160,160,140,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-11,175,175,150,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1991-12,125,125,110,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-01,500,500,440,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-02,115,115,100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-03,125,125,100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-04,110,110,85,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-05,110,110,100,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-06,120,120,105,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-07,130,130,115,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-08,130,130,110,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-09,115,115,95,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-10,195,195,165,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-11,175,175,145,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1992-12,165,165,130,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-01,565,565,490,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-02,155,155,120,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-03,185,185,155,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-04,130,130,110,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-05,145,145,130,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-06,155,155,125,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-07,155,155,140,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-08,150,150,130,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-09,155,155,140,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-10,240,240,215,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-11,185,185,150,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1993-12,160,160,135,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-01,635,635,555,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-02,155,155,140,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-03,190,190,155,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-04,165,165,140,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-05,170,170,130,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-06,165,165,130,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-07,180,180,140,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-08,185,185,145,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-09,190,190,155,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-10,295,295,260,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-11,240,240,205,397774045,397774045,54786605,"9,200 (0.00%)",5
COVID-19 activity,1994-12,170,170,145,397774045,397774045,54786605,"9,200 (0.00%)",5
