Cluster_ID,date_ym,ConceptId_2,ConceptId_Description_2,_grp,n_codes,n
ANTIHYP_COD,1993-01,319283006,319283006: Product containing precisely amlodipine besilate 5 milligram/1 each conventional release oral tablet (clinical drug),1,null,10
ANTIHYP_COD,1995-07,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2000-04,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2003-01,319283006,319283006: Product containing precisely amlodipine besilate 5 milligram/1 each conventional release oral tablet (clinical drug),1,null,10
ANTIHYP_COD,2004-12,318906001,318906001: Product containing precisely ramipril 10 milligram/1 each conventional release oral capsule (clinical drug),2,null,10
ANTIHYP_COD,2005-01,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2007-09,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2008-03,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2008-07,319283006,319283006: Product containing precisely amlodipine besilate 5 milligram/1 each conventional release oral tablet (clinical drug),1,null,10
ANTIHYP_COD,2008-07,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2008-08,317972000,317972000: Product containing precisely furosemide 40 milligram/1 each conventional release oral tablet (clinical drug),9,null,10
ANTIHYP_COD,2008-08,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2008-09,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2008-12,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2009-03,,"Other codes (1,827)",99,1827,10
ANTIHYP_COD,2009-04,318902004,318902004: Product containing precisely ramipril 5 milligram/1 each conventional release oral capsule (clinical drug),7,null,10
ANTIHYP_COD,2009-05,318901006,318901006: Product containing precisely ramipril 2.5 milligram/1 each conventional release oral capsule (clinical drug),8,null,10
ANTIHYP_COD,2009-05,317972000,317972000: Product containing precisely furosemide 40 milligram/1 each conventional release oral tablet (clinical drug),9,null,10
ANTIHYP_COD,2009-07,319283006,319283006: Product containing precisely amlodipine besilate 5 milligram/1 each conventional release oral tablet (clinical drug),1,null,10
