Cluster_category,date_ym,n,n_id,n_id_distinct
COVID-19 activity,1990-01,445,445,385
COVID-19 activity,1990-02,70,70,60
COVID-19 activity,1990-03,65,65,55
COVID-19 activity,1990-04,70,70,55
COVID-19 activity,1990-05,70,70,60
COVID-19 activity,1990-06,100,100,85
COVID-19 activity,1990-07,70,70,65
COVID-19 activity,1990-08,95,95,80
COVID-19 activity,1990-09,80,80,70
COVID-19 activity,1990-10,95,95,80
COVID-19 activity,1990-11,100,100,85
COVID-19 activity,1990-12,80,80,75
COVID-19 activity,1991-01,465,465,405
COVID-19 activity,1991-02,90,90,75
COVID-19 activity,1991-03,95,95,80
COVID-19 activity,1991-04,115,115,100
COVID-19 activity,1991-05,105,105,85
COVID-19 activity,1991-06,125,125,110
COVID-19 activity,1991-07,120,120,100
COVID-19 activity,1991-08,105,105,85
COVID-19 activity,1991-09,115,115,100
COVID-19 activity,1991-10,160,160,140
COVID-19 activity,1991-11,175,175,150
COVID-19 activity,1991-12,125,125,110
COVID-19 activity,1992-01,500,500,440
COVID-19 activity,1992-02,115,115,100
COVID-19 activity,1992-03,125,125,100
COVID-19 activity,1992-04,110,110,85
COVID-19 activity,1992-05,110,110,100
COVID-19 activity,1992-06,120,120,105
COVID-19 activity,1992-07,130,130,115
COVID-19 activity,1992-08,130,130,110
COVID-19 activity,1992-09,115,115,95
COVID-19 activity,1992-10,195,195,165
COVID-19 activity,1992-11,175,175,145
COVID-19 activity,1992-12,165,165,130
COVID-19 activity,1993-01,565,565,490
COVID-19 activity,1993-02,155,155,120
COVID-19 activity,1993-03,185,185,155
COVID-19 activity,1993-04,130,130,110
COVID-19 activity,1993-05,145,145,130
COVID-19 activity,1993-06,155,155,125
COVID-19 activity,1993-07,155,155,140
COVID-19 activity,1993-08,150,150,130
COVID-19 activity,1993-09,155,155,140
COVID-19 activity,1993-10,240,240,215
COVID-19 activity,1993-11,185,185,150
COVID-19 activity,1993-12,160,160,135
COVID-19 activity,1994-01,635,635,555
COVID-19 activity,1994-02,155,155,140
COVID-19 activity,1994-03,190,190,155
COVID-19 activity,1994-04,165,165,140
COVID-19 activity,1994-05,170,170,130
COVID-19 activity,1994-06,165,165,130
COVID-19 activity,1994-07,180,180,140
COVID-19 activity,1994-08,185,185,145
COVID-19 activity,1994-09,190,190,155
COVID-19 activity,1994-10,295,295,260
COVID-19 activity,1994-11,240,240,205
COVID-19 activity,1994-12,170,170,145
COVID-19 activity,1995-01,650,650,540
COVID-19 activity,1995-02,160,160,145
COVID-19 activity,1995-03,195,195,150
COVID-19 activity,1995-04,195,195,150
COVID-19 activity,1995-05,210,210,165
COVID-19 activity,1995-06,230,230,190
COVID-19 activity,1995-07,260,260,210
COVID-19 activity,1995-08,215,215,185
COVID-19 activity,1995-09,255,255,200
COVID-19 activity,1995-10,405,405,330
COVID-19 activity,1995-11,400,400,330
COVID-19 activity,1995-12,250,250,205
COVID-19 activity,1996-01,740,740,620
COVID-19 activity,1996-02,240,240,200
COVID-19 activity,1996-03,245,245,205
COVID-19 activity,1996-04,270,270,215
COVID-19 activity,1996-05,270,270,225
COVID-19 activity,1996-06,320,320,265
COVID-19 activity,1996-07,340,340,275
COVID-19 activity,1996-08,295,295,245
COVID-19 activity,1996-09,345,345,295
COVID-19 activity,1996-10,500,500,410
COVID-19 activity,1996-11,390,390,325
COVID-19 activity,1996-12,335,335,270
COVID-19 activity,1997-01,905,905,755
COVID-19 activity,1997-02,390,390,310
COVID-19 activity,1997-03,385,385,320
COVID-19 activity,1997-04,400,400,320
COVID-19 activity,1997-05,370,370,305
COVID-19 activity,1997-06,375,375,305
COVID-19 activity,1997-07,420,420,350
COVID-19 activity,1997-08,315,315,265
COVID-19 activity,1997-09,390,390,330
COVID-19 activity,1997-10,540,540,460
COVID-19 activity,1997-11,360,360,290
COVID-19 activity,1997-12,325,325,270
COVID-19 activity,1998-01,965,965,830
COVID-19 activity,1998-02,380,380,295
COVID-19 activity,1998-03,475,475,380
COVID-19 activity,1998-04,385,385,310
COVID-19 activity,1998-05,405,405,345
COVID-19 activity,1998-06,420,420,350
COVID-19 activity,1998-07,470,470,395
COVID-19 activity,1998-08,415,415,335
COVID-19 activity,1998-09,455,455,380
COVID-19 activity,1998-10,575,575,470
COVID-19 activity,1998-11,585,585,460
COVID-19 activity,1998-12,460,460,375
COVID-19 activity,1999-01,1025,1025,850
COVID-19 activity,1999-02,560,560,430
COVID-19 activity,1999-03,630,630,485
COVID-19 activity,1999-04,490,490,400
COVID-19 activity,1999-05,550,550,435
COVID-19 activity,1999-06,550,550,430
COVID-19 activity,1999-07,570,570,455
COVID-19 activity,1999-08,495,495,405
COVID-19 activity,1999-09,570,570,455
COVID-19 activity,1999-10,515,515,440
COVID-19 activity,1999-11,540,540,445
COVID-19 activity,1999-12,470,470,385
COVID-19 activity,2000-01,985,985,825
COVID-19 activity,2000-02,550,550,455
COVID-19 activity,2000-03,645,645,505
COVID-19 activity,2000-04,475,475,400
COVID-19 activity,2000-05,565,565,470
COVID-19 activity,2000-06,620,620,495
COVID-19 activity,2000-07,580,580,495
COVID-19 activity,2000-08,585,585,480
COVID-19 activity,2000-09,590,590,465
COVID-19 activity,2000-10,655,655,525
COVID-19 activity,2000-11,665,665,565
COVID-19 activity,2000-12,535,535,435
COVID-19 activity,2001-01,1135,1135,935
COVID-19 activity,2001-02,600,600,490
COVID-19 activity,2001-03,770,770,590
COVID-19 activity,2001-04,680,680,540
COVID-19 activity,2001-05,735,735,590
COVID-19 activity,2001-06,710,710,580
COVID-19 activity,2001-07,665,665,520
COVID-19 activity,2001-08,630,630,490
COVID-19 activity,2001-09,625,625,500
COVID-19 activity,2001-10,780,780,590
COVID-19 activity,2001-11,770,770,595
COVID-19 activity,2001-12,655,655,500
COVID-19 activity,2002-01,1210,1210,980
COVID-19 activity,2002-02,740,740,560
COVID-19 activity,2002-03,805,805,600
COVID-19 activity,2002-04,815,815,610
COVID-19 activity,2002-05,905,905,655
COVID-19 activity,2002-06,735,735,555
COVID-19 activity,2002-07,890,890,645
COVID-19 activity,2002-08,820,820,615
COVID-19 activity,2002-09,790,790,600
COVID-19 activity,2002-10,900,900,690
COVID-19 activity,2002-11,850,850,640
COVID-19 activity,2002-12,775,775,580
COVID-19 activity,2003-01,1345,1345,1020
COVID-19 activity,2003-02,895,895,665
COVID-19 activity,2003-03,915,915,680
COVID-19 activity,2003-04,800,800,590
COVID-19 activity,2003-05,850,850,640
COVID-19 activity,2003-06,865,865,655
COVID-19 activity,2003-07,930,930,685
COVID-19 activity,2003-08,725,725,555
COVID-19 activity,2003-09,900,900,705
COVID-19 activity,2003-10,1175,1175,865
COVID-19 activity,2003-11,940,940,750
COVID-19 activity,2003-12,935,935,745
COVID-19 activity,2004-01,1520,1520,1200
COVID-19 activity,2004-02,1065,1065,845
COVID-19 activity,2004-03,1200,1200,950
COVID-19 activity,2004-04,1050,1050,815
COVID-19 activity,2004-05,1035,1035,795
COVID-19 activity,2004-06,1160,1160,860
COVID-19 activity,2004-07,1095,1095,855
COVID-19 activity,2004-08,1110,1110,845
COVID-19 activity,2004-09,1110,1110,870
COVID-19 activity,2004-10,1045,1045,815
COVID-19 activity,2004-11,1215,1215,955
COVID-19 activity,2004-12,1030,1030,820
COVID-19 activity,2005-01,1440,1440,1150
COVID-19 activity,2005-02,1110,1110,855
COVID-19 activity,2005-03,1235,1235,960
COVID-19 activity,2005-04,1185,1185,935
COVID-19 activity,2005-05,1025,1025,775
COVID-19 activity,2005-06,1095,1095,800
COVID-19 activity,2005-07,1120,1120,830
COVID-19 activity,2005-08,1085,1085,810
COVID-19 activity,2005-09,1100,1100,820
COVID-19 activity,2005-10,1090,1090,815
COVID-19 activity,2005-11,1190,1190,905
COVID-19 activity,2005-12,1035,1035,770
COVID-19 activity,2006-01,1530,1530,1160
COVID-19 activity,2006-02,1080,1080,815
COVID-19 activity,2006-03,1320,1320,975
COVID-19 activity,2006-04,1050,1050,800
COVID-19 activity,2006-05,1160,1160,875
COVID-19 activity,2006-06,1320,1320,975
COVID-19 activity,2006-07,1100,1100,815
COVID-19 activity,2006-08,1240,1240,930
COVID-19 activity,2006-09,1415,1415,1025
COVID-19 activity,2006-10,1450,1450,1065
COVID-19 activity,2006-11,1460,1460,1070
COVID-19 activity,2006-12,1180,1180,860
COVID-19 activity,2007-01,1800,1800,1355
COVID-19 activity,2007-02,1350,1350,1015
COVID-19 activity,2007-03,1570,1570,1120
COVID-19 activity,2007-04,1265,1265,925
COVID-19 activity,2007-05,1355,1355,1000
COVID-19 activity,2007-06,1315,1315,965
COVID-19 activity,2007-07,1490,1490,1095
COVID-19 activity,2007-08,1395,1395,1025
COVID-19 activity,2007-09,1285,1285,960
COVID-19 activity,2007-10,1495,1495,1105
COVID-19 activity,2007-11,1420,1420,1045
COVID-19 activity,2007-12,1175,1175,900
COVID-19 activity,2008-01,1805,1805,1350
COVID-19 activity,2008-02,1460,1460,1100
COVID-19 activity,2008-03,1460,1460,1075
COVID-19 activity,2008-04,1565,1565,1095
COVID-19 activity,2008-05,1430,1430,1045
COVID-19 activity,2008-06,1525,1525,1115
COVID-19 activity,2008-07,1630,1630,1170
COVID-19 activity,2008-08,1355,1355,1015
COVID-19 activity,2008-09,1590,1590,1165
COVID-19 activity,2008-10,1620,1620,1160
COVID-19 activity,2008-11,1535,1535,1100
COVID-19 activity,2008-12,1435,1435,1060
COVID-19 activity,2009-01,1985,1985,1470
COVID-19 activity,2009-02,1715,1715,1230
COVID-19 activity,2009-03,1790,1790,1295
COVID-19 activity,2009-04,1635,1635,1180
COVID-19 activity,2009-05,1580,1580,1160
COVID-19 activity,2009-06,1775,1775,1310
COVID-19 activity,2009-07,1690,1690,1245
COVID-19 activity,2009-08,1605,1605,1175
COVID-19 activity,2009-09,1765,1765,1290
COVID-19 activity,2009-10,1765,1765,1310
COVID-19 activity,2009-11,1750,1750,1290
COVID-19 activity,2009-12,1625,1625,1195
COVID-19 activity,2010-01,1960,1960,1485
COVID-19 activity,2010-02,1790,1790,1300
COVID-19 activity,2010-03,2410,2410,1680
COVID-19 activity,2010-04,2900,2900,1915
COVID-19 activity,2010-05,2910,2910,1960
COVID-19 activity,2010-06,3495,3495,2295
COVID-19 activity,2010-07,3525,3525,2305
COVID-19 activity,2010-08,3410,3410,2235
COVID-19 activity,2010-09,3885,3885,2560
COVID-19 activity,2010-10,3445,3445,2310
COVID-19 activity,2010-11,3960,3960,2605
COVID-19 activity,2010-12,3275,3275,2210
COVID-19 activity,2011-01,4505,4505,3030
COVID-19 activity,2011-02,3865,3865,2600
COVID-19 activity,2011-03,4435,4435,2990
COVID-19 activity,2011-04,3305,3305,2205
COVID-19 activity,2011-05,4020,4020,2645
COVID-19 activity,2011-06,4185,4185,2790
COVID-19 activity,2011-07,3895,3895,2560
COVID-19 activity,2011-08,3950,3950,2645
COVID-19 activity,2011-09,4280,4280,2780
COVID-19 activity,2011-10,4090,4090,2680
COVID-19 activity,2011-11,4480,4480,2930
COVID-19 activity,2011-12,3810,3810,2510
COVID-19 activity,2012-01,5065,5065,3375
COVID-19 activity,2012-02,4295,4295,2835
COVID-19 activity,2012-03,4640,4640,3045
COVID-19 activity,2012-04,4025,4025,2645
COVID-19 activity,2012-05,4715,4715,3075
COVID-19 activity,2012-06,4120,4120,2690
COVID-19 activity,2012-07,4435,4435,2840
COVID-19 activity,2012-08,4235,4235,2720
COVID-19 activity,2012-09,4180,4180,2710
COVID-19 activity,2012-10,4870,4870,3095
COVID-19 activity,2012-11,4620,4620,2975
COVID-19 activity,2012-12,3770,3770,2495
COVID-19 activity,2013-01,5085,5085,3330
COVID-19 activity,2013-02,4110,4110,2745
COVID-19 activity,2013-03,4115,4115,2705
COVID-19 activity,2013-04,4440,4440,2900
COVID-19 activity,2013-05,4225,4225,2765
COVID-19 activity,2013-06,3975,3975,2655
COVID-19 activity,2013-07,4560,4560,3015
COVID-19 activity,2013-08,4050,4050,2680
COVID-19 activity,2013-09,4235,4235,2820
COVID-19 activity,2013-10,4765,4765,3110
COVID-19 activity,2013-11,4245,4245,2845
COVID-19 activity,2013-12,3715,3715,2540
COVID-19 activity,2014-01,5180,5180,3480
COVID-19 activity,2014-02,4090,4090,2775
COVID-19 activity,2014-03,4500,4500,2995
COVID-19 activity,2014-04,4290,4290,2855
COVID-19 activity,2014-05,4430,4430,2970
COVID-19 activity,2014-06,4630,4630,3090
COVID-19 activity,2014-07,4955,4955,3300
COVID-19 activity,2014-08,4220,4220,2820
COVID-19 activity,2014-09,4935,4935,3260
COVID-19 activity,2014-10,4945,4945,3255
COVID-19 activity,2014-11,4505,4505,3015
COVID-19 activity,2014-12,4380,4380,2920
COVID-19 activity,2015-01,5195,5195,3535
COVID-19 activity,2015-02,4355,4355,2965
COVID-19 activity,2015-03,4770,4770,3305
COVID-19 activity,2015-04,4300,4300,2925
COVID-19 activity,2015-05,3915,3915,2700
COVID-19 activity,2015-06,4550,4550,3110
COVID-19 activity,2015-07,4535,4535,3135
COVID-19 activity,2015-08,3865,3865,2700
COVID-19 activity,2015-09,4700,4700,3255
COVID-19 activity,2015-10,4505,4505,3145
COVID-19 activity,2015-11,4740,4740,3220
COVID-19 activity,2015-12,4335,4335,3000
COVID-19 activity,2016-01,5075,5075,3595
COVID-19 activity,2016-02,4850,4850,3390
COVID-19 activity,2016-03,4820,4820,3340
COVID-19 activity,2016-04,4720,4720,3325
COVID-19 activity,2016-05,4495,4495,3205
COVID-19 activity,2016-06,5070,5070,3490
COVID-19 activity,2016-07,4835,4835,3330
COVID-19 activity,2016-08,5070,5070,3505
COVID-19 activity,2016-09,5080,5080,3450
COVID-19 activity,2016-10,4915,4915,3440
COVID-19 activity,2016-11,5345,5345,3670
COVID-19 activity,2016-12,4580,4580,3150
COVID-19 activity,2017-01,5725,5725,3910
COVID-19 activity,2017-02,5095,5095,3520
COVID-19 activity,2017-03,6065,6065,4135
COVID-19 activity,2017-04,4880,4880,3325
COVID-19 activity,2017-05,5240,5240,3595
COVID-19 activity,2017-06,5605,5605,3795
COVID-19 activity,2017-07,5175,5175,3565
COVID-19 activity,2017-08,5440,5440,3655
COVID-19 activity,2017-09,103965,103965,71160
COVID-19 activity,2017-10,240820,240820,163195
COVID-19 activity,2017-11,83430,83430,55400
COVID-19 activity,2017-12,24360,24360,16255
COVID-19 activity,2018-01,21560,21560,14465
COVID-19 activity,2018-02,10235,10235,7005
COVID-19 activity,2018-03,7725,7725,5230
COVID-19 activity,2018-04,5325,5325,3605
COVID-19 activity,2018-05,5475,5475,3740
COVID-19 activity,2018-06,5440,5440,3740
COVID-19 activity,2018-07,5775,5775,3965
COVID-19 activity,2018-08,5665,5665,3875
COVID-19 activity,2018-09,94190,94190,68160
