date_y,date_m,Type,N,production_date,table_name
2020,6,N_row,1321471,2022-03-31,hes_apc
2020,6,N_valid_id,1321471,2022-03-31,hes_apc
2020,6,N_distinct_id,809689,2022-03-31,hes_apc
2019,4,N_row,1861727,2022-03-31,hes_apc
2019,4,N_valid_id,1861727,2022-03-31,hes_apc
2019,4,N_distinct_id,1257680,2022-03-31,hes_apc
2019,6,N_row,1834091,2022-03-31,hes_apc
2019,6,N_valid_id,1834091,2022-03-31,hes_apc
2019,6,N_distinct_id,1258577,2022-03-31,hes_apc
2020,11,N_row,1620139,2022-03-31,hes_apc
2020,11,N_valid_id,1620139,2022-03-31,hes_apc
2020,11,N_distinct_id,1074279,2022-03-31,hes_apc
2020,9,N_row,1638248,2022-03-31,hes_apc
2020,9,N_valid_id,1638248,2022-03-31,hes_apc
2020,9,N_distinct_id,1068908,2022-03-31,hes_apc
2020,5,N_row,1124889,2022-03-31,hes_apc
2020,5,N_valid_id,1124889,2022-03-31,hes_apc
2020,5,N_distinct_id,679129,2022-03-31,hes_apc
2020,8,N_row,1493432,2022-03-31,hes_apc
2020,8,N_valid_id,1493432,2022-03-31,hes_apc
2020,8,N_distinct_id,961241,2022-03-31,hes_apc
2021,9,N_row,1769575,2022-03-31,hes_apc
2021,9,N_valid_id,1769575,2022-03-31,hes_apc
2021,9,N_distinct_id,1189597,2022-03-31,hes_apc
2021,11,N_row,1782542,2022-03-31,hes_apc
2021,11,N_valid_id,1782542,2022-03-31,hes_apc
2021,11,N_distinct_id,1208661,2022-03-31,hes_apc
2019,7,N_row,1987034,2022-03-31,hes_apc
2019,7,N_valid_id,1987034,2022-03-31,hes_apc
2019,7,N_distinct_id,1340920,2022-03-31,hes_apc
2018,6,N_row,1823233,2022-03-31,hes_apc
2018,6,N_valid_id,1823233,2022-03-31,hes_apc
2018,6,N_distinct_id,1249489,2022-03-31,hes_apc
2019,5,N_row,1928525,2022-03-31,hes_apc
2019,5,N_valid_id,1928525,2022-03-31,hes_apc
2019,5,N_distinct_id,1299285,2022-03-31,hes_apc
2019,1,N_row,1968368,2022-03-31,hes_apc
2019,1,N_valid_id,1968368,2022-03-31,hes_apc
2019,1,N_distinct_id,1329413,2022-03-31,hes_apc
2021,6,N_row,1844507,2022-03-31,hes_apc
2021,6,N_valid_id,1844507,2022-03-31,hes_apc
2021,6,N_distinct_id,1233965,2022-03-31,hes_apc
2021,10,N_row,1741757,2022-03-31,hes_apc
2021,10,N_valid_id,1741757,2022-03-31,hes_apc
2021,10,N_distinct_id,1178756,2022-03-31,hes_apc
2020,10,N_row,1689807,2022-03-31,hes_apc
2020,10,N_valid_id,1689807,2022-03-31,hes_apc
2020,10,N_distinct_id,1112075,2022-03-31,hes_apc
2018,7,N_row,1884177,2022-03-31,hes_apc
2018,7,N_valid_id,1884177,2022-03-31,hes_apc
2018,7,N_distinct_id,1277413,2022-03-31,hes_apc
2019,11,N_row,1925481,2022-03-31,hes_apc
2019,11,N_valid_id,1925481,2022-03-31,hes_apc
2019,11,N_distinct_id,1319611,2022-03-31,hes_apc
2021,4,N_row,1700719,2022-03-31,hes_apc
2021,4,N_valid_id,1700719,2022-03-31,hes_apc
2021,4,N_distinct_id,1124501,2022-03-31,hes_apc
