dataset,date_ym,n,n_id,n_id_distinct,archived_on
chess,"",10.0,10.0,10.0,2023-03-31
chess,2000-10,10.0,10.0,10.0,2023-03-31
chess,2001-01,55.0,55.0,50.0,2023-03-31
chess,2001-02,10.0,10.0,10.0,2023-03-31
chess,2001-05,10.0,10.0,10.0,2023-03-31
chess,2001-07,10.0,10.0,10.0,2023-03-31
chess,2001-09,10.0,10.0,10.0,2023-03-31
chess,2001-11,10.0,10.0,10.0,2023-03-31
chess,2001-12,10.0,10.0,10.0,2023-03-31
chess,2011-12,10.0,10.0,10.0,2023-03-31
chess,2018-07,10.0,0.0,0.0,2023-03-31
chess,2019-01,10.0,10.0,10.0,2023-03-31
chess,2019-03,10.0,10.0,10.0,2023-03-31
chess,2019-05,10.0,10.0,10.0,2023-03-31
chess,2019-06,10.0,10.0,10.0,2023-03-31
chess,2019-08,10.0,10.0,10.0,2023-03-31
chess,2019-09,10.0,10.0,10.0,2023-03-31
chess,2019-10,10.0,10.0,10.0,2023-03-31
chess,2019-11,15.0,15.0,15.0,2023-03-31
chess,2019-12,40.0,40.0,40.0,2023-03-31
chess,2020-01,160.0,160.0,150.0,2023-03-31
chess,2020-02,390.0,390.0,350.0,2023-03-31
chess,2020-03,8900.0,8825.0,7895.0,2023-03-31
chess,2020-04,13695.0,13590.0,12020.0,2023-03-31
chess,2020-05,3860.0,3840.0,3545.0,2023-03-31
chess,2020-06,1610.0,1600.0,1445.0,2023-03-31
chess,2020-07,535.0,530.0,505.0,2023-03-31
chess,2020-08,495.0,490.0,430.0,2023-03-31
chess,2020-09,1320.0,1310.0,1215.0,2023-03-31
chess,2020-10,4240.0,4220.0,3945.0,2023-03-31
chess,2020-11,5735.0,5710.0,5370.0,2023-03-31
chess,2020-12,6355.0,6325.0,6005.0,2023-03-31
chess,2021-01,11080.0,11030.0,10415.0,2023-03-31
chess,2021-02,4095.0,4075.0,3865.0,2023-03-31
chess,2021-03,1315.0,1305.0,1230.0,2023-03-31
chess,2021-04,450.0,445.0,425.0,2023-03-31
chess,2021-05,335.0,330.0,310.0,2023-03-31
chess,2021-06,675.0,670.0,630.0,2023-03-31
chess,2021-07,2190.0,2175.0,2080.0,2023-03-31
chess,2021-08,2660.0,2645.0,2500.0,2023-03-31
chess,2021-09,2300.0,2280.0,2165.0,2023-03-31
chess,2021-10,2990.0,2970.0,2860.0,2023-03-31
chess,2021-11,2710.0,2690.0,2610.0,2023-03-31
chess,2021-12,3380.0,3360.0,3275.0,2023-03-31
chess,2022-01,4355.0,4330.0,4230.0,2023-03-31
chess,2022-02,2650.0,2640.0,2580.0,2023-03-31
chess,2022-03,4245.0,4225.0,4125.0,2023-03-31
