dataset,column_name,completeness
chess,AdmissionCOVID19,0.958
chess,AdmissionFlu,0.456
chess,AdmissionRSV,0.431
chess,AdmittedToICU,1.0
chess,AgeMonth,0.999
chess,AgeYear,0.999
chess,AsthmaRequiring,0.95
chess,AsymptomaticTesting,0.445
chess,CaseId,1.0
chess,ChronicHeart,0.951
chess,ChronicLiver,0.778
chess,ChronicNeurological,0.95
chess,ChronicRenal,0.95
chess,ChronicRespiratory,0.951
chess,Covid19,1.0
chess,DateAdmittedICU,0.255
chess,DateLeavingICU,0.204
chess,DateUpdated,0.634
chess,DiabetesType,0.116
chess,EstimatedDateOnset,0.561
chess,Ethnicity,0.97
chess,FinalOutcome,0.976
chess,FinalOutcomeDate,0.889
chess,GestationWeek,0.157
chess,Highflownasaloxygen,1.0
chess,HospitalAdmissionAdmittedFrom,0.957
chess,HospitalAdmissionDate,1.0
chess,Hypertension,0.953
chess,ImmunosuppressionDisease,0.949
chess,ImmunosuppressionTreatment,0.949
chess,InfectionSwabDate,0.943
chess,InfluenzaAH1N1pdm2009,0.0
chess,InfluenzaAH3N2,0.0
chess,InfluenzaAnonsubtyped,0.0
chess,InfluenzaAunsubtypable,0.0
chess,InfluenzaB,0.0
chess,Invasivemechanicalventilation,1.0
chess,IsARDSComplication,0.081
chess,IsDiabetes,0.78
chess,LabTestDate,0.982
chess,Mechanicalinvasiveventilationduration,0.0
chess,NoninvasiveMechanicalventilation,1.0
chess,ObesityBMI,0.601
chess,ObesityClinical,0.949
chess,Oxygenviacannulaeormask,1.0
chess,PERSON_ID_DEID,0.994
chess,PatientStillOnICU,0.253
chess,Pregnancy,0.694
chess,Prematurity,0.553
chess,RSV,0.0
chess,RespiratorySupportECMO,1.0
chess,RespiratorySupportNone,1.0
chess,RespiratorySupportUnknown,0.887
chess,SBPDate,0.052
chess,SBPOrganismName,0.025
chess,SBPOther,0.0
chess,SeriousMentalIllness,0.584
chess,Sex,1.0
chess,TransferDestination,0.074
chess,TravelIn14Days,0.656
chess,TrustCode,1.0
chess,TrustName,1.0
chess,Typeofspecimen,1.0
chess,WeekNo,1.0
chess,WeekofAdmission,1.0
chess,WorksAsHealthcareWorker,0.949
chess,YearofAdmission,1.0
covid_antibody_testing_pillar3,AccessionDate,1.0
covid_antibody_testing_pillar3,AdministrationMethod,0.0
covid_antibody_testing_pillar3,Analyser,1.0
covid_antibody_testing_pillar3,AppointmentDate,1.0
covid_antibody_testing_pillar3,CareHomeRole,0.161
covid_antibody_testing_pillar3,Country,1.0
covid_antibody_testing_pillar3,County,0.999
covid_antibody_testing_pillar3,CovidSymptomatic,1.0
covid_antibody_testing_pillar3,DateOfOnset,0.564
covid_antibody_testing_pillar3,DateOfPositiveTest,0.541
covid_antibody_testing_pillar3,IndustrySector,0.523
covid_antibody_testing_pillar3,KeyWorkerID,0.959
