Group,Title,Dataset,Nation,Key
Primary,GDPPR,gdppr,England,Dataset available 
Secondary Care,HES - Admitted Patient Care,test1,England,Dataset available 
Secondary Care,HES - Outpatient,test2,England,Dataset available 
Secondary Care,HES - Critical Care,test3,England,Dataset available 
Secondary Care,HES - Accident & Emergency,hes_ae_all_years,England,Dataset available 
Secondary Care,SUS,test4,England,Dataset available 
Secondary Care,Uncurated Low Latency Hospital Data,test5,England,Dataset available 
Secondary Care,Emergency Care Data Set,test6,England,Dataset available 
Covid-19 Lab Tests,"SGSS (Pillar 1, 2 – positive results only)",test7,England,Dataset available 
Covid-19 Lab Tests,Pillar 2 Antigen (positive and negative),test8,England,Dataset available 
Covid-19 Lab Tests,Pillar 3 Antibody (positive and negative),covid_antibody_testing_pillar3,England,Dataset available 
Covid-19 Lab Tests,Variant strain data (COG-UK),test10,England,Dataset requested
Covid-19 Vaccinations,Covid-19 vaccination events,test11,England,Dataset available 
Covid-19 Vaccinations,Covid-19 vaccination adverse reactions,test12,England,Dataset available 
Deaths,Civil Registry Deaths,deaths,England,Dataset available 
ITU,ICNARC COVID,test14,England,Dataset available 
ITU/HDU Admissions,(COVID-19 SARI-Watch - formerly CHESS),test15,England,Dataset available 
Prescribing/Dispensing,NHS BSA Dispensed Medicines,test16,England,Dataset available 
Prescribing/Dispensing,Secondary care prescribed medicines,test17,England,Dataset available 
NICOR CVD Audits,"PCI, MINAP, NHFA, NCHDA, NACRM, NACSA",test18,England,Dataset available 
NICOR CVD Audits,TAVI,test19,England,Dataset requested
Stroke Audit,SSNAP,test20,England,Dataset available 
National Vascular Registry,NVR,test21,England,Dataset requested
Other,Improving Access to Psychological Therapies (IAPT v2.0),test22,England,Dataset available 
Other,Maternity Services Data Set,test23,England,Dataset requested
Other,Mental Health Data Set,test24,England,Dataset requested
Other,Mental Health of Children and Young People,test25,England,Dataset requested
Other,Patient Reported Outcome Measures,test26,England,Dataset requested
Primary,Primary Care,test27,Scotland,Dataset available 
Secondary Care,Outpatient Appointments / Attendances - Scottish Morbidity Record (SMR00),test28,Scotland,Dataset available 
Secondary Care,General Acute Inpatient and Day Case - Scottish Morbidity Record (SMR01),test29,Scotland,Dataset available 
Secondary Care,Accident & Emergency,test30,Scotland,Dataset available 
Covid-19 Lab Tests,COVID Tests (lab/lighthouse testing),test31,Scotland,Dataset available 
Covid-19 Lab Tests,(ECOSS),test32,Scotland,Dataset available 
Covid-19 Lab Tests,Variant strain data (COG-UK),test33,Scotland,Dataset available 
Covid-19 Vaccinations,Vaccination Data,test34,Scotland,Dataset available 
Deaths,Deaths,test35,Scotland,Dataset available 
ITU,"SICSAG Daily, Episodes",test36,Scotland,Dataset available 
Prescribing/Dispensing,"PIS: Dispensed, Prescribed, Paid",test37,Scotland,Dataset available 
Prescribing/Dispensing,ePrescribing,test38,Scotland,Dataset requested
Stroke Audit,Scottish Stroke Care Audit (SSCA),test39,Scotland,Dataset available 
Other,Diabetes Covariates,test40,Scotland,Dataset available 
Other,Scottish Renal Registry,test41,Scotland,Dataset available 
Other,Maternity Inpatient and Day Case - Scottish Morbidity Record (SMR02),test42,Scotland,Dataset requested
Primary,General Practice Monthly/Daily COVID,test43,Wales,Dataset available 
Secondary Care,Critical Care Dataset,test44,Wales,Dataset available 
Secondary Care,Emergency Department Daily/Monthly,test45,Wales,Dataset available 
Secondary Care,Outpatient Dataset for Wales,test46,Wales,Dataset available 
Secondary Care,Outpatient Referral Dataset,test47,Wales,Dataset available 
Secondary Care,Patient Episode Dataset,test48,Wales,Dataset available 
Covid-19 Lab Tests,"LIMS (Pillar 1, 2, 3)",test49,Wales,Dataset available 
Covid-19 Lab Tests,ONS COVID-19 Infection Survey*,test50,Wales,Dataset requested
Covid-19 Lab Tests,"Test, Trace & Protect",test51,Wales,Dataset available 
Covid-19 Lab Tests,Shielded People,test52,Wales,Dataset available 
Covid-19 Lab Tests,Variant strain data (COG-UK)*,test53,Wales,Dataset available 
Covid-19 Vaccinations,Covid Vaccination Dataset,test54,Wales,Dataset available 
Deaths,Annual District Death Daily/Monthly,test55,Wales,Dataset available 
Deaths,Consolidated Death Data Source,test56,Wales,Dataset available 
ITU,ICNARC Quarterly/Weekly COVID,test57,Wales,Dataset available 
Prescribing/Dispensing,Wales Dispensing Dataset,test58,Wales,Dataset available 
NICOR CVD Audits,NICOR Audits and Registers (pending approvals),test59,Wales,Dataset requested
Stroke Audit,HQIP Stroke Audit (pending approvals),test60,Wales,Dataset requested
National Vascular Registry,NVR (pending approvals),test61,Wales,Dataset requested
Other,Annual District Birth Extract,test62,Wales,Dataset available 
Other,Care Homes Index,test63,Wales,Dataset available 
Other,Maternity Indicators Dataset,test64,Wales,Dataset available 
Other,Congenital Anomaly Register (CARIS),test65,Wales,Dataset available 
Other,National Community Child Health,test66,Wales,Dataset available 
Other,ONS Census (2011)*,test67,Wales,Dataset available 
Other,Referral to Treatment Times,test68,Wales,Dataset available 
Other,SAIL Dementia e-Cohort,test69,Wales,Dataset available 
Other,Welsh Ambulance Service Dataset,test70,Wales,Dataset available 
Other,Wales Results Reporting Service,test71,Wales,Dataset available 
Other,Welsh Demographic Service,test72,Wales,Dataset available 
