date_y,date_m,Type,N,production_date,table_name
2022,7,N_row,712203,2022-05-30,gdppr_date
2022,7,N_valid_id,712203,2022-05-30,gdppr_date
2022,7,N_distinct_id,217595,2022-05-30,gdppr_date
2020,10,N_row,155076930,2022-05-30,gdppr_date
2020,10,N_valid_id,155076930,2022-05-30,gdppr_date
2020,10,N_distinct_id,21897053,2022-05-30,gdppr_date
2022,5,N_row,54581022,2022-05-30,gdppr_date
2022,5,N_valid_id,54581022,2022-05-30,gdppr_date
2022,5,N_distinct_id,10318790,2022-05-30,gdppr_date
2021,7,N_row,150128131,2022-05-30,gdppr_date
2021,7,N_valid_id,150128131,2022-05-30,gdppr_date
2021,7,N_distinct_id,25362278,2022-05-30,gdppr_date
2018,8,N_row,103769359,2022-05-30,gdppr_date
2018,8,N_valid_id,103769359,2022-05-30,gdppr_date
2018,8,N_distinct_id,15875501,2022-05-30,gdppr_date
2020,8,N_row,126771777,2022-05-30,gdppr_date
2020,8,N_valid_id,126771777,2022-05-30,gdppr_date
2020,8,N_distinct_id,16608400,2022-05-30,gdppr_date
2020,9,N_row,153972826,2022-05-30,gdppr_date
2020,9,N_valid_id,153972826,2022-05-30,gdppr_date
2020,9,N_distinct_id,20025501,2022-05-30,gdppr_date
2019,1,N_row,142710063,2022-05-30,gdppr_date
2019,1,N_valid_id,142710063,2022-05-30,gdppr_date
2019,1,N_distinct_id,18360096,2022-05-30,gdppr_date
2020,2,N_row,156943566,2022-05-30,gdppr_date
2020,2,N_valid_id,156943566,2022-05-30,gdppr_date
2020,2,N_distinct_id,18184830,2022-05-30,gdppr_date
2020,7,N_row,136355083,2022-05-30,gdppr_date
2020,7,N_valid_id,136355083,2022-05-30,gdppr_date
2020,7,N_distinct_id,16915168,2022-05-30,gdppr_date
2021,2,N_row,146034374,2022-05-30,gdppr_date
2021,2,N_valid_id,146034374,2022-05-30,gdppr_date
2021,2,N_distinct_id,22894091,2022-05-30,gdppr_date
2018,12,N_row,112769746,2022-05-30,gdppr_date
2018,12,N_valid_id,112769746,2022-05-30,gdppr_date
2018,12,N_distinct_id,16709831,2022-05-30,gdppr_date
2022,4,N_row,124086598,2022-05-30,gdppr_date
2022,4,N_valid_id,124086598,2022-05-30,gdppr_date
2022,4,N_distinct_id,18962778,2022-05-30,gdppr_date
2021,1,N_row,143379438,2022-05-30,gdppr_date
2021,1,N_valid_id,143379438,2022-05-30,gdppr_date
2021,1,N_distinct_id,22803783,2022-05-30,gdppr_date
2022,1,N_row,139114017,2022-05-30,gdppr_date
2022,1,N_valid_id,139114017,2022-05-30,gdppr_date
2022,1,N_distinct_id,25389379,2022-05-30,gdppr_date
2018,2,N_row,10736587,2022-05-30,gdppr_date
2018,2,N_valid_id,10736587,2022-05-30,gdppr_date
2018,2,N_distinct_id,4177737,2022-05-30,gdppr_date
2020,11,N_row,150590235,2022-05-30,gdppr_date
2020,11,N_valid_id,150590235,2022-05-30,gdppr_date
2020,11,N_distinct_id,21331420,2022-05-30,gdppr_date
2020,5,N_row,96830409,2022-05-30,gdppr_date
2020,5,N_valid_id,96830409,2022-05-30,gdppr_date
2020,5,N_distinct_id,15234595,2022-05-30,gdppr_date
2022,8,N_row,548636,2022-05-30,gdppr_date
2022,8,N_valid_id,548636,2022-05-30,gdppr_date
2022,8,N_distinct_id,168819,2022-05-30,gdppr_date
2018,1,N_row,12524451,2022-05-30,gdppr_date
2018,1,N_valid_id,12524451,2022-05-30,gdppr_date
2018,1,N_distinct_id,4863081,2022-05-30,gdppr_date
2022,11,N_row,189370,2022-05-30,gdppr_date
2022,11,N_valid_id,189370,2022-05-30,gdppr_date
2022,11,N_distinct_id,66951,2022-05-30,gdppr_date
2021,11,N_row,163935139,2022-05-30,gdppr_date
2021,11,N_valid_id,163935139,2022-05-30,gdppr_date
2021,11,N_distinct_id,28433894,2022-05-30,gdppr_date
2018,6,N_row,99246334,2022-05-30,gdppr_date
2018,6,N_valid_id,99246334,2022-05-30,gdppr_date
2018,6,N_distinct_id,15649924,2022-05-30,gdppr_date
2019,5,N_row,141291586,2022-05-30,gdppr_date
2019,5,N_valid_id,141291586,2022-05-30,gdppr_date
2019,5,N_distinct_id,17254247,2022-05-30,gdppr_date
2021,9,N_row,134284458,2022-05-30,gdppr_date
2021,9,N_valid_id,134284458,2022-05-30,gdppr_date
2021,9,N_distinct_id,24187749,2022-05-30,gdppr_date
2021,8,N_row,136438390,2022-05-30,gdppr_date
2021,8,N_valid_id,136438390,2022-05-30,gdppr_date
2021,8,N_distinct_id,23058795,2022-05-30,gdppr_date
2022,12,N_row,143900,2022-05-30,gdppr_date
2022,12,N_valid_id,143900,2022-05-30,gdppr_date
2022,12,N_distinct_id,51987,2022-05-30,gdppr_date
2018,9,N_row,101659212,2022-05-30,gdppr_date
2018,9,N_valid_id,101659212,2022-05-30,gdppr_date
2018,9,N_distinct_id,16419332,2022-05-30,gdppr_date
2020,6,N_row,120319023,2022-05-30,gdppr_date
2020,6,N_valid_id,120319023,2022-05-30,gdppr_date
2020,6,N_distinct_id,16119307,2022-05-30,gdppr_date
2019,4,N_row,133375026,2022-05-30,gdppr_date
