date_y,date_m,Type,N,production_date,table_name
2020,6,N_row,119386174,2022-05-30,gdppr_recdate
2020,6,N_valid_id,119386174,2022-05-30,gdppr_recdate
2020,6,N_distinct_id,15523857,2022-05-30,gdppr_recdate
2019,4,N_row,135205035,2022-05-30,gdppr_recdate
2019,4,N_valid_id,135205035,2022-05-30,gdppr_recdate
2019,4,N_distinct_id,16511494,2022-05-30,gdppr_recdate
2019,6,N_row,134696275,2022-05-30,gdppr_recdate
2019,6,N_valid_id,134696275,2022-05-30,gdppr_recdate
2019,6,N_distinct_id,16207212,2022-05-30,gdppr_recdate
2018,7,N_row,100514944,2022-05-30,gdppr_recdate
2018,7,N_valid_id,100514944,2022-05-30,gdppr_recdate
2018,7,N_distinct_id,15086829,2022-05-30,gdppr_recdate
2019,3,N_row,138405020,2022-05-30,gdppr_recdate
2019,3,N_valid_id,138405020,2022-05-30,gdppr_recdate
2019,3,N_distinct_id,17704991,2022-05-30,gdppr_recdate
2018,8,N_row,99896172,2022-05-30,gdppr_recdate
2018,8,N_valid_id,99896172,2022-05-30,gdppr_recdate
2018,8,N_distinct_id,14962693,2022-05-30,gdppr_recdate
2020,8,N_row,131515080,2022-05-30,gdppr_recdate
2020,8,N_valid_id,131515080,2022-05-30,gdppr_recdate
2020,8,N_distinct_id,16420326,2022-05-30,gdppr_recdate
2020,9,N_row,160238387,2022-05-30,gdppr_recdate
2020,9,N_valid_id,160238387,2022-05-30,gdppr_recdate
2020,9,N_distinct_id,19528281,2022-05-30,gdppr_recdate
2022,7,N_row,1,2022-05-30,gdppr_recdate
2022,7,N_valid_id,1,2022-05-30,gdppr_recdate
2022,7,N_distinct_id,1,2022-05-30,gdppr_recdate
2018,9,N_row,100535725,2022-05-30,gdppr_recdate
2018,9,N_valid_id,100535725,2022-05-30,gdppr_recdate
2018,9,N_distinct_id,15435079,2022-05-30,gdppr_recdate
2020,7,N_row,143314354,2022-05-30,gdppr_recdate
2020,7,N_valid_id,143314354,2022-05-30,gdppr_recdate
2020,7,N_distinct_id,16978701,2022-05-30,gdppr_recdate
2018,12,N_row,108940683,2022-05-30,gdppr_recdate
2018,12,N_valid_id,108940683,2022-05-30,gdppr_recdate
2018,12,N_distinct_id,16086748,2022-05-30,gdppr_recdate
2018,11,N_row,131964057,2022-05-30,gdppr_recdate
2018,11,N_valid_id,131964057,2022-05-30,gdppr_recdate
2018,11,N_distinct_id,17753151,2022-05-30,gdppr_recdate
2018,4,N_row,14550651,2022-05-30,gdppr_recdate
2018,4,N_valid_id,14550651,2022-05-30,gdppr_recdate
2018,4,N_distinct_id,3876831,2022-05-30,gdppr_recdate
2021,10,N_row,162760156,2022-05-30,gdppr_recdate
2021,10,N_valid_id,162760156,2022-05-30,gdppr_recdate
2021,10,N_distinct_id,26550218,2022-05-30,gdppr_recdate
2021,11,N_row,172857072,2022-05-30,gdppr_recdate
2021,11,N_valid_id,172857072,2022-05-30,gdppr_recdate
2021,11,N_distinct_id,28113311,2022-05-30,gdppr_recdate
2019,9,N_row,157987301,2022-05-30,gdppr_recdate
2019,9,N_valid_id,157987301,2022-05-30,gdppr_recdate
2019,9,N_distinct_id,17855799,2022-05-30,gdppr_recdate
2020,3,N_row,153428242,2022-05-30,gdppr_recdate
2020,3,N_valid_id,153428242,2022-05-30,gdppr_recdate
2020,3,N_distinct_id,19160414,2022-05-30,gdppr_recdate
2018,1,N_row,14528557,2022-05-30,gdppr_recdate
2018,1,N_valid_id,14528557,2022-05-30,gdppr_recdate
2018,1,N_distinct_id,4671190,2022-05-30,gdppr_recdate
2022,11,N_row,3,2022-05-30,gdppr_recdate
2022,11,N_valid_id,3,2022-05-30,gdppr_recdate
