date_y,date_m,Type,N,production_date,table_name
2019,8,N_row,96920516,2022-04-25,primary_care_meds
2019,8,N_valid_id,87210449,2022-04-25,primary_care_meds
2019,8,N_distinct_id,17464588,2022-04-25,primary_care_meds
2019,11,N_row,93305660,2022-04-25,primary_care_meds
2019,11,N_valid_id,84403516,2022-04-25,primary_care_meds
2019,11,N_distinct_id,17689526,2022-04-25,primary_care_meds
2021,4,N_row,93931292,2022-04-25,primary_care_meds
2021,4,N_valid_id,89481672,2022-04-25,primary_care_meds
2021,4,N_distinct_id,18622008,2022-04-25,primary_care_meds
2020,6,N_row,92367047,2022-04-25,primary_care_meds
2020,6,N_valid_id,87233789,2022-04-25,primary_care_meds
2020,6,N_distinct_id,17810151,2022-04-25,primary_care_meds
2019,6,N_row,90182414,2022-04-25,primary_care_meds
2019,6,N_valid_id,80253711,2022-04-25,primary_care_meds
2019,6,N_distinct_id,17113619,2022-04-25,primary_care_meds
2019,4,N_row,91210352,2022-04-25,primary_care_meds
2019,4,N_valid_id,80681049,2022-04-25,primary_care_meds
2019,4,N_distinct_id,17084256,2022-04-25,primary_care_meds
2019,7,N_row,93502191,2022-04-25,primary_care_meds
2019,7,N_valid_id,83237527,2022-04-25,primary_care_meds
2019,7,N_distinct_id,17342775,2022-04-25,primary_care_meds
2019,1,N_row,96039359,2022-04-25,primary_care_meds
2019,1,N_valid_id,84319418,2022-04-25,primary_care_meds
2019,1,N_distinct_id,17667788,2022-04-25,primary_care_meds
2018,7,N_row,93098764,2022-04-25,primary_care_meds
2018,7,N_valid_id,81329097,2022-04-25,primary_care_meds
2018,7,N_distinct_id,17152589,2022-04-25,primary_care_meds
2020,4,N_row,94519817,2022-04-25,primary_care_meds
2020,4,N_valid_id,89229260,2022-04-25,primary_care_meds
2020,4,N_distinct_id,17569496,2022-04-25,primary_care_meds
2022,2,N_row,88984003,2022-04-25,primary_care_meds
2022,2,N_valid_id,84791321,2022-04-25,primary_care_meds
2022,2,N_distinct_id,18326074,2022-04-25,primary_care_meds
2020,10,N_row,94994184,2022-04-25,primary_care_meds
2020,10,N_valid_id,90677632,2022-04-25,primary_care_meds
2020,10,N_distinct_id,18511458,2022-04-25,primary_care_meds
2021,6,N_row,96756078,2022-04-25,primary_care_meds
2021,6,N_valid_id,92152087,2022-04-25,primary_care_meds
2021,6,N_distinct_id,19129569,2022-04-25,primary_care_meds
2021,9,N_row,96371291,2022-04-25,primary_care_meds
2021,9,N_valid_id,91762713,2022-04-25,primary_care_meds
2021,9,N_distinct_id,18986559,2022-04-25,primary_care_meds
2018,11,N_row,93599137,2022-04-25,primary_care_meds
2018,11,N_valid_id,82329477,2022-04-25,primary_care_meds
2018,11,N_distinct_id,17302041,2022-04-25,primary_care_meds
2020,11,N_row,91427703,2022-04-25,primary_care_meds
2020,11,N_valid_id,87452645,2022-04-25,primary_care_meds
2020,11,N_distinct_id,18284182,2022-04-25,primary_care_meds
2018,4,N_row,90670689,2022-04-25,primary_care_meds
2018,4,N_valid_id,79206419,2022-04-25,primary_care_meds
2018,4,N_distinct_id,16972099,2022-04-25,primary_care_meds
2018,12,N_row,92585080,2022-04-25,primary_care_meds
2018,12,N_valid_id,81525965,2022-04-25,primary_care_meds
2018,12,N_distinct_id,17056845,2022-04-25,primary_care_meds
2020,12,N_row,97812276,2022-04-25,primary_care_meds
2020,12,N_valid_id,93619635,2022-04-25,primary_care_meds
2020,12,N_distinct_id,18642041,2022-04-25,primary_care_meds
2021,1,N_row,91761235,2022-04-25,primary_care_meds
2021,1,N_valid_id,87891553,2022-04-25,primary_care_meds
2021,1,N_distinct_id,18346079,2022-04-25,primary_care_meds
2021,11,N_row,96412692,2022-04-25,primary_care_meds
2021,11,N_valid_id,91749735,2022-04-25,primary_care_meds
2021,11,N_distinct_id,19179857,2022-04-25,primary_care_meds
2021,8,N_row,91791521,2022-04-25,primary_care_meds
2021,8,N_valid_id,87383058,2022-04-25,primary_care_meds
2021,8,N_distinct_id,18288301,2022-04-25,primary_care_meds
2021,7,N_row,96505045,2022-04-25,primary_care_meds
2021,7,N_valid_id,91913288,2022-04-25,primary_care_meds
2021,7,N_distinct_id,18992743,2022-04-25,primary_care_meds
2019,3,N_row,93039842,2022-04-25,primary_care_meds
2019,3,N_valid_id,81925523,2022-04-25,primary_care_meds
2019,3,N_distinct_id,17505565,2022-04-25,primary_care_meds
