date_y,date_w,Type,N,production_date,table_name
2019,7,N_row,11403,2022-05-30,deaths
2019,7,N_valid_id,11401,2022-05-30,deaths
2019,7,N_distinct_id,11401,2022-05-30,deaths
2020,48,N_row,12405,2022-05-30,deaths
2020,48,N_valid_id,12403,2022-05-30,deaths
2020,48,N_distinct_id,12403,2022-05-30,deaths
2021,50,N_row,11488,2022-05-30,deaths
2021,50,N_valid_id,11475,2022-05-30,deaths
2021,50,N_distinct_id,11473,2022-05-30,deaths
2020,20,N_row,11619,2022-05-30,deaths
2020,20,N_valid_id,11617,2022-05-30,deaths
2020,20,N_distinct_id,11617,2022-05-30,deaths
2018,3,N_row,13700,2022-05-30,deaths
2018,3,N_valid_id,13689,2022-05-30,deaths
2018,3,N_distinct_id,13689,2022-05-30,deaths
2021,3,N_row,18638,2022-05-30,deaths
2021,3,N_valid_id,18630,2022-05-30,deaths
2021,3,N_distinct_id,18630,2022-05-30,deaths
2018,46,N_row,9921,2022-05-30,deaths
2018,46,N_valid_id,9918,2022-05-30,deaths
2018,46,N_distinct_id,9918,2022-05-30,deaths
2020,33,N_row,10129,2022-05-30,deaths
2020,33,N_valid_id,10128,2022-05-30,deaths
2020,33,N_distinct_id,10128,2022-05-30,deaths
2020,29,N_row,9068,2022-05-30,deaths
2020,29,N_valid_id,9068,2022-05-30,deaths
2020,29,N_distinct_id,9068,2022-05-30,deaths
2020,23,N_row,9859,2022-05-30,deaths
2020,23,N_valid_id,9856,2022-05-30,deaths
2020,23,N_distinct_id,9856,2022-05-30,deaths
2021,52,N_row,8799,2022-05-30,deaths
2021,52,N_valid_id,8793,2022-05-30,deaths
2021,52,N_distinct_id,8793,2022-05-30,deaths
2021,7,N_row,12980,2022-05-30,deaths
2021,7,N_valid_id,12976,2022-05-30,deaths
2021,7,N_distinct_id,12975,2022-05-30,deaths
2021,33,N_row,9935,2022-05-30,deaths
2021,33,N_valid_id,9921,2022-05-30,deaths
2021,33,N_distinct_id,9921,2022-05-30,deaths
2018,9,N_row,12629,2022-05-30,deaths
2018,9,N_valid_id,12355,2022-05-30,deaths
2018,9,N_distinct_id,12355,2022-05-30,deaths
2019,44,N_row,10646,2022-05-30,deaths
2019,44,N_valid_id,10645,2022-05-30,deaths
2019,44,N_distinct_id,10645,2022-05-30,deaths
2019,12,N_row,10016,2022-05-30,deaths
2019,12,N_valid_id,10011,2022-05-30,deaths
2019,12,N_distinct_id,10011,2022-05-30,deaths
2019,45,N_row,10488,2022-05-30,deaths
2019,45,N_valid_id,10485,2022-05-30,deaths
2019,45,N_distinct_id,10485,2022-05-30,deaths
2022,19,N_row,1328,2022-05-30,deaths
2022,19,N_valid_id,205,2022-05-30,deaths
2022,19,N_distinct_id,205,2022-05-30,deaths
2020,1,N_row,8914,2022-05-30,deaths
2020,1,N_valid_id,8911,2022-05-30,deaths
2020,1,N_distinct_id,8910,2022-05-30,deaths
2019,21,N_row,9728,2022-05-30,deaths
2019,21,N_valid_id,9723,2022-05-30,deaths
2019,21,N_distinct_id,9723,2022-05-30,deaths
2020,5,N_row,11099,2022-05-30,deaths
2020,5,N_valid_id,11094,2022-05-30,deaths
