date_y,date_w,Type,N,production_date,table_name
2021,35,N_row,25020197,2022-05-30,gdppr_date
2021,35,N_valid_id,25020197,2022-05-30,gdppr_date
2021,35,N_distinct_id,7206430,2022-05-30,gdppr_date
2021,50,N_row,43025081,2022-05-30,gdppr_date
2021,50,N_valid_id,43025081,2022-05-30,gdppr_date
2021,50,N_distinct_id,15271541,2022-05-30,gdppr_date
2021,45,N_row,37591352,2022-05-30,gdppr_date
2021,45,N_valid_id,37591352,2022-05-30,gdppr_date
2021,45,N_distinct_id,10613290,2022-05-30,gdppr_date
2021,34,N_row,31575725,2022-05-30,gdppr_date
2021,34,N_valid_id,31575725,2022-05-30,gdppr_date
2021,34,N_distinct_id,7941487,2022-05-30,gdppr_date
2021,49,N_row,37789982,2022-05-30,gdppr_date
2021,49,N_valid_id,37789982,2022-05-30,gdppr_date
2021,49,N_distinct_id,11570517,2022-05-30,gdppr_date
2021,24,N_row,38488027,2022-05-30,gdppr_date
2021,24,N_valid_id,38488027,2022-05-30,gdppr_date
2021,24,N_distinct_id,9824835,2022-05-30,gdppr_date
2021,44,N_row,36950897,2022-05-30,gdppr_date
2021,44,N_valid_id,36950897,2022-05-30,gdppr_date
2021,44,N_distinct_id,10336238,2022-05-30,gdppr_date
2021,4,N_row,34998287,2022-05-30,gdppr_date
2021,4,N_valid_id,34998287,2022-05-30,gdppr_date
2021,4,N_distinct_id,8757753,2022-05-30,gdppr_date
2021,20,N_row,40397647,2022-05-30,gdppr_date
2021,20,N_valid_id,40397647,2022-05-30,gdppr_date
2021,20,N_distinct_id,10778585,2022-05-30,gdppr_date
2021,5,N_row,36319915,2022-05-30,gdppr_date
2021,5,N_valid_id,36319915,2022-05-30,gdppr_date
2021,5,N_distinct_id,9026338,2022-05-30,gdppr_date
2021,42,N_row,36729426,2022-05-30,gdppr_date
2021,42,N_valid_id,36729426,2022-05-30,gdppr_date
2021,42,N_distinct_id,10506926,2022-05-30,gdppr_date
2021,19,N_row,40056618,2022-05-30,gdppr_date
2021,19,N_valid_id,40056618,2022-05-30,gdppr_date
2021,19,N_distinct_id,10507923,2022-05-30,gdppr_date
2021,26,N_row,36387073,2022-05-30,gdppr_date
2021,26,N_valid_id,36387073,2022-05-30,gdppr_date
2021,26,N_distinct_id,9030741,2022-05-30,gdppr_date
2021,23,N_row,39391527,2022-05-30,gdppr_date
2021,23,N_valid_id,39391527,2022-05-30,gdppr_date
