dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,108120,107480,97800
covid_antibody_testing_pillar3,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,945445,945445,751385
covid_antigen_testing_pillar2,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,439473300,439450675,44941940
deaths,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,16353760,16231255,16228665
epma_administration,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,455717480,431997350,1861270
epma_administration_dmd,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,462214465,null,null
epma_administration_dosage,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,455717480,null,null
epma_prescription,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,89950225,84490785,2250400
epma_prescription_chemical,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,89950225,null,null
epma_prescription_dmd,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,87854010,null,null
epma_prescription_dosage,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,89950225,null,null
gdppr,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,10834021125,10834021125,64531325
hes_ae_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,23319220,23319220,14552615
hes_ae_otr_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,23319220,23319220,14552615
hes_apc_acp_all_years,e13baaa2-729a-4159-a885-a8017ff3cd3b,2022-01-20,1488340,1488340,1173335
hes_apc_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,452351115,452351115,73467980
hes_apc_mat_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,34641500,34641500,25023945
hes_apc_otr_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,21493595,21493595,9157320
hes_cc_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,1038010,1038010,271905
hes_cc_otr_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,1038010,1038010,271905
hes_op_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,124035025,124035025,23442295
hes_op_otr_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,124035025,124035025,23442295
iapt_care_activities_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,13265560,13265505,1590795
iapt_care_cluster_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,1405005,1405000,1073775
iapt_coded_scored_assessments_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,42464670,42464505,1428415
iapt_demographics_and_referral_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,2047830,2047790,1963560
iapt_employment_status_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,4886965,4886940,1328850
iapt_internet_enabled_therapies_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,635360,635360,71865
iapt_mental_and_physical_health_conditions_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,2839590,2839570,1561205
iapt_onward_referrals_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,49310,49305,46875
iapt_waiting_time_pauses_2223_dars_nic_391419_j3w9t,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,84175,84175,63985
icnarc,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,67565,67565,56485
lowlat_apc_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,4250575,4250575,2441610
lowlat_cc_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,194795,194795,49380
lowlat_ecds_all_years,da823d29-13af-46e5-8178-2ea685411936,2023-05-23,23640450,23640450,14644465
lowlat_op_all_years,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,22923180,22923180,10355105
nicor_acs_combined,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,253890,252815,241400
nicor_congenital,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,53445,52165,36445
nicor_crm_eps,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,85150,85010,73155
nicor_crm_pmicd,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,283260,282720,246360
nicor_hf,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,225135,218510,167935
nicor_minap,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,555485,549515,460375
nicor_pci,a4a9b248-4377-4102-bf29-3feef063d0d2,2023-06-21,549700,539145,439715
nicor_tavi,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,25285,25255,24685
primary_care_meds,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,5870925430,5451953815,53479665
sgss,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,25421175,25421160,18087170
ssnap,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,712760,712760,387220
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,4730918230,4669287810,14644505
vaccine_adverse_reactions,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,16205,16205,15850
vaccine_status,97b4e8d5-0858-45e6-8c56-dddcc1935ace,2023-07-31,149523050,149523050,45270285
