column_name,completeness,dataset
AdmissionCOVID19,0.959,chess
AdmissionFlu,0.454,chess
AdmissionRSV,0.429,chess
AdmittedToICU,1.0,chess
AgeMonth,0.999,chess
AgeYear,0.999,chess
AsthmaRequiring,0.952,chess
AsymptomaticTesting,0.439,chess
CaseId,1.0,chess
ChronicHeart,0.953,chess
ChronicLiver,0.778,chess
ChronicNeurological,0.951,chess
ChronicRenal,0.952,chess
ChronicRespiratory,0.953,chess
Covid19,1.0,chess
DateAdmittedICU,0.249,chess
DateLeavingICU,0.2,chess
DateUpdated,0.643,chess
DiabetesType,0.116,chess
EstimatedDateOnset,0.55,chess
Ethnicity,0.971,chess
FinalOutcome,0.976,chess
FinalOutcomeDate,0.894,chess
GestationWeek,0.154,chess
Highflownasaloxygen,1.0,chess
HospitalAdmissionAdmittedFrom,0.958,chess
HospitalAdmissionDate,1.0,chess
Hypertension,0.954,chess
ImmunosuppressionDisease,0.951,chess
ImmunosuppressionTreatment,0.951,chess
InfectionSwabDate,0.944,chess
InfluenzaAH1N1pdm2009,0.0,chess
InfluenzaAH3N2,0.0,chess
InfluenzaAnonsubtyped,0.0,chess
InfluenzaAunsubtypable,0.0,chess
InfluenzaB,0.0,chess
Invasivemechanicalventilation,1.0,chess
IsARDSComplication,0.078,chess
IsDiabetes,0.779,chess
LabTestDate,0.983,chess
Mechanicalinvasiveventilationduration,0.0,chess
NoninvasiveMechanicalventilation,1.0,chess
ObesityBMI,0.601,chess
ObesityClinical,0.951,chess
Oxygenviacannulaeormask,1.0,chess
PERSON_ID_DEID,0.994,chess
PatientStillOnICU,0.247,chess
Pregnancy,0.693,chess
Prematurity,0.555,chess
RSV,0.0,chess
RespiratorySupportECMO,1.0,chess
RespiratorySupportNone,1.0,chess
RespiratorySupportUnknown,0.891,chess
SBPDate,0.05,chess
SBPOrganismName,0.024,chess
SBPOther,0.0,chess
SeriousMentalIllness,0.586,chess
Sex,1.0,chess
TransferDestination,0.073,chess
TravelIn14Days,0.656,chess
TrustCode,1.0,chess
TrustName,1.0,chess
Typeofspecimen,1.0,chess
WeekNo,1.0,chess
WeekofAdmission,1.0,chess
WorksAsHealthcareWorker,0.951,chess
YearofAdmission,1.0,chess
accessiondate,1.0,covid_antibody_testing_pillar3
administrationmethod,0.0,covid_antibody_testing_pillar3
analyser,1.0,covid_antibody_testing_pillar3
appointmentdate,1.0,covid_antibody_testing_pillar3
carehomerole,0.16,covid_antibody_testing_pillar3
country,1.0,covid_antibody_testing_pillar3
county,0.999,covid_antibody_testing_pillar3
covidsymptomatic,1.0,covid_antibody_testing_pillar3
dateofonset,0.564,covid_antibody_testing_pillar3
dateofpositivetest,0.541,covid_antibody_testing_pillar3
industrysector,0.523,covid_antibody_testing_pillar3
keyworkerid,0.959,covid_antibody_testing_pillar3
keyworkertype,0.959,covid_antibody_testing_pillar3
localauthority,0.999,covid_antibody_testing_pillar3
nhsregion,0.999,covid_antibody_testing_pillar3
nondigitaluser,1.0,covid_antibody_testing_pillar3
occupation,0.491,covid_antibody_testing_pillar3
organisationid,0.004,covid_antibody_testing_pillar3
parliamentaryconstituency,0.999,covid_antibody_testing_pillar3
person_id_deid,1.0,covid_antibody_testing_pillar3
processinglabcode,1.0,covid_antibody_testing_pillar3
recordcreateddate,1.0,covid_antibody_testing_pillar3
resultvalueunitofmeasure,0.984,covid_antibody_testing_pillar3
specimenid,1.0,covid_antibody_testing_pillar3
specimenprocesseddate,1.0,covid_antibody_testing_pillar3
stp,0.999,covid_antibody_testing_pillar3
subjectid,1.0,covid_antibody_testing_pillar3
testcentreid,1.0,covid_antibody_testing_pillar3
testenddate,1.0,covid_antibody_testing_pillar3
testkit,0.67,covid_antibody_testing_pillar3
testlocation,1.0,covid_antibody_testing_pillar3
testresult,1.0,covid_antibody_testing_pillar3
teststartdate,1.0,covid_antibody_testing_pillar3
testtype,1.0,covid_antibody_testing_pillar3
workstatus,0.102,covid_antibody_testing_pillar3
administrationmethod,0.852,covid_antigen_testing_pillar2
appointmentdate,1.0,covid_antigen_testing_pillar2
carehomerole,0.01,covid_antigen_testing_pillar2
country,0.996,covid_antigen_testing_pillar2
countrycode,1.0,covid_antigen_testing_pillar2
county,1.0,covid_antigen_testing_pillar2
covidsymptomatic,0.968,covid_antigen_testing_pillar2
dateofonset,0.083,covid_antigen_testing_pillar2
industrysector,0.181,covid_antigen_testing_pillar2
keyworkerid,0.123,covid_antigen_testing_pillar2
keyworkertype,0.123,covid_antigen_testing_pillar2
localauthority,1.0,covid_antigen_testing_pillar2
nhsregion,1.0,covid_antigen_testing_pillar2
nondigitaluser,0.983,covid_antigen_testing_pillar2
occupation,0.299,covid_antigen_testing_pillar2
