dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,6fb972c2-3e52-4733-be6c-2b14f52b9752,2022-10-31,104135,103510,94170
covid_antibody_testing_pillar3,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,944770,944770,751385
covid_antigen_testing_pillar2,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,435643725,435621135,44778560
deaths,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,15940605,15817465,15815055
epma_administration,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,361777990,339247185,1564550
epma_administration_dmd,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,340567480,null,null
epma_administration_dosage,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,361767115,null,null
epma_prescription,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,72252085,67054890,1883665
epma_prescription_chemical,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,72188030,null,null
epma_prescription_dmd,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,64149710,null,null
epma_prescription_dosage,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,72252085,null,null
gdppr,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,9393491090,9393490215,63204995
hes_ae_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,289742895,289742895,64716660
hes_ae_otr_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,289742895,289742895,65514720
hes_apc_acp_all_years,e13baaa2-729a-4159-a885-a8017ff3cd3b,2022-01-20,1488340,1488340,1173335
hes_apc_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,441229110,441229110,71725165
hes_apc_mat_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,34079825,34079825,24614245
hes_apc_otr_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,441229110,441229110,72645705
hes_cc_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,8726995,8726995,3015210
hes_cc_otr_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,8726995,8726995,3017880
hes_op_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,1820067560,1820067560,77571060
hes_op_otr_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,1820067560,1820067560,78430935
iapt_care_activities_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,9470185,9470150,926235
iapt_care_cluster_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,2417345,2417330,1406105
iapt_coded_scored_assessments_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,64514360,64513925,1921300
iapt_demographics_and_referral_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,3266650,3266605,2556630
iapt_employment_status_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,5454610,5454585,1779805
iapt_internet_enabled_therapies_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,849500,849500,98680
iapt_mental_and_physical_health_conditions_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,4054080,4054040,1913070
iapt_onward_referrals_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,69720,69720,65390
icnarc,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,64790,64790,53910
lowlat_apc_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,71236315,71236295,21755265
lowlat_cc_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,3901445,3901445,967665
lowlat_ecds_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,79088470,79088415,33179270
lowlat_op_all_years,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,408162160,408162095,42255470
nicor_acs_combined,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,265810,264730,252390
nicor_congenital,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,45690,44610,31655
nicor_crm_eps,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,72860,72745,63250
nicor_crm_pmicd,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,290500,289975,248380
nicor_hf,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,164705,160145,128980
nicor_minap,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,497220,491655,413815
nicor_pci,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,502445,493330,404700
primary_care_meds,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,4980008595,4601554435,51111355
sgss,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,24676250,24676250,17721160
ssnap,6fb972c2-3e52-4733-be6c-2b14f52b9752,2022-10-31,635775,635775,343240
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,4730918230,4669287810,14644505
vaccine_adverse_reactions,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,15925,15925,15615
vaccine_status,139291df-367e-4168-ae7e-8ed1175a3ad3,2022-11-30,142797685,142797685,45210460
