dataset,column_name,completeness
chess,AdmissionCOVID19,0.957
chess,AdmissionFlu,0.457
chess,AdmissionRSV,0.432
chess,AdmittedToICU,1.0
chess,AgeMonth,0.999
chess,AgeYear,0.999
chess,AsthmaRequiring,0.95
chess,AsymptomaticTesting,0.446
chess,CaseId,1.0
chess,ChronicHeart,0.951
chess,ChronicLiver,0.778
chess,ChronicNeurological,0.949
chess,ChronicRenal,0.949
chess,ChronicRespiratory,0.95
chess,Covid19,1.0
chess,DateAdmittedICU,0.256
chess,DateLeavingICU,0.205
chess,DateUpdated,0.634
chess,DiabetesType,0.116
chess,EstimatedDateOnset,0.564
chess,Ethnicity,0.97
chess,FinalOutcome,0.975
chess,FinalOutcomeDate,0.889
chess,GestationWeek,0.158
chess,Highflownasaloxygen,1.0
chess,HospitalAdmissionAdmittedFrom,0.956
chess,HospitalAdmissionDate,1.0
chess,Hypertension,0.952
chess,ImmunosuppressionDisease,0.948
chess,ImmunosuppressionTreatment,0.948
chess,InfectionSwabDate,0.943
chess,InfluenzaAH1N1pdm2009,0.0
chess,InfluenzaAH3N2,0.0
chess,InfluenzaAnonsubtyped,0.0
chess,InfluenzaAunsubtypable,0.0
chess,InfluenzaB,0.0
chess,Invasivemechanicalventilation,1.0
chess,IsARDSComplication,0.081
chess,IsDiabetes,0.78
chess,LabTestDate,0.982
chess,Mechanicalinvasiveventilationduration,0.0
chess,NoninvasiveMechanicalventilation,1.0
chess,ObesityBMI,0.6
chess,ObesityClinical,0.949
chess,Oxygenviacannulaeormask,1.0
chess,PERSON_ID_DEID,0.994
chess,PatientStillOnICU,0.255
chess,Pregnancy,0.694
chess,Prematurity,0.553
chess,RSV,0.0
chess,RespiratorySupportECMO,1.0
chess,RespiratorySupportNone,1.0
chess,RespiratorySupportUnknown,0.886
chess,SBPDate,0.052
chess,SBPOrganismName,0.025
chess,SBPOther,0.0
chess,SeriousMentalIllness,0.584
chess,Sex,1.0
chess,TransferDestination,0.075
chess,TravelIn14Days,0.655
chess,TrustCode,1.0
chess,TrustName,1.0
chess,Typeofspecimen,1.0
chess,WeekNo,1.0
chess,WeekofAdmission,1.0
chess,WorksAsHealthcareWorker,0.949
chess,YearofAdmission,1.0
covid_antibody_testing_pillar3,AccessionDate,1.0
covid_antibody_testing_pillar3,AdministrationMethod,0.0
covid_antibody_testing_pillar3,Analyser,1.0
covid_antibody_testing_pillar3,AppointmentDate,1.0
covid_antibody_testing_pillar3,CareHomeRole,0.161
covid_antibody_testing_pillar3,Country,1.0
covid_antibody_testing_pillar3,County,0.999
covid_antibody_testing_pillar3,CovidSymptomatic,1.0
covid_antibody_testing_pillar3,DateOfOnset,0.564
covid_antibody_testing_pillar3,DateOfPositiveTest,0.541
covid_antibody_testing_pillar3,IndustrySector,0.523
covid_antibody_testing_pillar3,KeyWorkerID,0.959
covid_antibody_testing_pillar3,KeyWorkerType,0.959
covid_antibody_testing_pillar3,LocalAuthority,0.999
covid_antibody_testing_pillar3,NHSRegion,0.999
covid_antibody_testing_pillar3,NonDigitalUser,1.0
covid_antibody_testing_pillar3,Occupation,0.491
covid_antibody_testing_pillar3,OrganisationId,0.004
covid_antibody_testing_pillar3,ParliamentaryConstituency,0.999
covid_antibody_testing_pillar3,Person_ID_DEID,1.0
covid_antibody_testing_pillar3,ProcessingLabCode,1.0
covid_antibody_testing_pillar3,RecordCreatedDate,1.0
covid_antibody_testing_pillar3,ResultValueUnitOfMeasure,0.984
covid_antibody_testing_pillar3,STP,0.999
covid_antibody_testing_pillar3,SpecimenID,1.0
covid_antibody_testing_pillar3,SpecimenProcessedDate,1.0
covid_antibody_testing_pillar3,SubjectID,1.0
covid_antibody_testing_pillar3,TestCentreID,1.0
covid_antibody_testing_pillar3,TestEndDate,1.0
covid_antibody_testing_pillar3,TestKit,0.67
covid_antibody_testing_pillar3,TestLocation,1.0
covid_antibody_testing_pillar3,TestResult,1.0
covid_antibody_testing_pillar3,TestStartDate,1.0
covid_antibody_testing_pillar3,TestType,1.0
covid_antibody_testing_pillar3,WorkStatus,0.102
covid_antigen_testing_pillar2,AdministrationMethod,0.85
covid_antigen_testing_pillar2,AppointmentDate,1.0
covid_antigen_testing_pillar2,CareHomeRole,0.01
covid_antigen_testing_pillar2,Country,0.996
covid_antigen_testing_pillar2,CountryCode,1.0
covid_antigen_testing_pillar2,County,1.0
covid_antigen_testing_pillar2,CovidSymptomatic,0.979
covid_antigen_testing_pillar2,DateOfOnset,0.083
covid_antigen_testing_pillar2,IndustrySector,0.183
covid_antigen_testing_pillar2,KeyWorkerID,0.125
covid_antigen_testing_pillar2,KeyWorkerType,0.125
covid_antigen_testing_pillar2,LocalAuthority,1.0
covid_antigen_testing_pillar2,NHSRegion,1.0
covid_antigen_testing_pillar2,NonDigitalUser,0.982
covid_antigen_testing_pillar2,Occupation,0.299
covid_antigen_testing_pillar2,OccupationTitle,0.298
covid_antigen_testing_pillar2,OrganisationId,0.509
covid_antigen_testing_pillar2,ParliamentaryConstituency,1.0
covid_antigen_testing_pillar2,Person_ID_DEID,1.0
covid_antigen_testing_pillar2,PostCodeCountry,0.999
covid_antigen_testing_pillar2,ProcessTime,0.011
covid_antigen_testing_pillar2,ProcessingLabCode,1.0
covid_antigen_testing_pillar2,RecordCreatedDate,1.0
covid_antigen_testing_pillar2,ResultInfo,0.003
covid_antigen_testing_pillar2,STP,1.0
covid_antigen_testing_pillar2,SampleCreationDate,0.053
covid_antigen_testing_pillar2,SpecimenID,1.0
covid_antigen_testing_pillar2,SpecimenProcessedDate,1.0
covid_antigen_testing_pillar2,SubjectID,1.0
covid_antigen_testing_pillar2,TestCentreCountry,0.159
covid_antigen_testing_pillar2,TestCentreCountryName,0.062
covid_antigen_testing_pillar2,TestCentreID,1.0
covid_antigen_testing_pillar2,TestCentreRefDataPostcode,0.154
covid_antigen_testing_pillar2,TestEndDate,1.0
covid_antigen_testing_pillar2,TestLocation,0.945
covid_antigen_testing_pillar2,TestResult,1.0
covid_antigen_testing_pillar2,TestStartDate,1.0
covid_antigen_testing_pillar2,TestType,0.982
covid_antigen_testing_pillar2,WorkOrStudyStatus,0.248
covid_antigen_testing_pillar2,WorkStatus,0.144
deaths,CANCELLED_FLAG,1.0
deaths,CCGPOD,0.118
deaths,CCGR,0.153
deaths,COR_AREA_NAME,0.0
deaths,COR_INQ_DATES,0.0
deaths,CTYDR,0.83
deaths,CTYR,0.83
deaths,DEC_BIRTH_COUNTRY_CODE,1.0
deaths,DEC_CONF_NHS_NUMBER_CLEAN_DEID,0.992
deaths,DEC_OCC_TYPE,1.0
deaths,DEC_RETIRED_IND,0.219
deaths,GORR,0.688
deaths,HAUTPOD,0.577
deaths,HAUTR,0.723
deaths,HROR,0.723
deaths,ICD9_ORIG_MENTION_1,0.284
deaths,ICD9_ORIG_MENTION_10,0.0
