dataset,date_ym,n,n_id,n_id_distinct
chess,"",10.0,10.0,10.0
chess,2000-10,10.0,10.0,10.0
chess,2001-01,50.0,50.0,50.0
chess,2001-02,10.0,10.0,10.0
chess,2001-05,10.0,10.0,10.0
chess,2001-07,10.0,10.0,10.0
chess,2001-09,10.0,10.0,10.0
chess,2001-11,10.0,10.0,10.0
chess,2001-12,10.0,10.0,10.0
chess,2011-12,10.0,10.0,10.0
chess,2018-07,10.0,0.0,0.0
chess,2019-01,10.0,10.0,10.0
chess,2019-03,10.0,10.0,10.0
chess,2019-05,10.0,10.0,10.0
chess,2019-06,10.0,10.0,10.0
chess,2019-08,10.0,10.0,10.0
chess,2019-09,10.0,10.0,10.0
chess,2019-10,10.0,10.0,10.0
chess,2019-11,15.0,15.0,15.0
chess,2019-12,40.0,40.0,40.0
chess,2020-01,160.0,160.0,150.0
chess,2020-02,390.0,390.0,350.0
chess,2020-03,8900.0,8825.0,7895.0
chess,2020-04,13695.0,13590.0,12020.0
chess,2020-05,3855.0,3835.0,3545.0
chess,2020-06,1610.0,1600.0,1445.0
chess,2020-07,535.0,530.0,505.0
chess,2020-08,495.0,490.0,430.0
chess,2020-09,1320.0,1310.0,1215.0
chess,2020-10,4235.0,4220.0,3945.0
chess,2020-11,5735.0,5710.0,5370.0
chess,2020-12,6355.0,6320.0,6005.0
chess,2021-01,11075.0,11030.0,10415.0
chess,2021-02,4090.0,4070.0,3865.0
chess,2021-03,1305.0,1295.0,1230.0
chess,2021-04,450.0,445.0,425.0
chess,2021-05,330.0,330.0,310.0
chess,2021-06,675.0,670.0,630.0
chess,2021-07,2190.0,2175.0,2080.0
chess,2021-08,2630.0,2615.0,2475.0
chess,2021-09,2275.0,2255.0,2140.0
chess,2021-10,2985.0,2965.0,2860.0
chess,2021-11,2705.0,2690.0,2605.0
chess,2021-12,3375.0,3355.0,3265.0
chess,2022-01,4345.0,4325.0,4225.0
chess,2022-02,2645.0,2635.0,2575.0
chess,2022-03,4240.0,4215.0,4120.0
chess,2022-04,3080.0,3070.0,3005.0
chess,2022-05,1210.0,1200.0,1155.0
chess,2022-06,1885.0,1880.0,1840.0
chess,2022-07,2835.0,2810.0,2730.0
chess,2022-08,1195.0,1185.0,1150.0
chess,2022-09,205.0,205.0,205.0
covid_antibody_testing_pillar3,2020-09,11075.0,11075.0,11035.0
covid_antibody_testing_pillar3,2020-10,87570.0,87570.0,86995.0
covid_antibody_testing_pillar3,2020-11,72265.0,72265.0,71815.0
covid_antibody_testing_pillar3,2020-12,37710.0,37710.0,37555.0
covid_antibody_testing_pillar3,2021-01,60175.0,60175.0,59720.0
covid_antibody_testing_pillar3,2021-02,28135.0,28135.0,27920.0
