dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,103175,102550,93275
covid_antibody_testing_pillar3,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,944770,944770,751385
covid_antigen_testing_pillar2,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,432732520,432709835,44674530
deaths,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,15827985,15707185,15704800
epma_administration,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,346312215,323871130,1514965
epma_administration_dmd,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,323858565,null,null
epma_administration_dosage,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,346302070,null,null
epma_prescription,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,69454840,64262025,1814830
epma_prescription_chemical,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,69381105,null,null
epma_prescription_dmd,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,61421180,null,null
epma_prescription_dosage,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,69454840,null,null
gdppr,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,8971001885,8971001885,62740040
hes_ae_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,282144455,282144455,63752810
hes_ae_otr_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,282144455,282144455,64550685
hes_apc_acp_all_years,8b5ebd65-e9d4-4c8f-9f42-22ebd0acd2b1,2022-04-25,1488340,1488340,1173335
hes_apc_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,434323470,434323470,71189640
hes_apc_mat_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,33695945,33695945,24340475
hes_apc_otr_all_years,60b75d41-0485-44b1-b7bf-1f4f60fa9749,2021-09-22,495321450,0,0
hes_cc_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,8392355,8392355,2938480
hes_cc_otr_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,8392355,8392355,2941150
hes_op_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,1779745430,1779745430,76565290
hes_op_otr_all_years,dfabd9c4-92be-49a0-aaa9-9da1a0c3fbf4,2022-07-29,1779745430,1779745430,77425125
iapt_care_activities_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,25879160,25879020,2118795
iapt_care_cluster_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,2417345,2417330,1406105
iapt_coded_scored_assessments_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,64514360,64513925,1921300
iapt_demographics_and_referral_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,3266650,3266605,2556630
iapt_employment_status_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,5454610,5454585,1779805
iapt_internet_enabled_therapies_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,849500,849500,98680
iapt_mental_and_physical_health_conditions_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,4054080,4054040,1913070
iapt_onward_referrals_all_years,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,69720,69720,65390
icnarc,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,63505,63505,52705
lowlat_apc_all_years,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,67374545,67374525,20935210
lowlat_cc_all_years,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,3701935,3701935,922115
lowlat_ecds_all_years,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,75060095,75060040,32157670
lowlat_op_all_years,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,384544035,384543970,42001390
nicor_congenital,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,44540,43495,30920
nicor_hf,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,164110,159560,128545
nicor_minap,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,484570,479080,401880
nicor_pci,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,488980,480070,393220
primary_care_meds,d837439e-9691-48ad-9014-9d6ecae3e453,2022-08-31,4785258920,4415785055,50620980
sgss,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,24226290,24226290,17462930
ssnap,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,617900,617900,333100
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,4730918230,4669287810,14644505
vaccine_adverse_reactions,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,12805,12805,12605
vaccine_status,604cc9df-05b5-49bd-a0f4-6f1970971c91,2022-09-30,127212730,127212730,45104890
