dataset,n,n_id,n_distinct,archived_on
Annual District Birth Extract,870890,865670,865670,01/03/2023
Annual District Death Daily,108165,107560,107555,01/03/2023
Annual District Death Extract,893295,857585,857585,01/03/2023
Critical Care Data Set,148350,146890,119310,01/03/2023
Consolidated Death Data Source,140905,140840,140840,01/03/2023
"COVID-19 Test, Trace and Protect",3419905,1765665,1057690,01/03/2023
COVID-19 Lateral Flow Data,19294450,17921570,2109310,01/03/2023
COVID-19 Shielded People List,556470,556460,194775,01/03/2023
COVID-19 Vaccination Data (RRDA),8788690,8788690,2661580,01/03/2023
Emergency Department Dataset Daily,11637875,10084585,2717220,01/03/2023
Emergency Department Data Set,13196995,12751965,3133670,01/03/2023
Intensive Care National Audit & Research Centre,136220,134520,110340,01/03/2023
Intensive Care National Audit & Research Centre (Covid-19 Admissions Only),2425,2405,2265,01/03/2023
Maternity Indicators Dataset (Birth),231720,231675,231315,01/03/2023
Maternity Indicators Dataset (Initial Assessment),285980,284105,191850,01/03/2023
Out Patient Dataset for Wales,76461000,76231915,3694630,01/03/2023
OutPatient Referral Dataset,16315390,16273370,3187120,01/03/2023
Pathology Data COVID-19 Daily (Antibody Results),89925,88690,76615,01/03/2023
Pathology Data COVID-19 Daily (Test Results),9170390,8743320,2176150,01/03/2023
Wales Dispensing DataSet (RRDA),896524085,896524085,3336520,01/03/2023
Welsh Longitudinal General Practice,3919410180,3914365040,4951360,01/03/2023
Mortality Dataset (RRDA),128025,128025,128025,01/03/2023
Patient Episode Datbase for Wales (Spells),25077260,24026290,3666640,01/03/2023
Patient Episode Datbase for Wales (Episodes),28557190,27415895,3666640,01/03/2023
