date_y,date_m,Type,N,production_date,table_name
2022,4,N_row,43162,2022-05-30,deaths
2022,4,N_valid_id,42066,2022-05-30,deaths
2022,4,N_distinct_id,42064,2022-05-30,deaths
2021,8,N_row,43795,2022-05-30,deaths
2021,8,N_valid_id,43739,2022-05-30,deaths
2021,8,N_distinct_id,43737,2022-05-30,deaths
2020,5,N_row,52200,2022-05-30,deaths
2020,5,N_valid_id,52182,2022-05-30,deaths
2020,5,N_distinct_id,52182,2022-05-30,deaths
2021,9,N_row,44765,2022-05-30,deaths
2021,9,N_valid_id,44670,2022-05-30,deaths
2021,9,N_distinct_id,44670,2022-05-30,deaths
2019,10,N_row,44991,2022-05-30,deaths
2019,10,N_valid_id,44980,2022-05-30,deaths
2019,10,N_distinct_id,44980,2022-05-30,deaths
2020,8,N_row,40737,2022-05-30,deaths
2020,8,N_valid_id,40725,2022-05-30,deaths
2020,8,N_distinct_id,40725,2022-05-30,deaths
2018,2,N_row,48968,2022-05-30,deaths
2018,2,N_valid_id,48747,2022-05-30,deaths
2018,2,N_distinct_id,48746,2022-05-30,deaths
2022,1,N_row,50584,2022-05-30,deaths
2022,1,N_valid_id,50510,2022-05-30,deaths
2022,1,N_distinct_id,50509,2022-05-30,deaths
2018,3,N_row,53174,2022-05-30,deaths
2018,3,N_valid_id,51453,2022-05-30,deaths
2018,3,N_distinct_id,51450,2022-05-30,deaths
2021,3,N_row,44125,2022-05-30,deaths
2021,3,N_valid_id,44107,2022-05-30,deaths
2021,3,N_distinct_id,44106,2022-05-30,deaths
2019,9,N_row,40432,2022-05-30,deaths
2019,9,N_valid_id,40412,2022-05-30,deaths
2019,9,N_distinct_id,40412,2022-05-30,deaths
2021,2,N_row,52712,2022-05-30,deaths
2021,2,N_valid_id,52704,2022-05-30,deaths
2021,2,N_distinct_id,52701,2022-05-30,deaths
2020,9,N_row,40663,2022-05-30,deaths
2020,9,N_valid_id,40640,2022-05-30,deaths
2020,9,N_distinct_id,40640,2022-05-30,deaths
2019,3,N_row,45236,2022-05-30,deaths
2019,3,N_valid_id,45220,2022-05-30,deaths
2019,3,N_distinct_id,45220,2022-05-30,deaths
2020,3,N_row,54968,2022-05-30,deaths
2020,3,N_valid_id,54945,2022-05-30,deaths
2020,3,N_distinct_id,54945,2022-05-30,deaths
2020,2,N_row,44987,2022-05-30,deaths
2020,2,N_valid_id,44971,2022-05-30,deaths
2020,2,N_distinct_id,44971,2022-05-30,deaths
2019,1,N_row,51107,2022-05-30,deaths
2019,1,N_valid_id,51093,2022-05-30,deaths
2019,1,N_distinct_id,51092,2022-05-30,deaths
2018,7,N_row,40576,2022-05-30,deaths
2018,7,N_valid_id,40566,2022-05-30,deaths
2018,7,N_distinct_id,40566,2022-05-30,deaths
2018,9,N_row,39488,2022-05-30,deaths
2018,9,N_valid_id,39472,2022-05-30,deaths
2018,9,N_distinct_id,39472,2022-05-30,deaths
2019,4,N_row,44104,2022-05-30,deaths
2019,4,N_valid_id,44099,2022-05-30,deaths
2019,4,N_distinct_id,44098,2022-05-30,deaths
2020,6,N_row,40679,2022-05-30,deaths
2020,6,N_valid_id,40668,2022-05-30,deaths
2020,6,N_distinct_id,40668,2022-05-30,deaths
2019,6,N_row,39636,2022-05-30,deaths
2019,6,N_valid_id,39619,2022-05-30,deaths
2019,6,N_distinct_id,39618,2022-05-30,deaths
2022,2,N_row,42289,2022-05-30,deaths
2022,2,N_valid_id,42228,2022-05-30,deaths
2022,2,N_distinct_id,42228,2022-05-30,deaths
2022,5,N_row,9130,2022-05-30,deaths
2022,5,N_valid_id,5529,2022-05-30,deaths
2022,5,N_distinct_id,5529,2022-05-30,deaths
2020,11,N_row,52404,2022-05-30,deaths
2020,11,N_valid_id,52389,2022-05-30,deaths
2020,11,N_distinct_id,52388,2022-05-30,deaths
2020,7,N_row,39452,2022-05-30,deaths
2020,7,N_valid_id,39444,2022-05-30,deaths
2020,7,N_distinct_id,39441,2022-05-30,deaths
2021,4,N_row,39865,2022-05-30,deaths
2021,4,N_valid_id,39848,2022-05-30,deaths
2021,4,N_distinct_id,39848,2022-05-30,deaths
2019,8,N_row,40450,2022-05-30,deaths
2019,8,N_valid_id,40438,2022-05-30,deaths
2019,8,N_distinct_id,40438,2022-05-30,deaths
2019,11,N_row,46665,2022-05-30,deaths
2019,11,N_valid_id,46657,2022-05-30,deaths
2019,11,N_distinct_id,46657,2022-05-30,deaths
2019,2,N_row,45427,2022-05-30,deaths
2019,2,N_valid_id,45416,2022-05-30,deaths
2019,2,N_distinct_id,45415,2022-05-30,deaths
2019,5,N_row,42461,2022-05-30,deaths
2019,5,N_valid_id,42446,2022-05-30,deaths
2019,5,N_distinct_id,42446,2022-05-30,deaths
2018,6,N_row,39172,2022-05-30,deaths
2018,6,N_valid_id,39115,2022-05-30,deaths
2018,6,N_distinct_id,39113,2022-05-30,deaths
2018,10,N_row,42615,2022-05-30,deaths
2018,10,N_valid_id,42605,2022-05-30,deaths
2018,10,N_distinct_id,42604,2022-05-30,deaths
2021,7,N_row,44124,2022-05-30,deaths
2021,7,N_valid_id,44080,2022-05-30,deaths
2021,7,N_distinct_id,44079,2022-05-30,deaths
2021,1,N_row,77980,2022-05-30,deaths
2021,1,N_valid_id,77953,2022-05-30,deaths
2021,1,N_distinct_id,77950,2022-05-30,deaths
2021,12,N_row,52716,2022-05-30,deaths
2021,12,N_valid_id,52660,2022-05-30,deaths
2021,12,N_distinct_id,52657,2022-05-30,deaths
2018,8,N_row,39109,2022-05-30,deaths
2018,8,N_valid_id,39086,2022-05-30,deaths
2018,8,N_distinct_id,39084,2022-05-30,deaths
2018,12,N_row,47519,2022-05-30,deaths
2018,12,N_valid_id,47512,2022-05-30,deaths
2018,12,N_distinct_id,47512,2022-05-30,deaths
2019,7,N_row,40680,2022-05-30,deaths
2019,7,N_valid_id,40650,2022-05-30,deaths
2019,7,N_distinct_id,40650,2022-05-30,deaths
2018,5,N_row,41749,2022-05-30,deaths
2018,5,N_valid_id,41636,2022-05-30,deaths
2018,5,N_distinct_id,41630,2022-05-30,deaths
2021,5,N_row,41178,2022-05-30,deaths
2021,5,N_valid_id,41155,2022-05-30,deaths
2021,5,N_distinct_id,41155,2022-05-30,deaths
2022,3,N_row,45493,2022-05-30,deaths
2022,3,N_valid_id,45425,2022-05-30,deaths
2022,3,N_distinct_id,45425,2022-05-30,deaths
2021,11,N_row,48482,2022-05-30,deaths
2021,11,N_valid_id,48439,2022-05-30,deaths
2021,11,N_distinct_id,48438,2022-05-30,deaths
2020,1,N_row,51606,2022-05-30,deaths
2020,1,N_valid_id,51594,2022-05-30,deaths
2020,1,N_distinct_id,51592,2022-05-30,deaths
2018,4,N_row,43401,2022-05-30,deaths
2018,4,N_valid_id,43267,2022-05-30,deaths
2018,4,N_distinct_id,43266,2022-05-30,deaths
2018,11,N_row,43207,2022-05-30,deaths
2018,11,N_valid_id,43201,2022-05-30,deaths
2018,11,N_distinct_id,43200,2022-05-30,deaths
2019,12,N_row,52761,2022-05-30,deaths
2019,12,N_valid_id,52752,2022-05-30,deaths
2019,12,N_distinct_id,52751,2022-05-30,deaths
2020,10,N_row,47677,2022-05-30,deaths
2020,10,N_valid_id,47665,2022-05-30,deaths
2020,10,N_distinct_id,47665,2022-05-30,deaths
2021,10,N_row,48916,2022-05-30,deaths
2021,10,N_valid_id,48869,2022-05-30,deaths
2021,10,N_distinct_id,48869,2022-05-30,deaths
2020,4,N_row,83091,2022-05-30,deaths
2020,4,N_valid_id,83065,2022-05-30,deaths
2020,4,N_distinct_id,83064,2022-05-30,deaths
2018,1,N_row,60144,2022-05-30,deaths
2018,1,N_valid_id,60090,2022-05-30,deaths
2018,1,N_distinct_id,60089,2022-05-30,deaths
2021,6,N_row,39213,2022-05-30,deaths
2021,6,N_valid_id,39182,2022-05-30,deaths
2021,6,N_distinct_id,39178,2022-05-30,deaths
2020,12,N_row,59104,2022-05-30,deaths
2020,12,N_valid_id,59087,2022-05-30,deaths
2020,12,N_distinct_id,59087,2022-05-30,deaths
