date_y,date_m,Type,N,production_date,table_name
2019,5,N_row,1967880,2022-03-31,hes_ae
2019,5,N_valid_id,1967880,2022-03-31,hes_ae
2019,5,N_distinct_id,1659751,2022-03-31,hes_ae
2018,6,N_row,1883430,2022-03-31,hes_ae
2018,6,N_valid_id,1883430,2022-03-31,hes_ae
2018,6,N_distinct_id,1599335,2022-03-31,hes_ae
2021,9,N_row,1956514,2022-03-31,hes_ae
2021,9,N_valid_id,1956514,2022-03-31,hes_ae
2021,9,N_distinct_id,1657845,2022-03-31,hes_ae
2019,3,N_row,1937998,2022-03-31,hes_ae
2019,3,N_valid_id,1937998,2022-03-31,hes_ae
2019,3,N_distinct_id,1651692,2022-03-31,hes_ae
2020,2,N_row,1779328,2022-03-31,hes_ae
2020,2,N_valid_id,1779328,2022-03-31,hes_ae
2020,2,N_distinct_id,1505885,2022-03-31,hes_ae
2020,1,N_row,1912796,2022-03-31,hes_ae
2020,1,N_valid_id,1912796,2022-03-31,hes_ae
2020,1,N_distinct_id,1610067,2022-03-31,hes_ae
2019,9,N_row,1912108,2022-03-31,hes_ae
2019,9,N_valid_id,1912108,2022-03-31,hes_ae
2019,9,N_distinct_id,1618816,2022-03-31,hes_ae
2018,8,N_row,1809776,2022-03-31,hes_ae
2018,8,N_valid_id,1809776,2022-03-31,hes_ae
2018,8,N_distinct_id,1527821,2022-03-31,hes_ae
2020,7,N_row,1504519,2022-03-31,hes_ae
2020,7,N_valid_id,1504519,2022-03-31,hes_ae
2020,7,N_distinct_id,1264819,2022-03-31,hes_ae
2018,11,N_row,1843506,2022-03-31,hes_ae
2018,11,N_valid_id,1843506,2022-03-31,hes_ae
2018,11,N_distinct_id,1566304,2022-03-31,hes_ae
2018,5,N_row,1946157,2022-03-31,hes_ae
2018,5,N_valid_id,1946157,2022-03-31,hes_ae
2018,5,N_distinct_id,1646615,2022-03-31,hes_ae
2020,12,N_row,1371905,2022-03-31,hes_ae
2020,12,N_valid_id,1371905,2022-03-31,hes_ae
2020,12,N_distinct_id,1154976,2022-03-31,hes_ae
2021,5,N_row,1905129,2022-03-31,hes_ae
2021,5,N_valid_id,1905129,2022-03-31,hes_ae
2021,5,N_distinct_id,1607765,2022-03-31,hes_ae
2020,3,N_row,1404273,2022-03-31,hes_ae
2020,3,N_valid_id,1404273,2022-03-31,hes_ae
2020,3,N_distinct_id,1194844,2022-03-31,hes_ae
2020,11,N_row,1374026,2022-03-31,hes_ae
2020,11,N_valid_id,1374026,2022-03-31,hes_ae
2020,11,N_distinct_id,1158460,2022-03-31,hes_ae
2019,8,N_row,1913371,2022-03-31,hes_ae
2019,8,N_valid_id,1913371,2022-03-31,hes_ae
2019,8,N_distinct_id,1612605,2022-03-31,hes_ae
2019,11,N_row,1949004,2022-03-31,hes_ae
2019,11,N_valid_id,1949004,2022-03-31,hes_ae
2019,11,N_distinct_id,1642957,2022-03-31,hes_ae
2021,4,N_row,1720260,2022-03-31,hes_ae
2021,4,N_valid_id,1720260,2022-03-31,hes_ae
2021,4,N_distinct_id,1447640,2022-03-31,hes_ae
2019,10,N_row,1948251,2022-03-31,hes_ae
2019,10,N_valid_id,1948251,2022-03-31,hes_ae
2019,10,N_distinct_id,1646000,2022-03-31,hes_ae
2019,7,N_row,2055876,2022-03-31,hes_ae
2019,7,N_valid_id,2055876,2022-03-31,hes_ae
2019,7,N_distinct_id,1735617,2022-03-31,hes_ae
2020,9,N_row,1580475,2022-03-31,hes_ae
2020,9,N_valid_id,1580475,2022-03-31,hes_ae
2020,9,N_distinct_id,1334256,2022-03-31,hes_ae
2018,9,N_row,1817773,2022-03-31,hes_ae
2018,9,N_valid_id,1817773,2022-03-31,hes_ae
2018,9,N_distinct_id,1543284,2022-03-31,hes_ae
2021,7,N_row,1982390,2022-03-31,hes_ae
2021,7,N_valid_id,1982390,2022-03-31,hes_ae
2021,7,N_distinct_id,1676293,2022-03-31,hes_ae
2018,3,N_row,1806889,2022-03-31,hes_ae
2018,3,N_valid_id,1806889,2022-03-31,hes_ae
2018,3,N_distinct_id,1536695,2022-03-31,hes_ae
2021,3,N_row,1515935,2022-03-31,hes_ae
2021,3,N_valid_id,1515935,2022-03-31,hes_ae
2021,3,N_distinct_id,1285188,2022-03-31,hes_ae
2020,4,N_row,876553,2022-03-31,hes_ae
2020,4,N_valid_id,876553,2022-03-31,hes_ae
2020,4,N_distinct_id,745872,2022-03-31,hes_ae
2018,12,N_row,1841044,2022-03-31,hes_ae
2018,12,N_valid_id,1841044,2022-03-31,hes_ae
2018,12,N_distinct_id,1563607,2022-03-31,hes_ae
2020,10,N_row,1493917,2022-03-31,hes_ae
2020,10,N_valid_id,1493917,2022-03-31,hes_ae
2020,10,N_distinct_id,1258376,2022-03-31,hes_ae
2018,10,N_row,1880264,2022-03-31,hes_ae
2018,10,N_valid_id,1880264,2022-03-31,hes_ae
2018,10,N_distinct_id,1597279,2022-03-31,hes_ae
2021,6,N_row,1985602,2022-03-31,hes_ae
2021,6,N_valid_id,1985602,2022-03-31,hes_ae
2021,6,N_distinct_id,1675264,2022-03-31,hes_ae
2021,12,N_row,1703337,2022-03-31,hes_ae
2021,12,N_valid_id,1703337,2022-03-31,hes_ae
2021,12,N_distinct_id,1458197,2022-03-31,hes_ae
2019,2,N_row,1755222,2022-03-31,hes_ae
2019,2,N_valid_id,1755222,2022-03-31,hes_ae
2019,2,N_distinct_id,1499140,2022-03-31,hes_ae
2018,2,N_row,1607366,2022-03-31,hes_ae
2018,2,N_valid_id,1607366,2022-03-31,hes_ae
2018,2,N_distinct_id,1378447,2022-03-31,hes_ae
2022,1,N_row,1678344,2022-03-31,hes_ae
2022,1,N_valid_id,1678344,2022-03-31,hes_ae
2022,1,N_distinct_id,1440946,2022-03-31,hes_ae
2018,7,N_row,1970002,2022-03-31,hes_ae
