date_y,date_m,Type,N,production_date,table_name
2019,8,N_row,9805595,2022-03-31,hes_op
2019,8,N_valid_id,9805595,2022-03-31,hes_op
2019,8,N_distinct_id,6033984,2022-03-31,hes_op
2019,11,N_row,10659513,2022-03-31,hes_op
2019,11,N_valid_id,10659513,2022-03-31,hes_op
2019,11,N_distinct_id,6523443,2022-03-31,hes_op
2021,4,N_row,9555151,2022-03-31,hes_op
2021,4,N_valid_id,9555151,2022-03-31,hes_op
2021,4,N_distinct_id,5736566,2022-03-31,hes_op
2020,10,N_row,9579625,2022-03-31,hes_op
2020,10,N_valid_id,9579625,2022-03-31,hes_op
2020,10,N_distinct_id,5685727,2022-03-31,hes_op
2020,9,N_row,9419098,2022-03-31,hes_op
2020,9,N_valid_id,9419098,2022-03-31,hes_op
2020,9,N_distinct_id,5586010,2022-03-31,hes_op
2021,7,N_row,10339789,2022-03-31,hes_op
2021,7,N_valid_id,10339789,2022-03-31,hes_op
2021,7,N_distinct_id,6106932,2022-03-31,hes_op
2020,2,N_row,10018835,2022-03-31,hes_op
2020,2,N_valid_id,10018835,2022-03-31,hes_op
2020,2,N_distinct_id,6213188,2022-03-31,hes_op
2018,2,N_row,9496904,2022-03-31,hes_op
2018,2,N_valid_id,9496904,2022-03-31,hes_op
2018,2,N_distinct_id,5836003,2022-03-31,hes_op
2022,1,N_row,9733147,2022-03-31,hes_op
2022,1,N_valid_id,9733147,2022-03-31,hes_op
2022,1,N_distinct_id,5936242,2022-03-31,hes_op
2021,2,N_row,8458452,2022-03-31,hes_op
2021,2,N_valid_id,8458452,2022-03-31,hes_op
2021,2,N_distinct_id,5198000,2022-03-31,hes_op
2019,1,N_row,11032177,2022-03-31,hes_op
2019,1,N_valid_id,11032177,2022-03-31,hes_op
2019,1,N_distinct_id,6531867,2022-03-31,hes_op
2018,8,N_row,9995903,2022-03-31,hes_op
2018,8,N_valid_id,9995903,2022-03-31,hes_op
2018,8,N_distinct_id,5967655,2022-03-31,hes_op
2018,5,N_row,10564546,2022-03-31,hes_op
2018,5,N_valid_id,10564546,2022-03-31,hes_op
2018,5,N_distinct_id,6294315,2022-03-31,hes_op
2020,5,N_row,6233935,2022-03-31,hes_op
2020,5,N_valid_id,6233935,2022-03-31,hes_op
2020,5,N_distinct_id,3962335,2022-03-31,hes_op
2019,12,N_row,9503376,2022-03-31,hes_op
2019,12,N_valid_id,9503376,2022-03-31,hes_op
2019,12,N_distinct_id,5926339,2022-03-31,hes_op
2019,5,N_row,10564094,2022-03-31,hes_op
2019,5,N_valid_id,10564094,2022-03-31,hes_op
2019,5,N_distinct_id,6421282,2022-03-31,hes_op
2018,6,N_row,10270558,2022-03-31,hes_op
2018,6,N_valid_id,10270558,2022-03-31,hes_op
2018,6,N_distinct_id,6192743,2022-03-31,hes_op
2019,3,N_row,10346622,2022-03-31,hes_op
2019,3,N_valid_id,10346622,2022-03-31,hes_op
2019,3,N_distinct_id,6246693,2022-03-31,hes_op
2019,10,N_row,11441830,2022-03-31,hes_op
2019,10,N_valid_id,11441830,2022-03-31,hes_op
2019,10,N_distinct_id,6829266,2022-03-31,hes_op
2021,1,N_row,8865878,2022-03-31,hes_op
2021,1,N_valid_id,8865878,2022-03-31,hes_op
2021,1,N_distinct_id,5405403,2022-03-31,hes_op
2020,1,N_row,11153142,2022-03-31,hes_op
2020,1,N_valid_id,11153142,2022-03-31,hes_op
2020,1,N_distinct_id,6725024,2022-03-31,hes_op
2021,6,N_row,10666921,2022-03-31,hes_op
2021,6,N_valid_id,10666921,2022-03-31,hes_op
2021,6,N_distinct_id,6270605,2022-03-31,hes_op
2018,1,N_row,10740376,2022-03-31,hes_op
2018,1,N_valid_id,10740376,2022-03-31,hes_op
2018,1,N_distinct_id,6367535,2022-03-31,hes_op
2020,3,N_row,9917653,2022-03-31,hes_op
2020,3,N_valid_id,9917653,2022-03-31,hes_op
2020,3,N_distinct_id,6077645,2022-03-31,hes_op
2018,7,N_row,10493043,2022-03-31,hes_op
2018,7,N_valid_id,10493043,2022-03-31,hes_op
2018,7,N_distinct_id,6246649,2022-03-31,hes_op
2019,9,N_row,10459915,2022-03-31,hes_op
2019,9,N_valid_id,10459915,2022-03-31,hes_op
2019,9,N_distinct_id,6418597,2022-03-31,hes_op
2020,12,N_row,8905112,2022-03-31,hes_op
2020,12,N_valid_id,8905112,2022-03-31,hes_op
2020,12,N_distinct_id,5372569,2022-03-31,hes_op
2021,10,N_row,9973643,2022-03-31,hes_op
2021,10,N_valid_id,9973643,2022-03-31,hes_op
2021,10,N_distinct_id,6048081,2022-03-31,hes_op
2019,7,N_row,11226873,2022-03-31,hes_op
2019,7,N_valid_id,11226873,2022-03-31,hes_op
2019,7,N_distinct_id,6711114,2022-03-31,hes_op
2019,2,N_row,9798535,2022-03-31,hes_op
2019,2,N_valid_id,9798535,2022-03-31,hes_op
2019,2,N_distinct_id,5996589,2022-03-31,hes_op
2021,9,N_row,10590641,2022-03-31,hes_op
2021,9,N_valid_id,10590641,2022-03-31,hes_op
2021,9,N_distinct_id,6293632,2022-03-31,hes_op
2018,9,N_row,9844312,2022-03-31,hes_op
2018,9,N_valid_id,9844312,2022-03-31,hes_op
2018,9,N_distinct_id,6020596,2022-03-31,hes_op
2021,5,N_row,9568215,2022-03-31,hes_op
2021,5,N_valid_id,9568215,2022-03-31,hes_op
2021,5,N_distinct_id,5790591,2022-03-31,hes_op
2018,10,N_row,11303992,2022-03-31,hes_op
2018,10,N_valid_id,11303992,2022-03-31,hes_op
2018,10,N_distinct_id,6619616,2022-03-31,hes_op
2018,12,N_row,8862716,2022-03-31,hes_op
2018,12,N_valid_id,8862716,2022-03-31,hes_op
2018,12,N_distinct_id,5536299,2022-03-31,hes_op
2021,8,N_row,9536669,2022-03-31,hes_op
2021,8,N_valid_id,9536669,2022-03-31,hes_op
2021,8,N_distinct_id,5732405,2022-03-31,hes_op
2019,6,N_row,10054896,2022-03-31,hes_op
2019,6,N_valid_id,10054896,2022-03-31,hes_op
