date_y,date_w,Type,N,production_date,table_name
2019,4,N_row,446505,2022-03-31,hes_apc
2019,4,N_valid_id,446505,2022-03-31,hes_apc
2019,4,N_distinct_id,364680,2022-03-31,hes_apc
2019,6,N_row,452263,2022-03-31,hes_apc
2019,6,N_valid_id,452263,2022-03-31,hes_apc
2019,6,N_distinct_id,369328,2022-03-31,hes_apc
2020,6,N_row,450162,2022-03-31,hes_apc
2020,6,N_valid_id,450162,2022-03-31,hes_apc
2020,6,N_distinct_id,368597,2022-03-31,hes_apc
2020,36,N_row,337077,2022-03-31,hes_apc
2020,36,N_valid_id,337077,2022-03-31,hes_apc
2020,36,N_distinct_id,264699,2022-03-31,hes_apc
2020,49,N_row,381017,2022-03-31,hes_apc
2020,49,N_valid_id,381017,2022-03-31,hes_apc
2020,49,N_distinct_id,305477,2022-03-31,hes_apc
2018,33,N_row,418068,2022-03-31,hes_apc
2018,33,N_valid_id,418068,2022-03-31,hes_apc
2018,33,N_distinct_id,339721,2022-03-31,hes_apc
2020,50,N_row,384291,2022-03-31,hes_apc
2020,50,N_valid_id,384291,2022-03-31,hes_apc
2020,50,N_distinct_id,307909,2022-03-31,hes_apc
2019,27,N_row,442769,2022-03-31,hes_apc
2019,27,N_valid_id,442769,2022-03-31,hes_apc
2019,27,N_distinct_id,360350,2022-03-31,hes_apc
2018,45,N_row,446956,2022-03-31,hes_apc
2018,45,N_valid_id,446956,2022-03-31,hes_apc
2018,45,N_distinct_id,364121,2022-03-31,hes_apc
2020,47,N_row,381514,2022-03-31,hes_apc
2020,47,N_valid_id,381514,2022-03-31,hes_apc
2020,47,N_distinct_id,306064,2022-03-31,hes_apc
2019,14,N_row,452670,2022-03-31,hes_apc
2019,14,N_valid_id,452670,2022-03-31,hes_apc
2019,14,N_distinct_id,368020,2022-03-31,hes_apc
2020,11,N_row,421156,2022-03-31,hes_apc
2020,11,N_valid_id,421156,2022-03-31,hes_apc
2020,11,N_distinct_id,346158,2022-03-31,hes_apc
2020,40,N_row,384318,2022-03-31,hes_apc
2020,40,N_valid_id,384318,2022-03-31,hes_apc
2020,40,N_distinct_id,305148,2022-03-31,hes_apc
