date_y,date_w,Type,N,production_date,table_name
2022,1,N_row,94782367,2022-04-25,primary_care_meds
2022,1,N_valid_id,90376297,2022-04-25,primary_care_meds
2022,1,N_distinct_id,18901616,2022-04-25,primary_care_meds
2019,22,N_row,90182414,2022-04-25,primary_care_meds
2019,22,N_valid_id,80253711,2022-04-25,primary_care_meds
2019,22,N_distinct_id,17113619,2022-04-25,primary_care_meds
2018,40,N_row,96070204,2022-04-25,primary_care_meds
2018,40,N_valid_id,84376593,2022-04-25,primary_care_meds
2018,40,N_distinct_id,17476841,2022-04-25,primary_care_meds
2018,31,N_row,94012959,2022-04-25,primary_care_meds
2018,31,N_valid_id,82437672,2022-04-25,primary_care_meds
2018,31,N_distinct_id,16942273,2022-04-25,primary_care_meds
2019,31,N_row,96920516,2022-04-25,primary_care_meds
2019,31,N_valid_id,87210449,2022-04-25,primary_care_meds
2019,31,N_distinct_id,17464588,2022-04-25,primary_care_meds
2020,36,N_row,93578609,2022-04-25,primary_care_meds
2020,36,N_valid_id,89152001,2022-04-25,primary_care_meds
2020,36,N_distinct_id,18368904,2022-04-25,primary_care_meds
2019,40,N_row,97511406,2022-04-25,primary_care_meds
2019,40,N_valid_id,88019867,2022-04-25,primary_care_meds
2019,40,N_distinct_id,17937579,2022-04-25,primary_care_meds
2020,23,N_row,92367047,2022-04-25,primary_care_meds
2020,23,N_valid_id,87233789,2022-04-25,primary_care_meds
2020,23,N_distinct_id,17810151,2022-04-25,primary_care_meds
2018,13,N_row,90670689,2022-04-25,primary_care_meds
2018,13,N_valid_id,79206419,2022-04-25,primary_care_meds
2018,13,N_distinct_id,16972099,2022-04-25,primary_care_meds
2020,9,N_row,101619007,2022-04-25,primary_care_meds
2020,9,N_valid_id,93826804,2022-04-25,primary_care_meds
2020,9,N_distinct_id,19111633,2022-04-25,primary_care_meds
2021,35,N_row,96371291,2022-04-25,primary_care_meds
2021,35,N_valid_id,91762713,2022-04-25,primary_care_meds
2021,35,N_distinct_id,18986559,2022-04-25,primary_care_meds
2019,48,N_row,95145300,2022-04-25,primary_care_meds
2019,48,N_valid_id,86263277,2022-04-25,primary_care_meds
2019,48,N_distinct_id,17765475,2022-04-25,primary_care_meds
2019,5,N_row,86424113,2022-04-25,primary_care_meds
2019,5,N_valid_id,75975102,2022-04-25,primary_care_meds
2019,5,N_distinct_id,16742333,2022-04-25,primary_care_meds
2020,18,N_row,89054947,2022-04-25,primary_care_meds
2020,18,N_valid_id,84482746,2022-04-25,primary_care_meds
2020,18,N_distinct_id,17352949,2022-04-25,primary_care_meds
2019,27,N_row,93502191,2022-04-25,primary_care_meds
2019,27,N_valid_id,83237527,2022-04-25,primary_care_meds
2019,27,N_distinct_id,17342775,2022-04-25,primary_care_meds
2019,14,N_row,91210352,2022-04-25,primary_care_meds
2019,14,N_valid_id,80681049,2022-04-25,primary_care_meds
2019,14,N_distinct_id,17084256,2022-04-25,primary_care_meds
2019,1,N_row,96039359,2022-04-25,primary_care_meds
2019,1,N_valid_id,84319418,2022-04-25,primary_care_meds
2019,1,N_distinct_id,17667788,2022-04-25,primary_care_meds
2018,26,N_row,93098764,2022-04-25,primary_care_meds
2018,26,N_valid_id,81329097,2022-04-25,primary_care_meds
2018,26,N_distinct_id,17152589,2022-04-25,primary_care_meds
2018,22,N_row,92578217,2022-04-25,primary_care_meds
2018,22,N_valid_id,80743916,2022-04-25,primary_care_meds
2018,22,N_distinct_id,17203842,2022-04-25,primary_care_meds
2019,35,N_row,91346818,2022-04-25,primary_care_meds
2019,35,N_valid_id,82354918,2022-04-25,primary_care_meds
2019,35,N_distinct_id,17297993,2022-04-25,primary_care_meds
2019,18,N_row,96996989,2022-04-25,primary_care_meds
2019,18,N_valid_id,86257120,2022-04-25,primary_care_meds
2019,18,N_distinct_id,17700777,2022-04-25,primary_care_meds
2021,39,N_row,92752731,2022-04-25,primary_care_meds
2021,39,N_valid_id,88139508,2022-04-25,primary_care_meds
2021,39,N_distinct_id,18717216,2022-04-25,primary_care_meds
2018,44,N_row,93599137,2022-04-25,primary_care_meds
2018,44,N_valid_id,82329477,2022-04-25,primary_care_meds
2018,44,N_distinct_id,17302041,2022-04-25,primary_care_meds
2021,1,N_row,91761235,2022-04-25,primary_care_meds
2021,1,N_valid_id,87891553,2022-04-25,primary_care_meds
2021,1,N_distinct_id,18346079,2022-04-25,primary_care_meds
2018,35,N_row,88117780,2022-04-25,primary_care_meds
2018,35,N_valid_id,77474205,2022-04-25,primary_care_meds
2018,35,N_distinct_id,16649226,2022-04-25,primary_care_meds
2021,5,N_row,86191807,2022-04-25,primary_care_meds
2021,5,N_valid_id,82533074,2022-04-25,primary_care_meds
2021,5,N_distinct_id,17783277,2022-04-25,primary_care_meds
2018,48,N_row,92585080,2022-04-25,primary_care_meds
2018,48,N_valid_id,81525965,2022-04-25,primary_care_meds
2018,48,N_distinct_id,17056845,2022-04-25,primary_care_meds
2020,40,N_row,94994184,2022-04-25,primary_care_meds
2020,40,N_valid_id,90677632,2022-04-25,primary_care_meds
2020,40,N_distinct_id,18511458,2022-04-25,primary_care_meds
2020,5,N_row,88702888,2022-04-25,primary_care_meds
2020,5,N_valid_id,80466227,2022-04-25,primary_care_meds
2020,5,N_distinct_id,17407463,2022-04-25,primary_care_meds
2020,27,N_row,95389060,2022-04-25,primary_care_meds
2020,27,N_valid_id,90816757,2022-04-25,primary_care_meds
2020,27,N_distinct_id,18284981,2022-04-25,primary_care_meds
2020,44,N_row,91427703,2022-04-25,primary_care_meds
2020,44,N_valid_id,87452645,2022-04-25,primary_care_meds
2020,44,N_distinct_id,18284182,2022-04-25,primary_care_meds
2021,13,N_row,93931292,2022-04-25,primary_care_meds
2021,13,N_valid_id,89481672,2022-04-25,primary_care_meds
2021,13,N_distinct_id,18622008,2022-04-25,primary_care_meds
2021,26,N_row,96505045,2022-04-25,primary_care_meds
2021,26,N_valid_id,91913288,2022-04-25,primary_care_meds
2021,26,N_distinct_id,18992743,2022-04-25,primary_care_meds
2021,30,N_row,91791521,2022-04-25,primary_care_meds
2021,30,N_valid_id,87383058,2022-04-25,primary_care_meds
2021,30,N_distinct_id,18288301,2022-04-25,primary_care_meds
2021,44,N_row,96412692,2022-04-25,primary_care_meds
2021,44,N_valid_id,91749735,2022-04-25,primary_care_meds
2021,44,N_distinct_id,19179857,2022-04-25,primary_care_meds
2021,48,N_row,100479018,2022-04-25,primary_care_meds
2021,48,N_valid_id,95786240,2022-04-25,primary_care_meds
2021,48,N_distinct_id,19356636,2022-04-25,primary_care_meds
2020,31,N_row,86508559,2022-04-25,primary_care_meds
2020,31,N_valid_id,82327813,2022-04-25,primary_care_meds
2020,31,N_distinct_id,17340472,2022-04-25,primary_care_meds
2018,18,N_row,94625481,2022-04-25,primary_care_meds
2018,18,N_valid_id,82495452,2022-04-25,primary_care_meds
2018,18,N_distinct_id,17337089,2022-04-25,primary_care_meds
2020,49,N_row,97812276,2022-04-25,primary_care_meds
2020,49,N_valid_id,93619635,2022-04-25,primary_care_meds
2020,49,N_distinct_id,18642041,2022-04-25,primary_care_meds
2019,9,N_row,93039842,2022-04-25,primary_care_meds
2019,9,N_valid_id,81925523,2022-04-25,primary_care_meds
2019,9,N_distinct_id,17505565,2022-04-25,primary_care_meds
2020,1,N_row,97717592,2022-04-25,primary_care_meds
2020,1,N_valid_id,88433169,2022-04-25,primary_care_meds
2020,1,N_distinct_id,18222331,2022-04-25,primary_care_meds
2022,5,N_row,88984003,2022-04-25,primary_care_meds
2022,5,N_valid_id,84791321,2022-04-25,primary_care_meds
2022,5,N_distinct_id,18326074,2022-04-25,primary_care_meds
2020,14,N_row,94519817,2022-04-25,primary_care_meds
2020,14,N_valid_id,89229260,2022-04-25,primary_care_meds
2020,14,N_distinct_id,17569496,2022-04-25,primary_care_meds
2021,9,N_row,96881905,2022-04-25,primary_care_meds
2021,9,N_valid_id,92761963,2022-04-25,primary_care_meds
2021,9,N_distinct_id,18940380,2022-04-25,primary_care_meds
2019,44,N_row,93305660,2022-04-25,primary_care_meds
2019,44,N_valid_id,84403516,2022-04-25,primary_care_meds
2019,44,N_distinct_id,17689526,2022-04-25,primary_care_meds
2021,22,N_row,96756078,2022-04-25,primary_care_meds
2021,22,N_valid_id,92152087,2022-04-25,primary_care_meds
2021,22,N_distinct_id,19129569,2022-04-25,primary_care_meds
2021,17,N_row,89982087,2022-04-25,primary_care_meds
2021,17,N_valid_id,85633726,2022-04-25,primary_care_meds
2021,17,N_distinct_id,18317031,2022-04-25,primary_care_meds
