Group,Dataset,Nation,Key,Description
Primary,GDPPR,England,Dataset available ,
Secondary Care,"HES (Admitted Patient Care, Outpatient, Critical Care, Accident & Emergency)",England,Dataset available ,
Secondary Care,SUS,England,Dataset available ,
Secondary Care,Uncurated Low Latency Hospital Data,England,Dataset available ,
Secondary Care,Emergency Care Data Set,England,Dataset available ,"The Emergency Care Data Set (ECDS) is the national data set for urgent and emergency care. ECDS collects information about why people attend emergency departments and the treatment they receive to improve patient care through better and more consistent information, allow better planning of healthcare services and improve communication between health professionals"
Covid-19 Lab Tests,"SGSS (Pillar 1, 2 – positive results only)",England,Dataset available ,"Demographic and diagnostic information concerning antigen test reports for COVID-19, in England only. This dataset currently includes the first positive results from Pillar 1 (swab testing in PHE and NHS hospital labs), and Pillar 2 (swab testing for the wider population). Future flows are anticipated to include all positive, negative, void and inconclusive test results."
Covid-19 Lab Tests,Pillar 2 Antigen (positive and negative),England,Dataset available ,"Data related to the second pillar of the Government’s testing programme. It is a collection on antigen swab COVID-19 testing, conducted via drive-through test centres, mobile testing units, satellite test centres, home testing and care home testing. It consists of records from the entire UK, but only English data is provided by default records from devolved nations need to specifically mention in the application."
Covid-19 Lab Tests,Pillar 3 Antibody (positive and negative),England,Dataset available ,
Covid-19 Lab Tests,Variant strain data (COG-UK),England,Dataset requested,
Covid-19 Vaccinations,Covid-19 vaccination events,England,Dataset available ,
Covid-19 Vaccinations,Covid-19 vaccination adverse reactions,England,Dataset available ,"Records relating to patients who have had any adverse reaction to a COVID-19 vaccination, which occur within the first fifteen minutes after administration of the vaccine. Scope covers any adverse reactions that occur within the first 15 minutes after administration of the vaccine for vaccination events in England, or events from devolved administrations where this information was subsequently passed to England."
Deaths,Civil Registry Deaths,England,Dataset available ,"Details of all registered deaths in England and Wales since 1993, as provided by the ONS. It contains details of the registration and basic demographics of the deceased person."
ITU,ICNARC COVID,England,Dataset available ,
ITU/HDU Admissions,(COVID-19 SARI-Watch - formerly CHESS),England,Dataset available ,"demographic, risk factor, treatment, and outcome information for patients admitted to hospital with a confirmed COVID-19 diagnosis, as recorded in the UKHSA Severe Acute Respiratory Infection (SARI) Watch system.Note that SARI Watch replaced the COVID-19 Hospitalisation in England Surveillance System (CHESS) which was initiated across all NHS Trusts in England on 15 March 2020. SARI Watch replaced CHESS in summer 2020 and collects the same data items as CHESS but includes infections other than COVID-19."
Prescribing/Dispensing,NHS BSA Dispensed Medicines,England,Dataset available ,NHS Digital has established a monthly collection of patient-level data about medicines dispensed and claimed for in community settings (predominantly community pharmacy) from the NHS Business Services Authority (NHSBSA).
Prescribing/Dispensing,Secondary care prescribed medicines,England,Dataset available ,
