column_name,completeness,dataset
AdmissionCOVID19,0.958,chess
AdmissionFlu,0.455,chess
AdmissionRSV,0.429,chess
AdmittedToICU,1,chess
AgeMonth,0.999,chess
AgeYear,0.999,chess
AntiCovid19Treatment,0,chess
AsthmaRequiring,0.951,chess
AsymptomaticTesting,0.443,chess
BatchId,1,chess
CaseId,1,chess
CauseOfDeath,0,chess
ChronicHeart,0.952,chess
ChronicLiver,0.778,chess
ChronicNeurological,0.951,chess
ChronicRenal,0.951,chess
ChronicRespiratory,0.952,chess
Covid19,1,chess
DateAdmittedICU,0.251,chess
DateLeavingICU,0.201,chess
DateUpdated,0.639,chess
DiabetesType,0.116,chess
EstimatedDateOnset,0.555,chess
Ethnicity,0.97,chess
FinalOutcome,0.976,chess
FinalOutcomeDate,0.89,chess
GestationWeek,0.156,chess
Highflownasaloxygen,1,chess
HospitalAdmissionAdmittedFrom,0.957,chess
HospitalAdmissionDate,1,chess
HospitalAdmissionHours,0,chess
HospitalAdmissionMinutes,0,chess
HoursAdmittedICU,0,chess
Hypertension,0.954,chess
ImmunosuppressionDisease,0.95,chess
ImmunosuppressionTreatment,0.95,chess
InfectionSwabDate,0.943,chess
InfluenzaAH1N1pdm2009,0,chess
InfluenzaAH3N2,0,chess
InfluenzaAnonsubtyped,0,chess
InfluenzaAunsubtypable,0,chess
InfluenzaB,0,chess
Invasivemechanicalventilation,1,chess
IsARDSComplication,0.079,chess
IsDiabetes,0.78,chess
LabTestDate,0.983,chess
Mechanicalinvasiveventilationduration,0,chess
MinutesAdmittedICU,0,chess
NoninvasiveMechanicalventilation,1,chess
ObesityBMI,0.6,chess
ObesityClinical,0.95,chess
OrganismName,0,chess
Oxygenviacannulaeormask,1,chess
PERSON_ID_DEID,0.994,chess
PatientStillOnICU,0.25,chess
Pregnancy,0.694,chess
Prematurity,0.554,chess
ProductionDate,1,chess
RSV,0,chess
RespiratorySupportECMO,1,chess
RespiratorySupportNone,1,chess
RespiratorySupportUnknown,0.889,chess
SBDate,0,chess
SBOther,0,chess
SBPDate,0.051,chess
SBPOrganismName,0.024,chess
SBPOther,0,chess
SeriousMentalIllness,0.584,chess
Sex,1,chess
TransferDestination,0.074,chess
TravelIn14Days,0.656,chess
TrustCode,1,chess
TrustName,1,chess
Typeofspecimen,1,chess
WasthepatientadmittedtoICU,0,chess
WeekNo,1,chess
WeekofAdmission,1,chess
WorksAsHealthcareWorker,0.95,chess
YearofAdmission,1,chess
archived_on,1,chess
AccessionDate,1,covid_antibody_testing_pillar3
AdministrationMethod,0,covid_antibody_testing_pillar3
Analyser,1,covid_antibody_testing_pillar3
AppointmentDate,1,covid_antibody_testing_pillar3
BatchId,1,covid_antibody_testing_pillar3
CareHomeRole,0.16,covid_antibody_testing_pillar3
Country,1,covid_antibody_testing_pillar3
County,0.999,covid_antibody_testing_pillar3
CovidSymptomatic,1,covid_antibody_testing_pillar3
DateOfOnset,0.564,covid_antibody_testing_pillar3
DateOfPositiveTest,0.541,covid_antibody_testing_pillar3
IndustrySector,0.523,covid_antibody_testing_pillar3
KeyWorkerID,0.959,covid_antibody_testing_pillar3
KeyWorkerType,0.959,covid_antibody_testing_pillar3
LocalAuthority,0.999,covid_antibody_testing_pillar3
NHSRegion,0.999,covid_antibody_testing_pillar3
NonDigitalUser,1,covid_antibody_testing_pillar3
Occupation,0.491,covid_antibody_testing_pillar3
OrganisationId,0.004,covid_antibody_testing_pillar3
ParliamentaryConstituency,0.999,covid_antibody_testing_pillar3
Person_ID_DEID,1,covid_antibody_testing_pillar3
ProcessingLabCode,1,covid_antibody_testing_pillar3
ProductionDate,1,covid_antibody_testing_pillar3
RecordCreatedDate,1,covid_antibody_testing_pillar3
ResultValueUnitOfMeasure,0.984,covid_antibody_testing_pillar3
STP,0.999,covid_antibody_testing_pillar3
SpecimenID,1,covid_antibody_testing_pillar3
SpecimenProcessedDate,1,covid_antibody_testing_pillar3
SubjectID,1,covid_antibody_testing_pillar3
TestCentreID,1,covid_antibody_testing_pillar3
TestEndDate,1,covid_antibody_testing_pillar3
TestKit,0.67,covid_antibody_testing_pillar3
TestLocation,1,covid_antibody_testing_pillar3
TestResult,1,covid_antibody_testing_pillar3
TestStartDate,1,covid_antibody_testing_pillar3
TestType,1,covid_antibody_testing_pillar3
WorkStatus,0.102,covid_antibody_testing_pillar3
archived_on,1,covid_antibody_testing_pillar3
AdministrationMethod,0.852,covid_antigen_testing_pillar2
AppointmentDate,1,covid_antigen_testing_pillar2
BatchId,1,covid_antigen_testing_pillar2
CareHomeRole,0.01,covid_antigen_testing_pillar2
Country,0.996,covid_antigen_testing_pillar2
CountryCode,1,covid_antigen_testing_pillar2
County,1,covid_antigen_testing_pillar2
CovidSymptomatic,0.967,covid_antigen_testing_pillar2
DateOfOnset,0.083,covid_antigen_testing_pillar2
IndustrySector,0.181,covid_antigen_testing_pillar2
KeyWorkerID,0.123,covid_antigen_testing_pillar2
KeyWorkerType,0.123,covid_antigen_testing_pillar2
LocalAuthority,1,covid_antigen_testing_pillar2
NHSRegion,1,covid_antigen_testing_pillar2
NonDigitalUser,0.983,covid_antigen_testing_pillar2
Occupation,0.299,covid_antigen_testing_pillar2
OccupationTitle,0.298,covid_antigen_testing_pillar2
OrganisationId,0.509,covid_antigen_testing_pillar2
ParliamentaryConstituency,1,covid_antigen_testing_pillar2
Person_ID_DEID,1,covid_antigen_testing_pillar2
PostCodeCountry,0.999,covid_antigen_testing_pillar2
ProcessTime,0.011,covid_antigen_testing_pillar2
ProcessingLabCode,1,covid_antigen_testing_pillar2
ProductionDate,1,covid_antigen_testing_pillar2
RecordCreatedDate,1,covid_antigen_testing_pillar2
ResultInfo,0.003,covid_antigen_testing_pillar2
STP,1,covid_antigen_testing_pillar2
SampleCreationDate,0.056,covid_antigen_testing_pillar2
SpecimenID,1,covid_antigen_testing_pillar2
SpecimenProcessedDate,1,covid_antigen_testing_pillar2
SubjectID,1,covid_antigen_testing_pillar2
TestCentreCountry,0.156,covid_antigen_testing_pillar2
TestCentreCountryName,0.061,covid_antigen_testing_pillar2
TestCentreID,1,covid_antigen_testing_pillar2
TestCentreRefDataPostcode,0.152,covid_antigen_testing_pillar2
TestEndDate,1,covid_antigen_testing_pillar2
TestLocation,0.945,covid_antigen_testing_pillar2
TestResult,1,covid_antigen_testing_pillar2
TestStartDate,1,covid_antigen_testing_pillar2
TestType,0.983,covid_antigen_testing_pillar2
WorkOrStudyStatus,0.244,covid_antigen_testing_pillar2
WorkStatus,0.145,covid_antigen_testing_pillar2
archived_on,1,covid_antigen_testing_pillar2
BatchId,1,deaths
CANCELLED_FLAG,1,deaths
CCGPOD,0.11,deaths
CCGR,0.142,deaths
COR_AREA_NAME,0,deaths
COR_INQ_DATES,0,deaths
CTYDR,0.771,deaths
CTYR,0.771,deaths
DEC_BIRTH_COUNTRY_CODE,1,deaths
DEC_CONF_NHS_NUMBER_CLEAN_DEID,0.993,deaths
DEC_OCC_TYPE,1,deaths
DEC_RETIRED_IND,0.257,deaths
GORR,0.639,deaths
HAUTPOD,0.536,deaths
HAUTR,0.672,deaths
HROR,0.672,deaths
ICD9_ORIG_MENTION_1,0.264,deaths
ICD9_ORIG_MENTION_10,0,deaths
ICD9_ORIG_MENTION_11,0,deaths
ICD9_ORIG_MENTION_12,0,deaths
ICD9_ORIG_MENTION_13,0,deaths
ICD9_ORIG_MENTION_14,0,deaths
ICD9_ORIG_MENTION_15,0,deaths
ICD9_ORIG_MENTION_2,0.197,deaths
ICD9_ORIG_MENTION_3,0.089,deaths
ICD9_ORIG_MENTION_4,0.031,deaths
ICD9_ORIG_MENTION_5,0.01,deaths
ICD9_ORIG_MENTION_6,0.003,deaths
ICD9_ORIG_MENTION_7,0.001,deaths
ICD9_ORIG_MENTION_8,0,deaths
ICD9_ORIG_MENTION_9,0,deaths
LSOAR,0.152,deaths
NEO_NATE_FLAG,0.231,deaths
OUT_SECCATDM,0.249,deaths
OUT_SECCATHF,0.13,deaths
PCDIND,0.261,deaths
POD_CODE,1,deaths
POD_ESTABLISHMENT_TYPE,0.759,deaths
POD_NHS_ESTABLISHMENT,0.759,deaths
ProductionDate,1,deaths
REG_DATE,1,deaths
REG_DATE_OF_DEATH,1,deaths
REG_DISTRICT_CODE,1,deaths
REG_DISTRICT_NAME,0.996,deaths
REG_SUB_DISTRICT_CODE,1,deaths
REG_SUB_DISTRICT_NAME,0.773,deaths
SOC2KDM,0.242,deaths
SOC2KHF,0.123,deaths
S_COD_CODE_1,0.78,deaths
S_COD_CODE_10,0.002,deaths
S_COD_CODE_11,0.001,deaths
S_COD_CODE_12,0,deaths
S_COD_CODE_13,0,deaths
S_COD_CODE_14,0,deaths
S_COD_CODE_15,0,deaths
S_COD_CODE_2,0.599,deaths
S_COD_CODE_3,0.363,deaths
S_COD_CODE_4,0.193,deaths
S_COD_CODE_5,0.093,deaths
S_COD_CODE_6,0.042,deaths
S_COD_CODE_7,0.018,deaths
S_COD_CODE_8,0.008,deaths
S_COD_CODE_9,0.004,deaths
S_INJURY_EXTERNAL,0.035,deaths
S_UNDERLYING_COD_ICD10,0.78,deaths
S_UNDERLYING_COD_ICD9,0.264,deaths
UTLA9POD,0.071,deaths
UTLA9R,0.093,deaths
WARDR,0.771,deaths
archived_on,1,deaths
ADMINISTERED_DATE_TIME,0.727,epma_administration
ADMINISTRATION_ID_HASHED,1,epma_administration
BatchId,1,epma_administration
LAST_UPDATED_DATE,1,epma_administration
MEDICATION_NAME,1,epma_administration
NHS_NUMBER_DEID,0.949,epma_administration
ODS_CODE,1,epma_administration
PATIENT_AGE,0.948,epma_administration
PATIENT_GENDER,0.947,epma_administration
PATIENT_GP_PRACTICE_CCG_ODS_CODE,0.919,epma_administration
PATIENT_GP_PRACTICE_LA_DISTRICT,0.924,epma_administration
PATIENT_GP_PRACTICE_ODS_CODE,0.924,epma_administration
PATIENT_LOCATION_CCG_ODS_CODE,0.933,epma_administration
PATIENT_LSOA,0.931,epma_administration
PRESCRIPTION_ID_HASHED,0.959,epma_administration
ProductionDate,1,epma_administration
REASON_GIVEN_OR_NOT_GIVEN,0,epma_administration
RECORDED_DATE_TIME,1,epma_administration
REPORTED_DATE_TIME,1,epma_administration
SCHEDULED_DATE_TIME,1,epma_administration
archived_on,1,epma_administration
ADMINISTRATION_ID_HASHED,1,epma_administration_dmd
AMP,0.176,epma_administration_dmd
AMPP,0,epma_administration_dmd
AMPP_NAME,0,epma_administration_dmd
AMP_NAME,0.176,epma_administration_dmd
BatchId,1,epma_administration_dmd
