dataset,date_ym,n,n_id,n_id_distinct,archived_on
mhs001mpi,2016-01,56115,56115,55820,2024-07-09
mhs001mpi,2016-02,58160,58160,57890,2024-07-09
mhs001mpi,2016-03,76525,76525,76145,2024-07-09
mhs001mpi,2016-04,60955,60955,60530,2024-07-09
mhs001mpi,2016-05,60930,60930,60520,2024-07-09
mhs001mpi,2016-06,64365,64365,63955,2024-07-09
mhs001mpi,2016-07,85870,85870,85410,2024-07-09
mhs001mpi,2016-08,214515,214515,213905,2024-07-09
mhs001mpi,2016-09,75120,75120,74655,2024-07-09
mhs001mpi,2016-10,69420,69420,68975,2024-07-09
mhs001mpi,2016-11,68115,68115,67670,2024-07-09
mhs001mpi,2016-12,62080,62080,61605,2024-07-09
mhs001mpi,2017-01,66645,66645,66145,2024-07-09
mhs001mpi,2017-02,61360,61360,60950,2024-07-09
mhs001mpi,2017-03,96575,96575,95950,2024-07-09
mhs001mpi,2017-04,70590,70590,70130,2024-07-09
mhs001mpi,2017-05,74100,74100,72795,2024-07-09
mhs001mpi,2017-06,82510,82510,81065,2024-07-09
mhs001mpi,2017-07,67455,67455,66960,2024-07-09
mhs001mpi,2017-08,68360,68360,67850,2024-07-09
mhs001mpi,2017-09,74410,74410,73890,2024-07-09
mhs001mpi,2017-10,65275,65275,64785,2024-07-09
mhs001mpi,2017-11,69865,69865,69290,2024-07-09
mhs001mpi,2017-12,60920,60920,60420,2024-07-09
mhs001mpi,2018-01,73220,73220,72625,2024-07-09
mhs001mpi,2018-02,64345,64345,63855,2024-07-09
mhs001mpi,2018-03,74245,74245,73665,2024-07-09
mhs001mpi,2018-04,68175,68175,67560,2024-07-09
mhs001mpi,2018-05,74585,74585,73935,2024-07-09
mhs001mpi,2018-06,73935,73935,73350,2024-07-09
mhs001mpi,2018-07,84645,84645,83985,2024-07-09
mhs001mpi,2018-08,73790,73790,73195,2024-07-09
mhs001mpi,2018-09,68635,68635,68105,2024-07-09
mhs001mpi,2018-10,93535,93535,92720,2024-07-09
mhs001mpi,2018-11,111815,111815,111135,2024-07-09
mhs001mpi,2018-12,75570,75570,74995,2024-07-09
mhs001mpi,2019-01,85875,85875,85170,2024-07-09
mhs001mpi,2019-02,79450,79450,78845,2024-07-09
mhs001mpi,2019-03,145855,145855,144415,2024-07-09
mhs001mpi,2019-04,87005,87005,86200,2024-07-09
mhs001mpi,2019-05,91540,91540,90625,2024-07-09
mhs001mpi,2019-06,89120,89120,88245,2024-07-09
mhs001mpi,2019-07,104115,104115,103085,2024-07-09
mhs001mpi,2019-08,89935,89935,89105,2024-07-09
mhs001mpi,2019-09,105655,105655,104630,2024-07-09
mhs001mpi,2019-10,103410,103410,102555,2024-07-09
mhs001mpi,2019-11,99695,99695,98960,2024-07-09
mhs001mpi,2019-12,98160,98160,97425,2024-07-09
mhs001mpi,2020-01,105985,105985,105075,2024-07-09
mhs001mpi,2020-02,103015,103015,102235,2024-07-09
mhs001mpi,2020-03,153655,153655,152275,2024-07-09
mhs001mpi,2020-04,101430,101430,100630,2024-07-09
mhs001mpi,2020-05,79810,79805,79105,2024-07-09
mhs001mpi,2020-06,85810,85805,85035,2024-07-09
mhs001mpi,2020-07,89795,89785,88845,2024-07-09
mhs001mpi,2020-08,83465,83465,82595,2024-07-09
mhs001mpi,2020-09,91290,91285,90380,2024-07-09
mhs001mpi,2020-10,98270,98265,97290,2024-07-09
mhs001mpi,2020-11,102210,102210,101145,2024-07-09
mhs001mpi,2020-12,114160,114155,113090,2024-07-09
mhs001mpi,2021-01,98655,98655,97730,2024-07-09
mhs001mpi,2021-02,94345,94340,93540,2024-07-09
mhs001mpi,2021-03,131135,131120,128330,2024-07-09
mhs001mpi,2021-04,107215,107215,106055,2024-07-09
mhs001mpi,2021-05,122005,121995,120875,2024-07-09
mhs001mpi,2021-06,117650,117635,116450,2024-07-09
mhs001mpi,2021-07,119520,119515,118215,2024-07-09
mhs001mpi,2021-08,105535,105525,104525,2024-07-09
mhs001mpi,2021-09,125405,125390,124050,2024-07-09
mhs001mpi,2021-10,128630,128625,127485,2024-07-09
mhs001mpi,2021-11,144600,144590,143410,2024-07-09
mhs001mpi,2021-12,132235,132220,131060,2024-07-09
mhs001mpi,2022-01,133200,133185,132140,2024-07-09
mhs001mpi,2022-02,137220,137205,136120,2024-07-09
mhs001mpi,2022-03,192575,192565,190770,2024-07-09
mhs001mpi,2022-04,135435,135425,134305,2024-07-09
mhs001mpi,2022-05,168900,168880,167385,2024-07-09
mhs001mpi,2022-06,146090,146070,144845,2024-07-09
mhs001mpi,2022-07,155380,155350,153840,2024-07-09
mhs001mpi,2022-08,137440,137400,136045,2024-07-09
mhs001mpi,2022-09,150435,150380,149135,2024-07-09
mhs001mpi,2022-10,146105,146075,144890,2024-07-09
mhs001mpi,2022-11,161400,161375,159965,2024-07-09
mhs001mpi,2022-12,142085,142065,140460,2024-07-09
mhs001mpi,2023-01,160290,160265,159080,2024-07-09
mhs001mpi,2023-02,167655,167635,166135,2024-07-09
mhs001mpi,2023-03,212875,212840,210775,2024-07-09
mhs001mpi,2023-04,150350,150335,148850,2024-07-09
mhs001mpi,2023-05,173445,173430,171675,2024-07-09
mhs001mpi,2023-06,178925,178900,177015,2024-07-09
mhs001mpi,2023-07,185410,185385,183575,2024-07-09
mhs001mpi,2023-08,180260,180230,178160,2024-07-09
mhs001mpi,2023-09,182105,182075,179995,2024-07-09
mhs001mpi,2023-10,196690,196675,194225,2024-07-09
mhs001mpi,2023-11,207180,207155,204595,2024-07-09
mhs001mpi,2023-12,189395,189375,186900,2024-07-09
mhs001mpi,2024-01,220830,220810,217615,2024-07-09
mhs001mpi,2024-02,241825,241785,237970,2024-07-09
mhs001mpi,2024-03,2218260,2218190,2123445,2024-07-09
mhs002gp,2016-01,116275,116275,109570,2024-07-09
mhs002gp,2016-02,111600,111600,105340,2024-07-09
mhs002gp,2016-03,141880,141880,134805,2024-07-09
mhs002gp,2016-04,118905,118905,111740,2024-07-09
mhs002gp,2016-05,134845,134845,121925,2024-07-09
mhs002gp,2016-06,138765,138765,124995,2024-07-09
mhs002gp,2016-07,154420,154420,142640,2024-07-09
mhs002gp,2016-08,287080,287080,273435,2024-07-09
mhs002gp,2016-09,163665,163665,148570,2024-07-09
mhs002gp,2016-10,129320,129320,125005,2024-07-09
mhs002gp,2016-11,115905,115905,111995,2024-07-09
mhs002gp,2016-12,103795,103795,100150,2024-07-09
mhs002gp,2017-01,121285,121285,117655,2024-07-09
mhs002gp,2017-02,134525,134525,130750,2024-07-09
mhs002gp,2017-03,168770,168770,164110,2024-07-09
mhs002gp,2017-04,137395,137395,134110,2024-07-09
mhs002gp,2017-05,125300,125300,119855,2024-07-09
mhs002gp,2017-06,128040,128040,122410,2024-07-09
mhs002gp,2017-07,116830,116830,112315,2024-07-09
mhs002gp,2017-08,121760,121760,117275,2024-07-09
mhs002gp,2017-09,120300,120300,116275,2024-07-09
mhs002gp,2017-10,112730,112730,108340,2024-07-09
mhs002gp,2017-11,132675,132675,127875,2024-07-09
mhs002gp,2017-12,104305,104305,100665,2024-07-09
mhs002gp,2018-01,123855,123855,119050,2024-07-09
mhs002gp,2018-02,111245,111245,107200,2024-07-09
mhs002gp,2018-03,195730,195730,189720,2024-07-09
mhs002gp,2018-04,122980,122980,118225,2024-07-09
mhs002gp,2018-05,163855,163855,158890,2024-07-09
mhs002gp,2018-06,125230,125230,120555,2024-07-09
mhs002gp,2018-07,161945,161945,155790,2024-07-09
mhs002gp,2018-08,135445,135445,130225,2024-07-09
mhs002gp,2018-09,123925,123925,119435,2024-07-09
mhs002gp,2018-10,158345,158345,152310,2024-07-09
mhs002gp,2018-11,171855,171855,166785,2024-07-09
mhs002gp,2018-12,121520,121520,117400,2024-07-09
mhs002gp,2019-01,163055,163055,157165,2024-07-09
mhs002gp,2019-02,174905,174905,168735,2024-07-09
mhs002gp,2019-03,388885,388880,379320,2024-07-09
mhs002gp,2019-04,265200,265200,256575,2024-07-09
mhs002gp,2019-05,286285,286285,276305,2024-07-09
mhs002gp,2019-06,257590,257590,248220,2024-07-09
mhs002gp,2019-07,246160,246160,236125,2024-07-09
mhs002gp,2019-08,228610,228610,221105,2024-07-09
mhs002gp,2019-09,238885,238885,230545,2024-07-09
mhs002gp,2019-10,244870,244870,236260,2024-07-09
mhs002gp,2019-11,243275,243275,235830,2024-07-09
mhs002gp,2019-12,226345,226345,219385,2024-07-09
mhs002gp,2020-01,240935,240935,232405,2024-07-09
mhs002gp,2020-02,237160,237160,229630,2024-07-09
mhs002gp,2020-03,328125,328120,318015,2024-07-09
mhs002gp,2020-04,206045,206040,199535,2024-07-09
mhs002gp,2020-05,178655,178650,173100,2024-07-09
mhs002gp,2020-06,188735,188730,181965,2024-07-09
mhs002gp,2020-07,194195,194180,187035,2024-07-09
mhs002gp,2020-08,188040,188035,180740,2024-07-09
mhs002gp,2020-09,215460,215450,207535,2024-07-09
mhs002gp,2020-10,208065,208055,200045,2024-07-09
mhs002gp,2020-11,209055,209045,201140,2024-07-09
mhs002gp,2020-12,210900,210890,203915,2024-07-09
mhs002gp,2021-01,193870,193865,186830,2024-07-09
mhs002gp,2021-02,188345,188335,181675,2024-07-09
mhs002gp,2021-03,254815,254795,243505,2024-07-09
mhs002gp,2021-04,194730,194725,186850,2024-07-09
mhs002gp,2021-05,207825,207810,200350,2024-07-09
mhs002gp,2021-06,214800,214780,206560,2024-07-09
mhs002gp,2021-07,194895,194885,186695,2024-07-09
mhs002gp,2021-08,166400,166375,159745,2024-07-09
mhs002gp,2021-09,230280,230265,221910,2024-07-09
mhs002gp,2021-10,174570,174560,167540,2024-07-09
mhs002gp,2021-11,194815,194805,187510,2024-07-09
mhs002gp,2021-12,178370,178355,171735,2024-07-09
mhs002gp,2022-01,190885,190870,183980,2024-07-09
mhs002gp,2022-02,180500,180490,174190,2024-07-09
mhs002gp,2022-03,275510,275500,266385,2024-07-09
mhs002gp,2022-04,180560,180545,173485,2024-07-09
mhs002gp,2022-05,220725,220705,212090,2024-07-09
mhs002gp,2022-06,195695,195670,188880,2024-07-09
mhs002gp,2022-07,207990,207955,200935,2024-07-09
mhs002gp,2022-08,181620,181575,174650,2024-07-09
mhs002gp,2022-09,198665,198605,191715,2024-07-09
mhs002gp,2022-10,199160,199125,192200,2024-07-09
mhs002gp,2022-11,210370,210340,202880,2024-07-09
mhs002gp,2022-12,188650,188630,181875,2024-07-09
mhs002gp,2023-01,208750,208725,201310,2024-07-09
mhs002gp,2023-02,215315,215285,208180,2024-07-09
mhs002gp,2023-03,321540,321500,311110,2024-07-09
mhs002gp,2023-04,188565,188540,181865,2024-07-09
mhs002gp,2023-05,215645,215625,207805,2024-07-09
mhs002gp,2023-06,225280,225245,217030,2024-07-09
mhs002gp,2023-07,233890,233855,225420,2024-07-09
mhs002gp,2023-08,222165,222135,213590,2024-07-09
mhs002gp,2023-09,225010,224970,216375,2024-07-09
mhs002gp,2023-10,267405,267385,257350,2024-07-09
mhs002gp,2023-11,252050,252030,242170,2024-07-09
mhs002gp,2023-12,225950,225925,217510,2024-07-09
mhs002gp,2024-01,265555,265530,255060,2024-07-09
mhs002gp,2024-02,293265,293220,282280,2024-07-09
mhs002gp,2024-03,2237230,2237160,2123445,2024-07-09
mhs003accommstatus,null,1151650,1151640,198120,2024-07-09
mhs003accommstatus,1800-01,290,290,45,2024-07-09
mhs003accommstatus,1900-01,12140,12140,1305,2024-07-09
mhs003accommstatus,1900-02,15,15,10,2024-07-09
mhs003accommstatus,1900-04,10,10,10,2024-07-09
mhs003accommstatus,1901-01,315,315,65,2024-07-09
mhs003accommstatus,1902-01,10,10,10,2024-07-09
mhs003accommstatus,1910-03,10,10,10,2024-07-09
mhs003accommstatus,1919-09,10,10,10,2024-07-09
mhs003accommstatus,1920-08,10,10,10,2024-07-09
mhs003accommstatus,1920-10,10,10,10,2024-07-09
mhs003accommstatus,1921-07,10,10,10,2024-07-09
mhs003accommstatus,1921-08,10,10,10,2024-07-09
mhs003accommstatus,1922-03,10,10,10,2024-07-09
mhs003accommstatus,1922-09,60,60,10,2024-07-09
mhs003accommstatus,1923-02,10,10,10,2024-07-09
mhs003accommstatus,1923-03,10,10,10,2024-07-09
mhs003accommstatus,1923-05,10,10,10,2024-07-09
mhs003accommstatus,1923-10,10,10,10,2024-07-09
mhs003accommstatus,1924-10,10,10,10,2024-07-09
mhs003accommstatus,1925-01,15,15,10,2024-07-09
mhs003accommstatus,1925-02,10,10,10,2024-07-09
mhs003accommstatus,1925-08,10,10,10,2024-07-09
mhs003accommstatus,1925-09,20,20,10,2024-07-09
mhs003accommstatus,1925-10,15,15,10,2024-07-09
mhs003accommstatus,1925-12,10,10,10,2024-07-09
mhs003accommstatus,1926-02,10,10,10,2024-07-09
mhs003accommstatus,1926-04,15,15,10,2024-07-09
mhs003accommstatus,1926-07,25,25,10,2024-07-09
mhs003accommstatus,1926-11,10,10,10,2024-07-09
mhs003accommstatus,1927-06,10,10,10,2024-07-09
mhs003accommstatus,1927-08,20,20,10,2024-07-09
mhs003accommstatus,1927-09,10,10,10,2024-07-09
mhs003accommstatus,1927-10,15,15,10,2024-07-09
mhs003accommstatus,1927-11,20,20,10,2024-07-09
mhs003accommstatus,1928-02,10,10,10,2024-07-09
mhs003accommstatus,1928-04,10,10,10,2024-07-09
mhs003accommstatus,1928-07,10,10,10,2024-07-09
mhs003accommstatus,1928-08,10,10,10,2024-07-09
mhs003accommstatus,1928-10,10,10,10,2024-07-09
mhs003accommstatus,1928-11,20,20,10,2024-07-09
mhs003accommstatus,1928-12,10,10,10,2024-07-09
mhs003accommstatus,1929-01,10,10,10,2024-07-09
mhs003accommstatus,1929-02,10,10,10,2024-07-09
mhs003accommstatus,1929-03,20,20,10,2024-07-09
mhs003accommstatus,1929-04,10,10,10,2024-07-09
mhs003accommstatus,1929-06,15,15,10,2024-07-09
mhs003accommstatus,1929-07,10,10,10,2024-07-09
mhs003accommstatus,1929-08,25,25,10,2024-07-09
mhs003accommstatus,1929-10,10,10,10,2024-07-09
mhs003accommstatus,1929-11,10,10,10,2024-07-09
mhs003accommstatus,1930-01,15,15,10,2024-07-09
mhs003accommstatus,1930-02,20,20,10,2024-07-09
mhs003accommstatus,1930-04,10,10,10,2024-07-09
mhs003accommstatus,1930-05,10,10,10,2024-07-09
mhs003accommstatus,1930-06,15,15,10,2024-07-09
mhs003accommstatus,1930-07,40,40,10,2024-07-09
mhs003accommstatus,1930-08,15,15,10,2024-07-09
