dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,a1dea5a8-3329-4149-8c7e-c6a4ff793360,2024-09-02,106185,105575,96010
covid_antibody_testing_pillar3,fd6d050f-054a-43dc-9208-b6f885e0d919,2023-03-31,945445,945445,751385
covid_antigen_testing_pillar2,9a5576ee-0081-459e-b294-923ffa9d2327,2024-02-27,439889765,439867150,44960955
deaths,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,17048670,16925645,16922935
epma_administration,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,466359450,442518555,1893545
epma_administration_dmd,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,473957820,null,null
epma_administration_dosage,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,466359450,null,null
epma_prescription,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,86440210,2289280
epma_prescription_chemical,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,null,null
epma_prescription_dmd,06e03f74-3b92-47ee-a0c2-4d62eb8545a5,2024-03-27,89832880,null,null
epma_prescription_dosage,096a7476-c867-4a3a-b7b6-3511be0b2c58,2023-09-28,91931650,null,null
gdppr,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,13990341870,13990266780,66712695
hes_ae_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,337042480,337042480,70266190
hes_ae_otr_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,337324740,337324740,71206110
hes_apc_acp_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,1488340,1488340,1173335
hes_apc_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,485344300,485344300,75856280
hes_apc_mat_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,36214200,36214200,26178030
hes_apc_otr_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,485344300,485344300,75856280
hes_cc_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,10794315,10794315,3473165
hes_cc_otr_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,10794400,10794400,3475870
hes_op_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,2078534835,2078534835,81483910
hes_op_otr_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,2079637020,2079637020,82350505
iapt_v2_1_care_activities_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,52356970,52356660,4396215
iapt_v2_1_care_cluster_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,5559045,5559005,2831050
iapt_v2_1_coded_scored_assessments_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,167683930,167683000,4028275
iapt_v2_1_demographics_and_referral_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,9404165,9404055,5071350
iapt_v2_1_employment_status_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,20353000,20352905,3734765
iapt_v2_1_internet_enabled_therapies_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,2205560,2205560,224630
iapt_v2_1_mental_and_physical_health_conditions_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,20961065,20960835,4029590
iapt_v2_1_onward_referrals_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,195260,195255,173845
iapt_v2_1_waiting_time_pauses_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,304410,304405,200445
icnarc,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,70315,70315,59080
lowlat_apc_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,115981705,115981425,29394390
lowlat_cc_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,6526505,6526500,1425830
lowlat_ecds_all_years,dc5583c0-b1be-4434-9b6b-3c2c837d5846,2024-10-24,127372130,127372075,43989460
