dataset,BatchId,archived_on,n,n_id,n_id_distinct
chess,fd6d050f-054a-43dc-9208-b6f885e0d919,31/03/2023,108120,107480,97800
covid_antibody_testing_pillar3,fd6d050f-054a-43dc-9208-b6f885e0d919,31/03/2023,945445,945445,751385
covid_antigen_testing_pillar2,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,439531010,439508385,44944630
deaths,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,16393165,16270620,16268015
epma_administration,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,464042115,440226580,1888020
epma_administration_dmd,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,471665445,null,null
epma_administration_dosage,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,464042115,null,null
epma_prescription,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,91438190,85950305,2282950
epma_prescription_chemical,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,91461640,null,null
epma_prescription_dmd,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,89346840,null,null
epma_prescription_dosage,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,91438190,null,null
gdppr,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,11004565600,11004565600,64666395
hes_ae_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,307659710,307659710,67066410
hes_ae_otr_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,307941970,307941970,68007150
hes_apc_acp_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,1488340,1488340,1173335
hes_apc_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,457889095,457889095,73873415
hes_apc_mat_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,34911545,34911545,25219565
hes_apc_otr_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,457889095,457889095,73873415
hes_cc_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,9519740,9519740,3192640
hes_cc_otr_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,9519825,9519825,3195335
hes_op_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,1915451610,1915451610,78580235
hes_op_otr_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,1916553795,1916553795,79449410
iapt_care_activities_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,39144720,39144525,3139925
iapt_care_cluster_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,3822350,3822330,2115475
iapt_coded_scored_assessments_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,106979030,106978425,2858880
iapt_demographics_and_referral_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,5314480,5314395,3705005
iapt_employment_status_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,10341575,10341525,2632585
iapt_internet_enabled_therapies_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,1484865,1484865,158560
iapt_mental_and_physical_health_conditions_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,6893670,6893610,2853460
iapt_onward_referrals_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,119030,119025,108840
iapt_waiting_time_pauses_2223_dars_nic_391419_j3w9t,a4a9b248-4377-4102-bf29-3feef063d0d2,21/06/2023,84175,84175,63985
icnarc,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,67940,67940,56835
lowlat_apc_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,89049305,89049290,24928025
lowlat_cc_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,5080325,5080325,1147385
lowlat_ecds_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,97447090,97447035,37952465
lowlat_op_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,500946975,500946915,46072200
msds_baby_demographics_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,774275,774275,744485
msds_baby_diagnoses_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,394805,394805,386620
msds_care_activities_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,116097715,116096915,1730800
msds_demographics_booking_and_pregnancy_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,4461935,4461865,2388310
msds_diagnoses_and_history_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,6057735,6057680,1265255
msds_findings_and_observations_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,15380875,15380805,1147670
msds_hospital_provider_spell_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,411210,411205,210010
msds_labour_activities_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,29841720,29840945,1467815
msds_maternity_care_plan_all_years,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,10682855,10682785,1749055
nicor_acs_combined,fd6d050f-054a-43dc-9208-b6f885e0d919,31/03/2023,270735,269630,256970
nicor_congenital,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,54820,53545,37340
nicor_crm_eps,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,78650,78525,61005
nicor_crm_pmicd,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,350535,349915,299870
nicor_hf,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,225135,218515,167935
nicor_minap,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,544645,538785,452765
nicor_pci,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,549715,539205,439795
nicor_tavi,fd6d050f-054a-43dc-9208-b6f885e0d919,31/03/2023,25285,25255,24685
primary_care_meds,97b4e8d5-0858-45e6-8c56-dddcc1935ace,31/07/2023,5870925430,5451953815,53479665
sgss,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,25443435,25443435,18098180
ssnap,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,723220,723220,393005
sus,604cc9df-05b5-49bd-a0f4-6f1970971c91,30/09/2022,4730918230,4669287810,14644505
vaccine_adverse_reactions,ad95b245-cb25-423e-926b-6466a041ba54,31/08/2023,16205,16205,15845
vaccine_status,97b4e8d5-0858-45e6-8c56-dddcc1935ace,31/07/2023,149523050,149523050,45270285
