dataset,date_ym,n,n_id,n_id_distinct,archived_on
chess,null,10,10,10,2023-03-31
chess,2000-10,10,10,10,2023-03-31
chess,2001-01,55,55,50,2023-03-31
chess,2001-02,10,10,10,2023-03-31
chess,2001-05,10,10,10,2023-03-31
chess,2001-07,10,10,10,2023-03-31
chess,2001-09,10,10,10,2023-03-31
chess,2001-11,10,10,10,2023-03-31
chess,2001-12,10,10,10,2023-03-31
chess,2011-12,10,10,10,2023-03-31
chess,2018-07,10,0,0,2023-03-31
chess,2019-01,10,10,10,2023-03-31
chess,2019-03,10,10,10,2023-03-31
chess,2019-05,10,10,10,2023-03-31
chess,2019-06,10,10,10,2023-03-31
chess,2019-08,10,10,10,2023-03-31
chess,2019-09,10,10,10,2023-03-31
chess,2019-10,10,10,10,2023-03-31
chess,2019-11,15,15,15,2023-03-31
chess,2019-12,40,40,40,2023-03-31
chess,2020-01,160,160,150,2023-03-31
chess,2020-02,390,390,350,2023-03-31
chess,2020-03,8900,8825,7895,2023-03-31
chess,2020-04,13695,13590,12020,2023-03-31
chess,2020-05,3860,3840,3545,2023-03-31
chess,2020-06,1610,1600,1445,2023-03-31
chess,2020-07,535,530,505,2023-03-31
chess,2020-08,495,490,430,2023-03-31
chess,2020-09,1320,1310,1215,2023-03-31
chess,2020-10,4240,4220,3945,2023-03-31
chess,2020-11,5735,5710,5370,2023-03-31
chess,2020-12,6355,6325,6005,2023-03-31
chess,2021-01,11080,11030,10415,2023-03-31
chess,2021-02,4095,4075,3865,2023-03-31
chess,2021-03,1315,1305,1230,2023-03-31
chess,2021-04,450,445,425,2023-03-31
chess,2021-05,335,330,310,2023-03-31
chess,2021-06,675,670,630,2023-03-31
chess,2021-07,2190,2175,2080,2023-03-31
chess,2021-08,2660,2645,2500,2023-03-31
chess,2021-09,2300,2280,2165,2023-03-31
chess,2021-10,2990,2970,2860,2023-03-31
chess,2021-11,2710,2690,2610,2023-03-31
chess,2021-12,3380,3360,3275,2023-03-31
chess,2022-01,4355,4330,4230,2023-03-31
chess,2022-02,2650,2640,2580,2023-03-31
chess,2022-03,4245,4225,4125,2023-03-31
chess,2022-04,3085,3075,3005,2023-03-31
chess,2022-05,1210,1200,1160,2023-03-31
chess,2022-06,1900,1895,1855,2023-03-31
chess,2022-07,2865,2840,2760,2023-03-31
chess,2022-08,1350,1340,1300,2023-03-31
chess,2022-09,1430,1425,1400,2023-03-31
chess,2022-10,1390,1385,1345,2023-03-31
chess,2022-11,725,720,710,2023-03-31
chess,2022-12,1225,1220,1185,2023-03-31
chess,2023-01,65,65,65,2023-03-31
covid_antibody_testing_pillar3,2020-09,11075,11075,11035,2023-03-31
covid_antibody_testing_pillar3,2020-10,87570,87570,86995,2023-03-31
covid_antibody_testing_pillar3,2020-11,72405,72405,71815,2023-03-31
covid_antibody_testing_pillar3,2020-12,37715,37715,37555,2023-03-31
covid_antibody_testing_pillar3,2021-01,60175,60175,59720,2023-03-31
covid_antibody_testing_pillar3,2021-02,28135,28135,27920,2023-03-31
covid_antibody_testing_pillar3,2021-03,12135,12135,12040,2023-03-31
covid_antibody_testing_pillar3,2021-04,10525,10525,10440,2023-03-31
covid_antibody_testing_pillar3,2021-05,13745,13745,13610,2023-03-31
covid_antibody_testing_pillar3,2021-06,23790,23790,23595,2023-03-31
covid_antibody_testing_pillar3,2021-07,49720,49720,49440,2023-03-31
covid_antibody_testing_pillar3,2021-08,73255,73255,60545,2023-03-31
covid_antibody_testing_pillar3,2021-09,103930,103930,73870,2023-03-31
covid_antibody_testing_pillar3,2021-10,162235,162235,113950,2023-03-31
covid_antibody_testing_pillar3,2021-11,67275,67275,48280,2023-03-31
covid_antibody_testing_pillar3,2021-12,53000,53000,38665,2023-03-31
covid_antibody_testing_pillar3,2022-01,63870,63870,42390,2023-03-31
covid_antibody_testing_pillar3,2022-02,10030,10030,7660,2023-03-31
covid_antibody_testing_pillar3,2022-03,4860,4860,4850,2023-03-31
covid_antigen_testing_pillar2,0002-04,255,255,255,2023-12-27
covid_antigen_testing_pillar2,0002-05,3755,3755,3735,2023-12-27
covid_antigen_testing_pillar2,2010-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-07,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-08,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-09,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-10,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-11,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2011-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-01,60,60,60,2023-12-27
covid_antigen_testing_pillar2,2012-02,30,30,30,2023-12-27
covid_antigen_testing_pillar2,2012-03,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-05,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-08,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-09,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-11,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2012-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2013-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2013-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2013-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2013-09,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2013-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-05,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-08,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-09,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-10,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-11,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2014-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2015-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2015-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2015-03,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2015-04,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2015-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2015-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-03,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-05,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-10,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2016-11,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-03,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-05,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-07,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-08,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2017-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-03,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-04,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-07,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-08,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-10,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-11,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2018-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-01,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-02,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-03,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-04,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-06,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-07,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-08,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-09,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-10,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-11,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2019-12,10,10,10,2023-12-27
covid_antigen_testing_pillar2,2020-01,1735,1730,1730,2023-12-27
covid_antigen_testing_pillar2,2020-02,295,295,295,2023-12-27
covid_antigen_testing_pillar2,2020-03,75,75,75,2023-12-27
covid_antigen_testing_pillar2,2020-04,130540,130165,128650,2023-12-27
covid_antigen_testing_pillar2,2020-05,1029585,1029020,966550,2023-12-27
covid_antigen_testing_pillar2,2020-06,1169895,1169745,1077090,2023-12-27
covid_antigen_testing_pillar2,2020-07,1860995,1860995,1520510,2023-12-27
covid_antigen_testing_pillar2,2020-08,2710540,2710540,2139035,2023-12-27
covid_antigen_testing_pillar2,2020-09,3845940,3845940,2827605,2023-12-27
covid_antigen_testing_pillar2,2020-10,4991145,4991145,3579485,2023-12-27
covid_antigen_testing_pillar2,2020-11,5533425,5533425,3891305,2023-12-27
covid_antigen_testing_pillar2,2020-12,7932055,7931710,5499595,2023-12-27
covid_antigen_testing_pillar2,2021-01,12820250,12815975,6877740,2023-12-27
covid_antigen_testing_pillar2,2021-02,13437085,13433635,5071830,2023-12-27
covid_antigen_testing_pillar2,2021-03,32729735,32716420,9387525,2023-12-27
covid_antigen_testing_pillar2,2021-04,25315750,25315715,7571085,2023-12-27
covid_antigen_testing_pillar2,2021-05,24996215,24996200,7420715,2023-12-27
covid_antigen_testing_pillar2,2021-06,25361005,25360975,8393385,2023-12-27
covid_antigen_testing_pillar2,2021-07,27003840,27003820,10204875,2023-12-27
covid_antigen_testing_pillar2,2021-08,20552285,20552265,8036280,2023-12-27
covid_antigen_testing_pillar2,2021-09,28074380,28074380,10800220,2023-12-27
covid_antigen_testing_pillar2,2021-10,24281690,24281690,9400665,2023-12-27
covid_antigen_testing_pillar2,2021-11,24337990,24337990,9240765,2023-12-27
covid_antigen_testing_pillar2,2021-12,38261245,38261245,13625675,2023-12-27
covid_antigen_testing_pillar2,2022-01,39502365,39502365,12492475,2023-12-27
covid_antigen_testing_pillar2,2022-02,21644760,21644760,6615985,2023-12-27
covid_antigen_testing_pillar2,2022-03,18252120,18252120,5587605,2023-12-27
covid_antigen_testing_pillar2,2022-04,8944625,8944625,2817925,2023-12-27
covid_antigen_testing_pillar2,2022-05,4980710,4980710,1557745,2023-12-27
covid_antigen_testing_pillar2,2022-06,4253425,4253425,1458485,2023-12-27
covid_antigen_testing_pillar2,2022-07,4968475,4968475,1646190,2023-12-27
covid_antigen_testing_pillar2,2022-08,3244365,3244365,1029280,2023-12-27
covid_antigen_testing_pillar2,2022-09,1405825,1405825,657070,2023-12-27
covid_antigen_testing_pillar2,2022-10,1569270,1569270,679030,2023-12-27
covid_antigen_testing_pillar2,2022-11,875985,875985,399690,2023-12-27
covid_antigen_testing_pillar2,2022-12,976040,976040,444920,2023-12-27
covid_antigen_testing_pillar2,2023-01,752740,752740,334525,2023-12-27
covid_antigen_testing_pillar2,2023-02,606110,606110,286275,2023-12-27
covid_antigen_testing_pillar2,2023-03,692515,692515,329110,2023-12-27
covid_antigen_testing_pillar2,2023-04,203480,203480,110845,2023-12-27
covid_antigen_testing_pillar2,2023-05,121260,121260,67100,2023-12-27
