column_name,completeness,dataset
AdmissionCOVID19,0.95923086,chess
AdmissionFlu,0.4544908,chess
AdmissionRSV,0.42866788,chess
AdmittedToICU,1,chess
AgeMonth,0.99949131,chess
AgeYear,0.99949131,chess
AntiCovid19Treatment,0,chess
AsthmaRequiring,0.95190574,chess
AsymptomaticTesting,0.43891566,chess
BatchId,1,chess
CaseId,1,chess
CauseOfDeath,0,chess
ChronicHeart,0.95309884,chess
ChronicLiver,0.77770276,chess
ChronicNeurological,0.95145254,chess
ChronicRenal,0.95179475,chess
ChronicRespiratory,0.95253466,chess
Covid19,1,chess
DateAdmittedICU,0.2486196,chess
DateLeavingICU,0.19964669,chess
DateUpdated,0.6427706,chess
DiabetesType,0.11640662,chess
EstimatedDateOnset,0.54975444,chess
Ethnicity,0.97098621,chess
FinalOutcome,0.97648005,chess
FinalOutcomeDate,0.89385041,chess
GestationWeek,0.15390165,chess
Highflownasaloxygen,1,chess
HospitalAdmissionAdmittedFrom,0.95823198,chess
HospitalAdmissionDate,0.99994451,chess
HospitalAdmissionHours,0,chess
HospitalAdmissionMinutes,0,chess
HoursAdmittedICU,0,chess
Hypertension,0.95442144,chess
ImmunosuppressionDisease,0.95086061,chess
ImmunosuppressionTreatment,0.95081437,chess
InfectionSwabDate,0.9442754,chess
InfluenzaAH1N1pdm2009,0.00012948,chess
InfluenzaAH3N2,0.00006474,chess
InfluenzaAnonsubtyped,0.00028672,chess
InfluenzaAunsubtypable,0.00004624,chess
InfluenzaB,0.00014798,chess
Invasivemechanicalventilation,1,chess
IsARDSComplication,0.07782947,chess
IsDiabetes,0.77932132,chess
LabTestDate,0.98272306,chess
Mechanicalinvasiveventilationduration,0,chess
MinutesAdmittedICU,0,chess
NoninvasiveMechanicalventilation,1,chess
ObesityBMI,0.60094709,chess
ObesityClinical,0.95100859,chess
OrganismName,0,chess
Oxygenviacannulaeormask,1,chess
PERSON_ID_DEID,0.99408071,chess
PatientStillOnICU,0.24698255,chess
Pregnancy,0.69305685,chess
Prematurity,0.55487833,chess
ProductionDate,1,chess
RSV,0.0003792,chess
RespiratorySupportECMO,1,chess
RespiratorySupportNone,1,chess
RespiratorySupportUnknown,0.89129771,chess
SBDate,0,chess
SBOther,0,chess
SBPDate,0.0498978,chess
SBPOrganismName,0.02418587,chess
SBPOther,0,chess
SeriousMentalIllness,0.58553842,chess
Sex,1,chess
TransferDestination,0.07341774,chess
TravelIn14Days,0.65586704,chess
TrustCode,1,chess
TrustName,1,chess
Typeofspecimen,1,chess
WasthepatientadmittedtoICU,0,chess
WeekNo,1,chess
WeekofAdmission,0.99994451,chess
WorksAsHealthcareWorker,0.95123057,chess
YearofAdmission,0.99994451,chess
archived_on,1,chess
AccessionDate,0.99999788,covid_antibody_testing_pillar3
AdministrationMethod,0,covid_antibody_testing_pillar3
Analyser,1,covid_antibody_testing_pillar3
AppointmentDate,1,covid_antibody_testing_pillar3
BatchId,1,covid_antibody_testing_pillar3
CareHomeRole,0.16045337,covid_antibody_testing_pillar3
Country,1,covid_antibody_testing_pillar3
County,0.99897403,covid_antibody_testing_pillar3
CovidSymptomatic,1,covid_antibody_testing_pillar3
DateOfOnset,0.56428395,covid_antibody_testing_pillar3
DateOfPositiveTest,0.54142278,covid_antibody_testing_pillar3
IndustrySector,0.52317319,covid_antibody_testing_pillar3
KeyWorkerID,0.9591854,covid_antibody_testing_pillar3
KeyWorkerType,0.9591854,covid_antibody_testing_pillar3
LocalAuthority,0.99897403,covid_antibody_testing_pillar3
NHSRegion,0.99897403,covid_antibody_testing_pillar3
