dataset,date_ym,n,n_id,n_id_distinct,archived_on
mhs001mpi,2016-01,56335,56335,56040,2024-03-27
mhs001mpi,2016-02,58380,58380,58110,2024-03-27
mhs001mpi,2016-03,76785,76785,76400,2024-03-27
mhs001mpi,2016-04,61175,61175,60745,2024-03-27
mhs001mpi,2016-05,61205,61205,60795,2024-03-27
mhs001mpi,2016-06,64635,64635,64225,2024-03-27
mhs001mpi,2016-07,86205,86205,85745,2024-03-27
mhs001mpi,2016-08,215085,215085,214475,2024-03-27
mhs001mpi,2016-09,75435,75435,74965,2024-03-27
mhs001mpi,2016-10,69710,69710,69265,2024-03-27
mhs001mpi,2016-11,68455,68455,68010,2024-03-27
mhs001mpi,2016-12,62365,62365,61890,2024-03-27
mhs001mpi,2017-01,66935,66935,66435,2024-03-27
mhs001mpi,2017-02,61650,61650,61240,2024-03-27
mhs001mpi,2017-03,96920,96920,96290,2024-03-27
mhs001mpi,2017-04,70910,70910,70445,2024-03-27
mhs001mpi,2017-05,74490,74490,73185,2024-03-27
mhs001mpi,2017-06,82870,82870,81415,2024-03-27
mhs001mpi,2017-07,67820,67820,67320,2024-03-27
mhs001mpi,2017-08,68760,68760,68245,2024-03-27
mhs001mpi,2017-09,74795,74795,74275,2024-03-27
mhs001mpi,2017-10,65650,65650,65155,2024-03-27
mhs001mpi,2017-11,70255,70255,69675,2024-03-27
mhs001mpi,2017-12,61235,61235,60735,2024-03-27
mhs001mpi,2018-01,73630,73630,73035,2024-03-27
mhs001mpi,2018-02,64715,64715,64220,2024-03-27
mhs001mpi,2018-03,74675,74675,74095,2024-03-27
mhs001mpi,2018-04,68635,68635,68020,2024-03-27
mhs001mpi,2018-05,75070,75070,74415,2024-03-27
mhs001mpi,2018-06,74455,74455,73870,2024-03-27
mhs001mpi,2018-07,85210,85210,84545,2024-03-27
mhs001mpi,2018-08,74315,74315,73710,2024-03-27
mhs001mpi,2018-09,69110,69110,68575,2024-03-27
mhs001mpi,2018-10,94270,94270,93445,2024-03-27
mhs001mpi,2018-11,112495,112495,111810,2024-03-27
mhs001mpi,2018-12,76070,76070,75495,2024-03-27
mhs001mpi,2019-01,86480,86480,85770,2024-03-27
mhs001mpi,2019-02,79995,79995,79385,2024-03-27
mhs001mpi,2019-03,146710,146710,145265,2024-03-27
mhs001mpi,2019-04,87630,87630,86815,2024-03-27
mhs001mpi,2019-05,92205,92205,91280,2024-03-27
mhs001mpi,2019-06,89780,89775,88890,2024-03-27
mhs001mpi,2019-07,104880,104880,103840,2024-03-27
mhs001mpi,2019-08,90630,90630,89790,2024-03-27
mhs001mpi,2019-09,106365,106365,105335,2024-03-27
mhs001mpi,2019-10,104260,104260,103400,2024-03-27
mhs001mpi,2019-11,100480,100480,99735,2024-03-27
mhs001mpi,2019-12,98860,98860,98125,2024-03-27
mhs001mpi,2020-01,106835,106835,105915,2024-03-27
mhs001mpi,2020-02,103890,103890,103100,2024-03-27
mhs001mpi,2020-03,154795,154795,153400,2024-03-27
mhs001mpi,2020-04,102275,102275,101470,2024-03-27
mhs001mpi,2020-05,80500,80495,79790,2024-03-27
mhs001mpi,2020-06,86605,86600,85815,2024-03-27
mhs001mpi,2020-07,90720,90710,89760,2024-03-27
mhs001mpi,2020-08,84225,84225,83350,2024-03-27
mhs001mpi,2020-09,92240,92240,91320,2024-03-27
mhs001mpi,2020-10,99250,99250,98260,2024-03-27
mhs001mpi,2020-11,103295,103295,102215,2024-03-27
mhs001mpi,2020-12,115240,115235,114155,2024-03-27
mhs001mpi,2021-01,99780,99775,98845,2024-03-27
mhs001mpi,2021-02,95445,95440,94630,2024-03-27
mhs001mpi,2021-03,132605,132590,129775,2024-03-27
mhs001mpi,2021-04,108610,108605,107435,2024-03-27
mhs001mpi,2021-05,123355,123345,122210,2024-03-27
mhs001mpi,2021-06,119235,119220,118015,2024-03-27
mhs001mpi,2021-07,121180,121175,119855,2024-03-27
mhs001mpi,2021-08,107090,107080,106060,2024-03-27
mhs001mpi,2021-09,127260,127245,125880,2024-03-27
mhs001mpi,2021-10,130470,130460,129300,2024-03-27
mhs001mpi,2021-11,146580,146570,145365,2024-03-27
mhs001mpi,2021-12,134105,134095,132910,2024-03-27
mhs001mpi,2022-01,135150,135140,134060,2024-03-27
mhs001mpi,2022-02,139285,139275,138160,2024-03-27
mhs001mpi,2022-03,195410,195395,193560,2024-03-27
mhs001mpi,2022-04,137830,137815,136665,2024-03-27
mhs001mpi,2022-05,172175,172155,170615,2024-03-27
mhs001mpi,2022-06,148905,148885,147620,2024-03-27
mhs001mpi,2022-07,158235,158205,156660,2024-03-27
mhs001mpi,2022-08,140225,140190,138805,2024-03-27
mhs001mpi,2022-09,153295,153240,151950,2024-03-27
mhs001mpi,2022-10,149405,149375,148135,2024-03-27
mhs001mpi,2022-11,164990,164965,163490,2024-03-27
mhs001mpi,2022-12,145560,145540,143895,2024-03-27
mhs001mpi,2023-01,164510,164490,163260,2024-03-27
mhs001mpi,2023-02,172035,172015,170440,2024-03-27
mhs001mpi,2023-03,216825,216790,214635,2024-03-27
mhs001mpi,2023-04,162750,162735,161190,2024-03-27
mhs001mpi,2023-05,189165,189150,187290,2024-03-27
mhs001mpi,2023-06,192265,192245,190280,2024-03-27
mhs001mpi,2023-07,198995,198975,197060,2024-03-27
mhs001mpi,2023-08,193290,193255,191085,2024-03-27
mhs001mpi,2023-09,205155,205120,202825,2024-03-27
mhs001mpi,2023-10,222385,222360,219690,2024-03-27
mhs001mpi,2023-11,240370,240340,237415,2024-03-27
mhs001mpi,2023-12,231510,231470,228375,2024-03-27
mhs001mpi,2024-01,2176480,2176430,2084805,2024-03-27
mhs002gp,2016-01,116370,116370,109670,2024-03-27
mhs002gp,2016-02,111690,111690,105430,2024-03-27
mhs002gp,2016-03,142000,142000,134915,2024-03-27
mhs002gp,2016-04,119010,119010,111845,2024-03-27
