"dataset","date_ym","n","n_id","n_distinct"
"Annual District Birth Extract",190001,10,10,10
"Annual District Birth Extract",199601,1310,1305,1305
"Annual District Birth Extract",199602,2625,2605,2605
"Annual District Birth Extract",199603,2765,2750,2750
"Annual District Birth Extract",199604,2790,2775,2775
"Annual District Birth Extract",199605,2720,2705,2705
"Annual District Birth Extract",199606,2705,2690,2690
"Annual District Birth Extract",199607,3095,3070,3070
"Annual District Birth Extract",199608,2830,2815,2815
"Annual District Birth Extract",199609,3125,3120,3120
"Annual District Birth Extract",199610,3290,3270,3270
"Annual District Birth Extract",199611,2875,2855,2855
"Annual District Birth Extract",199612,2460,2450,2450
"Annual District Birth Extract",199701,3720,3700,3700
"Annual District Birth Extract",199702,2620,2615,2615
"Annual District Birth Extract",199703,2635,2620,2620
"Annual District Birth Extract",199704,3235,3215,3215
"Annual District Birth Extract",199705,2835,2815,2815
"Annual District Birth Extract",199706,2880,2860,2860
"Annual District Birth Extract",199707,3195,3180,3180
"Annual District Birth Extract",199708,2655,2640,2640
"Annual District Birth Extract",199709,3070,3050,3050
"Annual District Birth Extract",199710,3025,3000,3000
"Annual District Birth Extract",199711,2565,2555,2555
"Annual District Birth Extract",199712,2490,2470,2470
"Annual District Birth Extract",199801,3385,3365,3365
"Annual District Birth Extract",199802,2625,2610,2610
"Annual District Birth Extract",199803,2880,2865,2865
"Annual District Birth Extract",199804,2720,2705,2705
"Annual District Birth Extract",199805,2630,2610,2610
"Annual District Birth Extract",199806,2975,2955,2955
"Annual District Birth Extract",199807,3020,2995,2995
"Annual District Birth Extract",199808,2775,2755,2755
"Annual District Birth Extract",199809,2950,2925,2925
"Annual District Birth Extract",199810,2885,2875,2875
"Annual District Birth Extract",199811,2665,2645,2645
"Annual District Birth Extract",199812,2310,2295,2295
"Annual District Birth Extract",199901,3015,3010,3010
"Annual District Birth Extract",199902,2425,2410,2410
"Annual District Birth Extract",199903,2925,2905,2905
"Annual District Birth Extract",199904,2710,2700,2700
"Annual District Birth Extract",199905,2375,2360,2360
"Annual District Birth Extract",199906,3035,3025,3025
"Annual District Birth Extract",199907,2835,2810,2810
"Annual District Birth Extract",199908,2690,2670,2670
"Annual District Birth Extract",199909,2885,2875,2875
"Annual District Birth Extract",199910,2585,2575,2575
"Annual District Birth Extract",199911,2685,2665,2665
"Annual District Birth Extract",199912,1995,1980,1980
"Annual District Birth Extract",200001,3165,3145,3145
"Annual District Birth Extract",200002,2595,2580,2580
"Annual District Birth Extract",200003,2745,2730,2730
"Annual District Birth Extract",200004,2115,2105,2105
"Annual District Birth Extract",200005,2765,2755,2755
"Annual District Birth Extract",200006,2770,2755,2755
"Annual District Birth Extract",200007,2630,2610,2610
"Annual District Birth Extract",200008,2725,2700,2700
"Annual District Birth Extract",200009,2595,2585,2585
"Annual District Birth Extract",200010,2745,2730,2730
