column_name,completeness,dataset
AdmissionCOVID19,0.96,chess
AdmissionFlu,0.455,chess
AdmissionRSV,0.43,chess
AdmittedToICU,1,chess
AgeMonth,0.999,chess
AgeYear,0.999,chess
AntiCovid19Treatment,0,chess
AsthmaRequiring,0.953,chess
AsymptomaticTesting,0.433,chess
BatchId,1,chess
CaseId,1,chess
CauseOfDeath,0,chess
ChronicHeart,0.954,chess
ChronicLiver,0.777,chess
ChronicNeurological,0.953,chess
ChronicRenal,0.953,chess
ChronicRespiratory,0.954,chess
Covid19,1,chess
DateAdmittedICU,0.245,chess
DateLeavingICU,0.197,chess
DateUpdated,0.648,chess
DiabetesType,0.117,chess
EstimatedDateOnset,0.543,chess
Ethnicity,0.972,chess
FinalOutcome,0.977,chess
FinalOutcomeDate,0.896,chess
GestationWeek,0.15,chess
Highflownasaloxygen,1,chess
HospitalAdmissionAdmittedFrom,0.959,chess
HospitalAdmissionDate,1,chess
HospitalAdmissionHours,0,chess
HospitalAdmissionMinutes,0,chess
HoursAdmittedICU,0,chess
Hypertension,0.956,chess
ImmunosuppressionDisease,0.952,chess
ImmunosuppressionTreatment,0.952,chess
InfectionSwabDate,0.945,chess
InfluenzaAH1N1pdm2009,0,chess
InfluenzaAH3N2,0,chess
InfluenzaAnonsubtyped,0,chess
InfluenzaAunsubtypable,0,chess
InfluenzaB,0,chess
Invasivemechanicalventilation,1,chess
IsARDSComplication,0.076,chess
IsDiabetes,0.779,chess
LabTestDate,0.983,chess
Mechanicalinvasiveventilationduration,0,chess
MinutesAdmittedICU,0,chess
NoninvasiveMechanicalventilation,1,chess
ObesityBMI,0.602,chess
ObesityClinical,0.952,chess
OrganismName,0,chess
Oxygenviacannulaeormask,1,chess
PERSON_ID_DEID,0.994,chess
PatientStillOnICU,0.244,chess
Pregnancy,0.692,chess
Prematurity,0.557,chess
ProductionDate,1,chess
RSV,0,chess
RespiratorySupportECMO,1,chess
RespiratorySupportNone,1,chess
RespiratorySupportUnknown,0.894,chess
SBDate,0,chess
SBOther,0,chess
SBPDate,0.049,chess
SBPOrganismName,0.024,chess
SBPOther,0,chess
SeriousMentalIllness,0.587,chess
Sex,1,chess
TransferDestination,0.073,chess
TravelIn14Days,0.655,chess
TrustCode,1,chess
TrustName,1,chess
Typeofspecimen,1,chess
WasthepatientadmittedtoICU,0,chess
WeekNo,1,chess
WeekofAdmission,1,chess
WorksAsHealthcareWorker,0.952,chess
YearofAdmission,1,chess
archived_on,1,chess
AccessionDate,1,covid_antibody_testing_pillar3
AdministrationMethod,0,covid_antibody_testing_pillar3
Analyser,1,covid_antibody_testing_pillar3
