archived_on,date_ym,n,n_id,n_id_distinct,dataset
24/04/2025,2023-07,1894655,1894655,1262280,hes_apc
24/04/2025,2019-02,1769365,1769365,1221235,hes_apc
24/04/2025,2012-06,1520695,1520695,1078115,hes_apc
24/04/2025,2020-06,1321620,1321620,809735,hes_apc
24/04/2025,1943-09,10,10,10,hes_apc
24/04/2025,1991-11,205,205,75,hes_apc
24/04/2025,1986-04,95,95,25,hes_apc
24/04/2025,1979-01,25,25,10,hes_apc
24/04/2025,1979-12,20,20,10,hes_apc
24/04/2025,1965-03,10,10,10,hes_apc
24/04/2025,1962-03,20,20,10,hes_apc
24/04/2025,1958-12,20,20,10,hes_apc
24/04/2025,1940-03,10,10,10,hes_apc
24/04/2025,1944-04,10,10,10,hes_apc
24/04/2025,1953-06,10,10,10,hes_apc
24/04/2025,1958-05,10,10,10,hes_apc
24/04/2025,1980-01,25,25,10,hes_apc
24/04/2025,1983-07,20,20,10,hes_apc
24/04/2025,1984-03,35,35,10,hes_apc
24/04/2025,1972-06,40,40,10,hes_apc
24/04/2025,2016-01,1729550,1729550,1207450,hes_apc
24/04/2025,2003-04,1119330,1119330,841405,hes_apc
24/04/2025,2022-06,1747895,1747895,1179810,hes_apc
24/04/2025,1976-01,25,25,10,hes_apc
24/04/2025,1936-11,15,15,10,hes_apc
24/04/2025,1982-04,10,10,10,hes_apc
24/04/2025,1995-02,915,915,315,hes_apc
24/04/2025,1927-08,10,10,10,hes_apc
24/04/2025,1955-04,30,30,10,hes_apc
24/04/2025,1961-06,20,20,10,hes_apc
24/04/2025,1951-01,10,10,10,hes_apc
24/04/2025,1980-11,40,40,10,hes_apc
24/04/2025,1970-08,10,10,10,hes_apc
24/04/2025,1947-02,10,10,10,hes_apc
24/04/2025,1970-11,30,30,10,hes_apc
24/04/2025,1968-06,20,20,10,hes_apc
24/04/2025,1968-09,45,45,15,hes_apc
24/04/2025,1975-09,55,55,10,hes_apc
24/04/2025,1961-10,10,10,10,hes_apc
24/04/2025,1977-08,60,60,10,hes_apc
24/04/2025,1938-01,10,10,10,hes_apc
24/04/2025,2007-09,1314290,1314290,961045,hes_apc
24/04/2025,1998-08,953165,953165,781020,hes_apc
24/04/2025,2012-02,1563640,1563640,1117955,hes_apc
24/04/2025,1979-09,20,20,10,hes_apc
24/04/2025,2016-07,1758845,1758845,1227220,hes_apc
24/04/2025,1967-04,25,25,10,hes_apc
24/04/2025,1978-03,55,55,10,hes_apc
24/04/2025,1932-02,10,10,10,hes_apc
24/04/2025,2014-07,1749705,1749705,1220780,hes_apc
24/04/2025,1958-08,10,10,10,hes_apc
24/04/2025,1988-02,100,100,30,hes_apc
24/04/2025,1958-07,15,15,10,hes_apc
24/04/2025,2017-06,1814510,1814510,1253235,hes_apc
24/04/2025,1994-12,690,690,275,hes_apc
24/04/2025,1955-11,10,10,10,hes_apc
24/04/2025,1981-12,30,30,10,hes_apc
24/04/2025,2010-10,1575800,1575800,1119705,hes_apc
24/04/2025,1999-06,1065555,1065555,835215,hes_apc
24/04/2025,1955-10,20,20,15,hes_apc
24/04/2025,1939-08,20,20,10,hes_apc
24/04/2025,2016-12,1716715,1716715,1177385,hes_apc
24/04/2025,1947-01,20,20,10,hes_apc
24/04/2025,1967-01,70,70,15,hes_apc
24/04/2025,1986-06,20,20,10,hes_apc
24/04/2025,2018-05,1879710,1879710,1280305,hes_apc
24/04/2025,2001-01,1125760,1125760,868015,hes_apc
24/04/2025,1943-10,10,10,10,hes_apc
24/04/2025,1953-05,30,30,10,hes_apc
24/04/2025,2002-01,1129800,1129800,858125,hes_apc
24/04/2025,1969-06,35,35,10,hes_apc
24/04/2025,1954-12,35,35,20,hes_apc
