archived_on,dataset,n,n_id,n_id_distinct
2024-12-02,chess,110805,110180,103735
2023-03-31,covid_antibody_testing_pillar3,945445,945445,794375
2024-02-27,covid_antigen_testing_pillar2,439889765,439867150,164492030
2025-04-24,deaths,17343085,17219405,17216665
2023-09-28,epma_administration,466359450,442518555,5331245
2024-03-27,epma_administration_dmd,473957820,10,10
2023-09-28,epma_administration_dosage,466359450,10,10
2023-09-28,epma_prescription,91931650,86440210,4272700
2023-09-28,epma_prescription_chemical,91931650,10,10
2024-03-27,epma_prescription_dmd,89832880,10,10
2023-09-28,epma_prescription_dosage,91931650,10,10
2025-04-24,gdppr,15109805995,15109805995,2413758255
2025-04-24,hes_ae,239573075,239573075,206311410
2025-04-24,hes_ae_otr,239573075,239573075,111869500
2025-04-24,hes_apc,497317435,497317435,353492030
2025-04-24,hes_apc_acp,1488340,1488340,1299840
2025-04-24,hes_apc_mat,36758130,36758130,26578500
2025-04-24,hes_apc_otr,497317435,497317435,76709335
2025-04-24,hes_cc,11401090,11401090,4337965
2025-04-24,hes_cc_otr,11401175,11401175,3604600
2025-04-24,hes_op,2152741795,2152741795,1367192280
2025-04-24,hes_op_otr,2153843980,2153843980,83494035
2025-02-04,iapt_v1_5_appointment,57442630,55661455,23843340
2025-02-04,iapt_v1_5_assessments,1158810,1094540,859435
2025-02-04,iapt_v1_5_disability,1222555,1148985,579685
2025-02-04,iapt_v1_5_header,15360,10,10
2025-02-04,iapt_v1_5_person,14360285,13712615,6507945
2025-02-04,iapt_v1_5_referral,14509865,13925730,10480430
2025-02-04,iapt_v1_5_treatments,664930,640210,570710
2025-02-04,iapt_v1_5_waitingtimes,842135,827630,590925
2025-04-24,iapt_v2_1_care_activities,57388285,57387955,17620570
2025-04-24,iapt_v2_1_care_cluster,5904105,5904060,4759330
2025-04-24,iapt_v2_1_coded_scored_assessments,190459985,190459030,15374170
2025-04-24,iapt_v2_1_demographics_and_referral,10325960,10325850,7979475
2025-04-24,iapt_v2_1_employment_status,22810265,22810170,13749695
2025-04-24,iapt_v2_1_internet_enabled_therapies,2450180,2450180,792205
2025-04-24,iapt_v2_1_mental_and_physical_health_conditions,22091755,22091525,4421285
2025-04-24,iapt_v2_1_onward_referrals,219700,219695,218035
2025-04-24,iapt_v2_1_waiting_time_pauses,339350,339345,302030
2025-04-24,icnarc,70950,70950,62055
2025-04-24,lowlat_apc,127641990,127641775,82100780
2025-04-24,lowlat_cc,7121995,7121995,1735535
2025-04-24,lowlat_ecds,135318615,135318570,113324715
2025-04-24,lowlat_op,725398995,725398935,183399445
2024-07-09,mhs001mpi,13234140,13233275,13035015
2024-07-09,mhs002gp,20947380,20946340,20122705
2024-07-09,mhs003accommstatus,79317210,79316825,11188395
2024-07-09,mhs004empstatus,71384700,71384375,9028390
2024-07-09,mhs005patind,71596855,71596360,5902710
2024-07-09,mhs006mhcarecoord,9654205,9654130,8436270
2024-07-09,mhs007disabilitytype,28483955,28483640,1650095
2024-07-09,mhs008careplantype,8650485,8650440,4902055
2024-07-09,mhs009careplanagreement,4401715,4401695,2393535
2024-07-09,mhs010asstechtosupportdistyp,975,975,690
2024-07-09,mhs011socpercircumstances,12724275,12724090,8877785
2024-07-09,mhs012overseasvisitorchargcat,7226815,7226795,755060
2024-07-09,mhs101referral,37767775,37767060,29636630
2024-07-09,mhs102servicetypereferredto,37076100,37075500,29144160
2024-07-09,mhs103otherreasonreferral,7276795,7276770,711745
2024-07-09,mhs104rtt,3726670,3726670,919180
2024-07-09,mhs105onwardreferral,1591320,1591290,1194540
2024-07-09,mhs106dischargeplanagreement,175680,175680,160745
2024-07-09,mhs201carecontact,222605540,222603395,66239570
2024-07-09,mhs202careactivity,177829895,177828800,5975480
2024-07-09,mhs203otherattend,2296565,2296515,217825
2024-07-09,mhs204indirectactivity,20577195,20577095,7431455
2024-07-09,mhs301groupsession,1169250,10,10
2024-07-09,mhs302mhdropincontact,958680,10,10
2024-07-09,mhs401mhactperiod,1046710,1046665,897145
2024-07-09,mhs402respclinicianassignperiod,770960,770940,540305
2024-07-09,mhs403conditionaldischarge,260040,260040,16065
2024-07-09,mhs404commtreatorder,844420,844420,72555
2024-07-09,mhs405commtreatorderrecall,1452805,1452805,33970
2024-07-09,mhs501hospprovspell,980975,980935,916865
2024-07-09,mhs502wardstay,1759320,1759280,1160290
2024-07-09,mhs503assignedcareprof,1424915,1424885,1041240
2024-07-09,mhs504delayeddischarge,55115,55115,50540
2024-07-09,mhs505restrictiveinterventinc,391940,391930,89800
2024-07-09,mhs506assault,170775,170770,101550
2024-07-09,mhs507selfharm,508990,508990,118675
2024-07-09,mhs509homeleave,376330,376330,179180
2024-07-09,mhs510leaveofabsence,977680,977680,146905
2024-07-09,mhs511absencewithoutleave,36525,36525,28235
2024-07-09,mhs512hospspellcommassper,1016340,1016305,921365
2024-07-09,mhs513substancemisuse,6260,6260,5220
2024-07-09,mhs514trialleave,20385,20385,7190
2024-07-09,mhs515restrictiveinterventtype,550235,550215,84185
2024-07-09,mhs516policeassistancerequest,32975,32975,10150
2024-07-09,mhs517smhexceptionalpackofcare,4040,4040,3835
2024-07-09,mhs601medhistprevdiag,104298980,104298745,999875
2024-07-09,mhs603provdiag,2824170,2824135,1780885
2024-07-09,mhs604primdiag,6010540,6010465,4487955
2024-07-09,mhs605secdiag,6586795,6586765,1569710
2024-07-09,mhs606codedscoreassessmentrefer,55184115,55183690,1835560
2024-07-09,mhs607codedscoreassessmentact,88299795,88299480,1127300
2024-07-09,mhs701cpacareepisode,1879090,1879080,1817595
2024-07-09,mhs702cpareview,15289995,15289910,2238215
2024-07-09,mhs801clustertool,140214975,140214860,8996040
2024-07-09,mhs802clusterassess,145671770,145671295,5723735
2024-07-09,mhs803carecluster,9110375,9110350,8271910
2024-07-09,mhs804fiveforensicpathways,14690,14685,12665
2024-07-09,mhs901staffdetails,29182480,10,10
2025-04-24,msds_v2_anonymous,730070,10,10
2025-04-24,msds_v2_baby_activities,19315205,19315205,2555115
2025-04-24,msds_v2_baby_demographics,3196425,3196425,2987025
2025-04-24,msds_v2_baby_diagnoses,1905585,1905585,580120
2025-04-24,msds_v2_care_activities,287989100,287987965,15374000
2025-04-24,msds_v2_coded_scored_assessments,2997090,2997080,2189035
2025-04-24,msds_v2_demographics_booking_and_pregnancy,6559130,6559030,4351840
2025-04-24,msds_v2_diagnoses_and_history,14776370,14776260,4803485
2025-04-24,msds_v2_findings_and_observations,27190605,27190520,4480650
2025-04-24,msds_v2_hospital_provider_spell,2563335,2563325,1582020
2025-04-24,msds_v2_labour_activities,66632945,66632165,2588610
2025-04-24,msds_v2_maternity_care_plan,28089025,28088920,7868630
2025-04-24,nicor_acs_combined,176400,175075,171325
2025-04-24,nicor_congenital,74010,72255,67130
2025-04-24,nicor_crm_eps,129540,129365,128370
2025-04-24,nicor_crm_pmicd,486325,486000,455625
2025-04-24,nicor_hf,225105,218520,211115
2025-04-24,nicor_hf_v5,320485,320345,310580
2025-04-24,nicor_minap,603075,596865,548305
2025-04-24,nicor_pci,615795,605385,575300
2025-04-24,nicor_tavi,43780,43725,43205
2025-04-24,primary_care_meds,7954653275,7445315965,1537933310
2024-09-02,sgss,25637010,25637010,19507175
2024-12-02,ssnap,880165,880165,513925
2022-09-30,sus,4730918230,4669287810,28244200
2025-04-24,token_pseudo_id_lookup,502883940,502883940,502883940
2025-04-24,vaccine_adverse_reactions,16190,16190,16070
2025-04-24,vaccine_status,177696585,177696585,45410545
