dataset,column_name,completeness
chess,PatientStillOnICU,0.24368
chess,Oxygenviacannulaeormask,1
chess,AdmissionCOVID19,0.96022
chess,RespiratorySupportECMO,1
chess,DateAdmittedICU,0.24529
chess,InfluenzaAunsubtypable,0.00005
chess,ObesityClinical,0.95221
chess,CauseOfDeath,0
chess,MinutesAdmittedICU,0
chess,Highflownasaloxygen,1
chess,SBPOrganismName,0.02406
chess,WasthepatientadmittedtoICU,0
chess,LabTestDate,0.983
chess,AsymptomaticTesting,0.43349
chess,InfluenzaAnonsubtyped,0.0004
chess,TravelIn14Days,0.65544
chess,AdmittedToICU,1
chess,RespiratorySupportNone,1
chess,AgeYear,0.99943
chess,AsthmaRequiring,0.95308
chess,SBPOther,0
chess,ChronicNeurological,0.95264
chess,OrganismName,0
chess,ObesityBMI,0.602
chess,YearofAdmission,0.99995
chess,EstimatedDateOnset,0.54321
chess,AdmissionFlu,0.45522
chess,InfluenzaAH3N2,0.00006
chess,PERSON_ID_DEID,0.99432
chess,HospitalAdmissionHours,0
chess,AgeMonth,0.99943
chess,ChronicRenal,0.95297
chess,Pregnancy,0.69182
chess,IsDiabetes,0.77864
chess,AntiCovid19Treatment,0
chess,NoninvasiveMechanicalventilation,1
chess,InfluenzaAH1N1pdm2009,0.00013
chess,HospitalAdmissionDate,0.99995
chess,FinalOutcome,0.97705
chess,ProductionDate,1
chess,SBDate,0
chess,ImmunosuppressionTreatment,0.95202
chess,ImmunosuppressionDisease,0.95206
chess,RespiratorySupportUnknown,0.89394
chess,Hypertension,0.95554
chess,InfluenzaB,0.00019
chess,TrustCode,1
chess,Ethnicity,0.97171
chess,SBOther,0
chess,SeriousMentalIllness,0.58726
chess,ChronicHeart,0.95424
chess,Covid19,1
chess,DiabetesType,0.11703
chess,GestationWeek,0.14967
chess,ChronicRespiratory,0.95369
chess,AdmissionRSV,0.4296
chess,HospitalAdmissionMinutes,0
chess,ChronicLiver,0.7769
chess,Mechanicalinvasiveventilationduration,0
chess,HoursAdmittedICU,0
chess,TrustName,1
chess,InfectionSwabDate,0.94493
chess,DateLeavingICU,0.19713
chess,IsARDSComplication,0.07607
chess,WorksAsHealthcareWorker,0.95242
chess,Prematurity,0.55681
chess,Invasivemechanicalventilation,1
chess,Typeofspecimen,1
chess,FinalOutcomeDate,0.89609
chess,WeekNo,1
chess,CaseId,1
chess,TransferDestination,0.07307
chess,WeekofAdmission,0.99995
chess,DateUpdated,0.64773
chess,SBPDate,0.04906
chess,RSV,0.00045
chess,Sex,1
chess,HospitalAdmissionAdmittedFrom,0.95924
covid_antibody_testing_pillar3,TestCentreID,1
covid_antibody_testing_pillar3,KeyWorkerType,0.95919
covid_antibody_testing_pillar3,DateOfOnset,0.56428
covid_antibody_testing_pillar3,Country,1
covid_antibody_testing_pillar3,Occupation,0.49082
covid_antibody_testing_pillar3,AccessionDate,1
covid_antibody_testing_pillar3,NonDigitalUser,1
covid_antibody_testing_pillar3,SpecimenID,1
covid_antibody_testing_pillar3,TestKit,0.67023
covid_antibody_testing_pillar3,TestType,1
covid_antibody_testing_pillar3,LocalAuthority,0.99897
covid_antibody_testing_pillar3,DateOfPositiveTest,0.54142
covid_antibody_testing_pillar3,SpecimenProcessedDate,1
covid_antibody_testing_pillar3,OrganisationId,0.00384
covid_antibody_testing_pillar3,TestResult,1
covid_antibody_testing_pillar3,AdministrationMethod,0
covid_antibody_testing_pillar3,WorkStatus,0.10164
covid_antibody_testing_pillar3,CovidSymptomatic,1
covid_antibody_testing_pillar3,RecordCreatedDate,1
covid_antibody_testing_pillar3,TestStartDate,1
covid_antibody_testing_pillar3,KeyWorkerID,0.95919
covid_antibody_testing_pillar3,AppointmentDate,1
covid_antibody_testing_pillar3,TestLocation,1
covid_antibody_testing_pillar3,Person_ID_DEID,1
covid_antibody_testing_pillar3,ProcessingLabCode,1
covid_antibody_testing_pillar3,ResultValueUnitOfMeasure,0.98416
covid_antibody_testing_pillar3,ParliamentaryConstituency,0.99897
covid_antibody_testing_pillar3,SubjectID,1
covid_antibody_testing_pillar3,CareHomeRole,0.16045
covid_antibody_testing_pillar3,IndustrySector,0.52317
covid_antibody_testing_pillar3,STP,0.99897
covid_antibody_testing_pillar3,NHSRegion,0.99897
covid_antibody_testing_pillar3,County,0.99897
covid_antibody_testing_pillar3,TestEndDate,1
covid_antibody_testing_pillar3,Analyser,1
covid_antibody_testing_pillar3,ProductionDate,1
covid_antigen_testing_pillar2,SubjectID,0.99959
covid_antigen_testing_pillar2,NHSRegion,0.99991
covid_antigen_testing_pillar2,TestCentreRefDataPostcode,0.1516
covid_antigen_testing_pillar2,CovidSymptomatic,0.96721
covid_antigen_testing_pillar2,NonDigitalUser,0.98274
covid_antigen_testing_pillar2,LocalAuthority,1
covid_antigen_testing_pillar2,SpecimenID,1
covid_antigen_testing_pillar2,IndustrySector,0.1812
covid_antigen_testing_pillar2,PostCodeCountry,0.99907
covid_antigen_testing_pillar2,RecordCreatedDate,0.99953
covid_antigen_testing_pillar2,ResultInfo,0.00291
covid_antigen_testing_pillar2,OrganisationId,0.50936
covid_antigen_testing_pillar2,SampleCreationDate,0.05556
covid_antigen_testing_pillar2,TestEndDate,0.99953
covid_antigen_testing_pillar2,AdministrationMethod,0.85214
covid_antigen_testing_pillar2,WorkOrStudyStatus,0.24442
covid_antigen_testing_pillar2,CountryCode,1
covid_antigen_testing_pillar2,ParliamentaryConstituency,0.99991
covid_antigen_testing_pillar2,TestStartDate,1
covid_antigen_testing_pillar2,Country,0.99614
covid_antigen_testing_pillar2,County,1
covid_antigen_testing_pillar2,STP,1
covid_antigen_testing_pillar2,TestResult,1
covid_antigen_testing_pillar2,WorkStatus,0.14477
covid_antigen_testing_pillar2,Occupation,0.29902
covid_antigen_testing_pillar2,ProcessingLabCode,0.99952
covid_antigen_testing_pillar2,ProductionDate,1
covid_antigen_testing_pillar2,ProcessTime,0.01126
covid_antigen_testing_pillar2,SpecimenProcessedDate,0.99953
covid_antigen_testing_pillar2,TestCentreID,1
covid_antigen_testing_pillar2,CareHomeRole,0.00969
covid_antigen_testing_pillar2,OccupationTitle,0.29785
covid_antigen_testing_pillar2,TestLocation,0.94545
covid_antigen_testing_pillar2,AppointmentDate,0.99953
covid_antigen_testing_pillar2,Person_ID_DEID,0.99995
covid_antigen_testing_pillar2,KeyWorkerType,0.12252
covid_antigen_testing_pillar2,TestCentreCountryName,0.06056
covid_antigen_testing_pillar2,TestType,0.98267
covid_antigen_testing_pillar2,KeyWorkerID,0.12252
covid_antigen_testing_pillar2,TestCentreCountry,0.15634
covid_antigen_testing_pillar2,DateOfOnset,0.08287
deaths,ICD9_ORIG_MENTION_7,0.0011
deaths,POD_CODE,1
deaths,CANCELLED_FLAG,1
deaths,ICD9_ORIG_MENTION_14,0
deaths,LSOAR,0.14782
deaths,ICD9_ORIG_MENTION_13,0
deaths,COR_INQ_DATES,0
deaths,ProductionDate,1
deaths,S_COD_CODE_9,0.00368
deaths,CTYR,0.7513
deaths,HAUTR,0.65463
deaths,S_COD_CODE_12,0.00041
deaths,WARDR,0.7513
deaths,UTLA9R,0.09032
deaths,S_COD_CODE_7,0.01909
deaths,S_COD_CODE_15,0.00006
deaths,REG_DISTRICT_CODE,1
deaths,OUT_SECCATDM,0.25047
deaths,S_COD_CODE_2,0.60443
deaths,S_COD_CODE_11,0.0008
deaths,S_COD_CODE_13,0.00021
deaths,POD_NHS_ESTABLISHMENT,0.75783
deaths,S_COD_CODE_5,0.09645
deaths,REG_SUB_DISTRICT_CODE,1
deaths,REG_SUB_DISTRICT_NAME,0.75314
deaths,REG_DATE,1
deaths,HAUTPOD,0.52258
deaths,ICD9_ORIG_MENTION_11,0
deaths,ICD9_ORIG_MENTION_12,0
deaths,DEC_BIRTH_COUNTRY_CODE,0.99995
deaths,S_COD_CODE_14,0.00012
deaths,NEO_NATE_FLAG,0.25
deaths,ICD9_ORIG_MENTION_15,0
deaths,ICD9_ORIG_MENTION_9,0.00013
deaths,S_COD_CODE_4,0.19802
deaths,ICD9_ORIG_MENTION_8,0.00038
deaths,S_UNDERLYING_COD_ICD9,0.25707
deaths,CTYDR,0.7513
deaths,POD_ESTABLISHMENT_TYPE,0.75783
deaths,ICD9_ORIG_MENTION_10,0.00005
deaths,OUT_SECCATHF,0.13108
deaths,S_COD_CODE_3,0.36935
deaths,DEC_OCC_TYPE,1
deaths,COR_AREA_NAME,0
deaths,GORR,0.62252
deaths,ICD9_ORIG_MENTION_2,0.1921
deaths,HROR,0.65463
deaths,REG_DISTRICT_NAME,0.99479
deaths,PCDIND,0.25442
deaths,S_COD_CODE_1,0.78524
deaths,SOC2KHF,0.12334
deaths,UTLA9POD,0.06942
deaths,CCGR,0.13851
deaths,CCGPOD,0.1071
deaths,ICD9_ORIG_MENTION_6,0.00333
deaths,S_INJURY_EXTERNAL,0.03567
deaths,REG_DATE_OF_DEATH,1
deaths,S_UNDERLYING_COD_ICD10,0.78524
deaths,ICD9_ORIG_MENTION_1,0.25707
deaths,DEC_RETIRED_IND,0.27029
deaths,S_COD_CODE_6,0.0438
deaths,DEC_CONF_NHS_NUMBER_CLEAN_DEID,0.99297
deaths,SOC2KDM,0.24386
deaths,ICD9_ORIG_MENTION_3,0.08629
deaths,S_COD_CODE_10,0.00169
deaths,ICD9_ORIG_MENTION_4,0.03062
deaths,S_COD_CODE_8,0.0083
deaths,ICD9_ORIG_MENTION_5,0.01008
epma_administration,ODS_CODE,1
epma_administration,REPORTED_DATE_TIME,1
epma_administration,NHS_NUMBER_DEID,0.94888
epma_administration,REASON_GIVEN_OR_NOT_GIVEN,0
epma_administration,MEDICATION_NAME,1
epma_administration,PATIENT_GENDER,0.94748
epma_administration,PATIENT_GP_PRACTICE_ODS_CODE,0.924
epma_administration,ProductionDate,1
epma_administration,PATIENT_LOCATION_CCG_ODS_CODE,0.93271
epma_administration,LAST_UPDATED_DATE,1
epma_administration,RECORDED_DATE_TIME,1
epma_administration,PATIENT_AGE,0.94794
epma_administration,PATIENT_GP_PRACTICE_LA_DISTRICT,0.92369
epma_administration,PATIENT_GP_PRACTICE_CCG_ODS_CODE,0.91851
epma_administration,PRESCRIPTION_ID_HASHED,0.95897
epma_administration,SCHEDULED_DATE_TIME,1
epma_administration,ADMINISTERED_DATE_TIME,0.7271
epma_administration,PATIENT_LSOA,0.931
epma_administration,ADMINISTRATION_ID_HASHED,1
epma_administration_dmd,ADMINISTRATION_ID_HASHED,1
epma_administration_dmd,MAPPED_DMD_CODE,1
epma_administration_dmd,VTM,0.8932
epma_administration_dmd,MAPPED_DMD_NAME,1
epma_administration_dmd,ProductionDate,1
epma_administration_dmd,MAPPED_DMD_INVALID,0.22202
epma_administration_dmd,VMPP,0
epma_administration_dmd,AMP,0.1758
epma_administration_dmd,AMPP,0
epma_administration_dmd,VMP_NAME,0.99927
epma_administration_dmd,MAPPED_DMD_LEVEL,1
epma_administration_dmd,MAPPED_DMD_SOURCE,1
epma_administration_dmd,VMP,0.99927
epma_administration_dmd,VMPP_NAME,0
epma_administration_dmd,AMP_NAME,0.1758
epma_administration_dmd,VTM_NAME,0.8932
epma_administration_dmd,AMPP_NAME,0
epma_administration_dosage,ProductionDate,1
epma_administration_dosage,DOSAGEAS_NEEDEDBOOLEAN,1
epma_administration_dosage,ROUTEINTEXT,0
epma_administration_dosage,ADMINISTRATION_ID_HASHED,1
epma_prescription,MEDICATION_NAME,1
epma_prescription,GROUP_TYPE,0.18614
epma_prescription,INITIAL_AUTHORISED_DATE_TIME,1
epma_prescription,LINK_TO,0.11769
epma_prescription,PATIENT_GP_PRACTICE_ODS_CODE,0.93109
epma_prescription,PATIENT_GENDER,0.93872
epma_prescription,ProductionDate,1
epma_prescription,PATIENT_GP_PRACTICE_LA_DISTRICT,0.93072
epma_prescription,LINK_FROM,0.11767
epma_prescription,PATIENT_LOCATION_CCG_ODS_CODE,0.92682
epma_prescription,FORM,0.95935
epma_prescription,ORDER_ID,1
epma_prescription,REPORTED_DATE_TIME,1
epma_prescription,LAST_AUTHORISED_DATE_TIME,1
epma_prescription,PRESCRIPTION_ID_HASHED,1
epma_prescription,VERSION,1
epma_prescription,PATIENT_LSOA,0.92623
epma_prescription,TYPE,1
epma_prescription,NHS_NUMBER_DEID,0.94027
epma_prescription,STATUS,1
epma_prescription,ODS_CODE,1
epma_prescription,PATIENT_AGE,0.93922
epma_prescription,PATIENT_GP_PRACTICE_CCG_ODS_CODE,0.9272
epma_prescription_chemical,CHEMICAL,0.98399
epma_prescription_chemical,ProductionDate,1
epma_prescription_chemical,PRESCRIPTION_ID_HASHED,1
epma_prescription_chemical,STRENGTH_TEXT,0.8541
epma_prescription_dmd,MAPPED_DMD_INVALID,0.20494
epma_prescription_dmd,VMP,0.99947
epma_prescription_dmd,ProductionDate,1
epma_prescription_dmd,MAPPED_DMD_SOURCE,1
epma_prescription_dmd,PRESCRIPTION_ID_HASHED,1
epma_prescription_dmd,VTM_NAME,0.94619
epma_prescription_dmd,AMP,0.14098
epma_prescription_dmd,AMPP,0
epma_prescription_dmd,MAPPED_DMD_LEVEL,1
epma_prescription_dmd,VMPP,0
epma_prescription_dmd,AMP_NAME,0.14098
epma_prescription_dmd,VMP_NAME,0.99947
epma_prescription_dmd,AMPP_NAME,0
epma_prescription_dmd,VTM,0.94619
epma_prescription_dmd,VMPP_NAME,0
epma_prescription_dmd,MAPPED_DMD_CODE,1
epma_prescription_dmd,MAPPED_DMD_NAME,1
epma_prescription_dosage,DOSAGE_SEQUENCE,1
epma_prescription_dosage,ALTERNATIVE_DOSE_QUANTITY_UNIT,0
epma_prescription_dosage,ProductionDate,1
epma_prescription_dosage,DOSAGE_AS_NEEDED_BOOLEAN,1
epma_prescription_dosage,DOSE_QUANTITY_VALUE,1
epma_prescription_dosage,END_DATE_TIME,0.27026
epma_prescription_dosage,PRESCRIPTION_ID_HASHED,1
epma_prescription_dosage,FREQUENCY_DESCRIPTION,0
epma_prescription_dosage,DOSE_QUANTITY_UNIT,0
epma_prescription_dosage,START_DATE_TIME,1
epma_prescription_dosage,DOSAGE_AS_NEEDED_BOOLEAN_REASON,0
epma_prescription_dosage,ROUTE_DESCRIPTION,0
epma_prescription_dosage,ALTERNATIVE_DOSE_QUANTITY_VALUE,0.75332
gdppr,VALUE2_CONDITION,0.01101
