dataset,archived_on,n,n_id,n_id_distinct
chess,2024-12-02,110805,110180,100250
covid_antibody_testing_pillar3,2023-03-31,945445,945445,751385
covid_antigen_testing_pillar2,2024-02-27,439889765,439867150,44960955
deaths,2025-07-28,17488935,17366000,17363245
epma_administration,2023-09-28,466359450,442518555,1893545
epma_administration_dmd,2024-03-27,473957820,10,10
epma_administration_dosage,2023-09-28,466359450,10,10
epma_prescription,2023-09-28,91931650,86440210,2289280
epma_prescription_chemical,2023-09-28,91931650,10,10
epma_prescription_dmd,2024-03-27,89832880,10,10
epma_prescription_dosage,2023-09-28,91931650,10,10
gdppr,2025-07-28,15704944165,15704925910,67870295
hes_ae,2025-07-28,239573075,239573075,58602365
hes_ae_otr,2025-07-28,239573075,239573075,59393315
hes_apc,2025-07-28,503589065,503589065,77146400
hes_apc_acp,2025-07-28,1488340,1488340,1173335
hes_apc_mat,2025-07-28,37046215,37046215,26790975
hes_apc_otr,2025-07-28,503589065,503589065,77146400
hes_cc,2025-07-28,11667405,11667405,3659405
hes_cc_otr,2025-07-28,11667405,11667405,3662090
hes_op,2025-07-28,2190215950,2190215950,83378310
hes_op_otr,2025-07-28,2190215950,2190215950,84238475
iapt_v1_5_appointment,2025-02-04,57442630,55661455,null
iapt_v1_5_assessments,2025-02-04,1158810,1094540,null
iapt_v1_5_disability,2025-02-04,1222555,1148985,null
iapt_v1_5_header,2025-02-04,15360,10,null
iapt_v1_5_person,2025-02-04,14360285,13712615,null
iapt_v1_5_referral,2025-02-04,14509865,13925730,null
iapt_v1_5_treatments,2025-02-04,664930,640210,null
iapt_v1_5_waitingtimes,2025-02-04,842135,827630,null
iapt_v2_1_care_activities,2025-07-28,59906700,59906360,5015600
iapt_v2_1_care_cluster,2025-07-28,6190240,6190195,3076060
iapt_v2_1_coded_scored_assessments,2025-07-28,201884015,201883030,4606130
iapt_v2_1_demographics_and_referral,2025-07-28,11310250,11310130,5784015
iapt_v2_1_employment_status,2025-07-28,25440225,25440120,4293840
iapt_v2_1_internet_enabled_therapies,2025-07-28,2567680,2567680,258635
iapt_v2_1_mental_and_physical_health_conditions,2025-07-28,28913165,28912860,4604115
iapt_v2_1_onward_referrals,2025-07-28,231050,231045,202425
iapt_v2_1_waiting_time_pauses,2025-07-28,357095,357095,227675
icnarc,2025-07-28,71140,71140,59860
lowlat_apc,2025-07-28,133828960,133828745,32036110
lowlat_cc,2025-07-28,7431130,7431130,1618600
lowlat_ecds,2025-07-28,143702800,143702755,46904830
lowlat_op,2025-07-28,761665915,761665850,54411045
mhs001mpi,2024-07-09,13234140,13233275,null
mhs002gp,2024-07-09,20947380,20946340,null
mhs003accommstatus,2024-07-09,79317210,79316825,null
mhs004empstatus,2024-07-09,71384700,71384375,null
mhs005patind,2024-07-09,71596855,71596360,null
mhs006mhcarecoord,2024-07-09,9654205,9654130,null
mhs007disabilitytype,2024-07-09,28483955,28483640,null
mhs008careplantype,2024-07-09,8650485,8650440,null
mhs009careplanagreement,2024-07-09,4401715,4401695,null
mhs010asstechtosupportdistyp,2024-07-09,975,975,null
mhs011socpercircumstances,2024-07-09,12724275,12724090,null
mhs012overseasvisitorchargcat,2024-07-09,7226815,7226795,null
mhs101referral,2024-07-09,37767775,37767060,null
mhs102servicetypereferredto,2024-07-09,37076100,37075500,null
mhs103otherreasonreferral,2024-07-09,7276795,7276770,null
mhs104rtt,2024-07-09,3726670,3726670,null
mhs105onwardreferral,2024-07-09,1591320,1591290,null
mhs106dischargeplanagreement,2024-07-09,175680,175680,null
mhs201carecontact,2024-07-09,222605540,222603395,null
mhs202careactivity,2024-07-09,177829895,177828800,null
mhs203otherattend,2024-07-09,2296565,2296515,null
mhs204indirectactivity,2024-07-09,20577195,20577095,null
mhs301groupsession,2024-07-09,1169250,10,null
mhs302mhdropincontact,2024-07-09,958680,10,null
mhs401mhactperiod,2024-07-09,1046710,1046665,null
mhs402respclinicianassignperiod,2024-07-09,770960,770940,null
mhs403conditionaldischarge,2024-07-09,260040,260040,null
mhs404commtreatorder,2024-07-09,844420,844420,null
mhs405commtreatorderrecall,2024-07-09,1452805,1452805,null
mhs501hospprovspell,2024-07-09,980975,980935,null
mhs502wardstay,2024-07-09,1759320,1759280,null
mhs503assignedcareprof,2024-07-09,1424915,1424885,null
mhs504delayeddischarge,2024-07-09,55115,55115,null
mhs505restrictiveinterventinc,2024-07-09,391940,391930,null
mhs506assault,2024-07-09,170775,170770,null
mhs507selfharm,2024-07-09,508990,508990,null
mhs509homeleave,2024-07-09,376330,376330,null
mhs510leaveofabsence,2024-07-09,977680,977680,null
mhs511absencewithoutleave,2024-07-09,36525,36525,null
mhs512hospspellcommassper,2024-07-09,1016340,1016305,null
mhs513substancemisuse,2024-07-09,6260,6260,null
mhs514trialleave,2024-07-09,20385,20385,null
mhs515restrictiveinterventtype,2024-07-09,550235,550215,null
mhs516policeassistancerequest,2024-07-09,32975,32975,null
mhs517smhexceptionalpackofcare,2024-07-09,4040,4040,null
mhs601medhistprevdiag,2024-07-09,104298980,104298745,null
mhs603provdiag,2024-07-09,2824170,2824135,null
mhs604primdiag,2024-07-09,6010540,6010465,null
mhs605secdiag,2024-07-09,6586795,6586765,null
mhs606codedscoreassessmentrefer,2024-07-09,55184115,55183690,null
mhs607codedscoreassessmentact,2024-07-09,88299795,88299480,null
mhs701cpacareepisode,2024-07-09,1879090,1879080,null
mhs702cpareview,2024-07-09,15289995,15289910,null
mhs801clustertool,2024-07-09,140214975,140214860,null
mhs802clusterassess,2024-07-09,145671770,145671295,null
mhs803carecluster,2024-07-09,9110375,9110350,null
mhs804fiveforensicpathways,2024-07-09,14690,14685,null
mhs901staffdetails,2024-07-09,29182480,10,null
mhsds_v6_mhs001mpi,2025-07-28,15596685,15592030,12641160
mhsds_v6_mhs002gp,2025-07-28,22066990,22062090,12641160
mhsds_v6_mhs003accommstatus,2025-07-28,93985635,93985115,4932755
mhsds_v6_mhs004empstatus,2025-07-28,83987760,83987345,4038200
mhsds_v6_mhs005patind,2025-07-28,89524585,89523895,6840640
mhsds_v6_mhs006mhcarecoord,2025-07-28,10794710,10794605,3728385
mhsds_v6_mhs007disabilitytype,2025-07-28,36835705,36835280,2040160
mhsds_v6_mhs008careplantype,2025-07-28,9994035,9993970,2440640
mhsds_v6_mhs009careplanagreement,2025-07-28,5091495,5091465,1187995
mhsds_v6_mhs010asstechtosupportdistyp,2025-07-28,1650,1650,905
mhsds_v6_mhs011socpercircumstances,2025-07-28,15178440,15178205,3543070
mhsds_v6_mhs012overseasvisitorchargcat,2025-07-28,9349290,9349265,820575
mhsds_v6_mhs014emed3fitnote,2025-07-28,30,30,30
mhsds_v6_mhs101referral,2025-07-28,44225320,44222100,11726655
mhsds_v6_mhs102otherservicetype,2025-07-28,37945465,37944850,9898600
mhsds_v6_mhs103otherreasonreferral,2025-07-28,8526975,8526940,809790
mhsds_v6_mhs104rtt,2025-07-28,4270415,4270415,620735
mhsds_v6_mhs105onwardreferral,2025-07-28,1803675,1803645,689495
mhsds_v6_mhs106dischargeplanagreement,2025-07-28,208040,208040,137795
mhsds_v6_mhs201carecontact,2025-07-28,257908550,257904980,9343055
mhsds_v6_mhs202careactivity,2025-07-28,214554070,214552315,6888210
mhsds_v6_mhs203otherattend,2025-07-28,3095180,3095130,248935
mhsds_v6_mhs204indirectactivity,2025-07-28,25227835,25227680,2419160
mhsds_v6_mhs205patientsddi,2025-07-28,182360,182340,6685
mhsds_v6_mhs206staffactivity,2025-07-28,20061295,20061255,1260110
mhsds_v6_mhs301groupsession,2025-07-28,1330455,10,10
mhsds_v6_mhs302mhdropincontact,2025-07-28,1458175,10,10
mhsds_v6_mhs401mhactperiod,2025-07-28,1181255,1181200,392130
mhsds_v6_mhs402respclinicianassignperiod,2025-07-28,890340,890320,244495
mhsds_v6_mhs403conditionaldischarge,2025-07-28,261000,261000,4625
mhsds_v6_mhs404commtreatorder,2025-07-28,854675,854675,34260
mhsds_v6_mhs405commtreatorderrecall,2025-07-28,1454485,1454485,11390
mhsds_v6_mhs501hospprovspell,2025-07-28,1092775,1092735,498310
mhsds_v6_mhs502wardstay,2025-07-28,1919555,1919505,488410
mhsds_v6_mhs503assignedcareprof,2025-07-28,1589175,1589145,464325
mhsds_v6_mhs504delayeddischarge,2025-07-28,55115,55115,40520
mhsds_v6_mhs505restrictiveinterventinc,2025-07-28,601015,601000,49860
mhsds_v6_mhs506assault,2025-07-28,194045,194040,53745
mhsds_v6_mhs507selfharm,2025-07-28,596175,596175,40205
mhsds_v6_mhs509homeleave,2025-07-28,425450,425450,107295
mhsds_v6_mhs510leaveofabsence,2025-07-28,1122665,1122665,63915
mhsds_v6_mhs511absencewithoutleave,2025-07-28,41330,41330,17795
mhsds_v6_mhs512hospspellcommassper,2025-07-28,1137885,1137845,445090
mhsds_v6_mhs513substancemisuse,2025-07-28,7615,7615,4590
mhsds_v6_mhs514trialleave,2025-07-28,21640,21640,4895
mhsds_v6_mhs515restrictiveinterventtype,2025-07-28,876780,876765,47850
mhsds_v6_mhs516policeassistancerequest,2025-07-28,47420,47420,7420
mhsds_v6_mhs517smhexceptionalpackofcare,2025-07-28,5625,5625,825
mhsds_v6_mhs518clinreadyfordischarge,2025-07-28,19740,19740,11335
mhsds_v6_mhs601medhistprevdiag,2025-07-28,125274705,125274395,1150880
mhsds_v6_mhs603provdiag,2025-07-28,2824170,2824135,774815
mhsds_v6_mhs604primdiag,2025-07-28,6635745,6635655,1775270
mhsds_v6_mhs605secdiag,2025-07-28,7370315,7370285,693925
mhsds_v6_mhs606codedscoreassessmentrefer,2025-07-28,66477145,66476560,2217650
mhsds_v6_mhs607codedscoreassessmentact,2025-07-28,107770375,107770040,1353810
mhsds_v6_mhs609prescomp,2025-07-28,362340,362330,171415
mhsds_v6_mhs701cpacareepisode,2025-07-28,2006000,2005990,908105
mhsds_v6_mhs702cpareview,2025-07-28,16602980,16602880,639660
mhsds_v6_mhs801clustertool,2025-07-28,140214975,140214860,2952230
mhsds_v6_mhs802clusterassess,2025-07-28,145671770,145671295,2418450
