dataset,column_name,archived_on,completeness
chess,ChronicNeurological,2024-12-02,95.264
chess,ChronicLiver,2024-12-02,77.69
chess,IsARDSComplication,2024-12-02,7.607
chess,InfluenzaAunsubtypable,2024-12-02,0.005
chess,RespiratorySupportNone,2024-12-02,100
chess,ObesityBMI,2024-12-02,60.2
chess,ChronicRenal,2024-12-02,95.297
chess,PatientStillOnICU,2024-12-02,24.368
chess,HospitalAdmissionMinutes,2024-12-02,0
chess,Typeofspecimen,2024-12-02,100
chess,TravelIn14Days,2024-12-02,65.544
chess,AdmittedToICU,2024-12-02,100
chess,NoninvasiveMechanicalventilation,2024-12-02,100
chess,CaseId,2024-12-02,100
chess,ImmunosuppressionTreatment,2024-12-02,95.202
chess,DiabetesType,2024-12-02,11.703
chess,DateUpdated,2024-12-02,64.773
chess,InfluenzaAH3N2,2024-12-02,0.006
chess,AgeMonth,2024-12-02,99.943
chess,WorksAsHealthcareWorker,2024-12-02,95.242
chess,ProductionDate,2024-12-02,100
chess,AsthmaRequiring,2024-12-02,95.308
chess,YearofAdmission,2024-12-02,99.995
chess,TrustName,2024-12-02,100
chess,SBPOrganismName,2024-12-02,2.406
chess,DateAdmittedICU,2024-12-02,24.529
chess,AdmissionCOVID19,2024-12-02,96.022
chess,ImmunosuppressionDisease,2024-12-02,95.206
chess,OrganismName,2024-12-02,0
chess,IsDiabetes,2024-12-02,77.864
chess,InfluenzaAH1N1pdm2009,2024-12-02,0.013
chess,SBPDate,2024-12-02,4.906
chess,AdmissionRSV,2024-12-02,42.96
chess,HospitalAdmissionAdmittedFrom,2024-12-02,95.924
chess,Ethnicity,2024-12-02,97.171
chess,Sex,2024-12-02,100
chess,Mechanicalinvasiveventilationduration,2024-12-02,0
chess,DateLeavingICU,2024-12-02,19.713
chess,InfectionSwabDate,2024-12-02,94.493
chess,EstimatedDateOnset,2024-12-02,54.321
chess,HospitalAdmissionHours,2024-12-02,0
chess,WasthepatientadmittedtoICU,2024-12-02,0
chess,SeriousMentalIllness,2024-12-02,58.726
chess,GestationWeek,2024-12-02,14.967
chess,PERSON_ID_DEID,2024-12-02,99.432
chess,AsymptomaticTesting,2024-12-02,43.349
chess,TransferDestination,2024-12-02,7.307
chess,Pregnancy,2024-12-02,69.182
chess,SBOther,2024-12-02,0
chess,AgeYear,2024-12-02,99.943
chess,InfluenzaAnonsubtyped,2024-12-02,0.04
chess,ChronicRespiratory,2024-12-02,95.369
chess,FinalOutcome,2024-12-02,97.705
chess,RespiratorySupportECMO,2024-12-02,100
chess,ChronicHeart,2024-12-02,95.424
chess,RSV,2024-12-02,0.045
chess,FinalOutcomeDate,2024-12-02,89.609
chess,InfluenzaB,2024-12-02,0.019
chess,TrustCode,2024-12-02,100
chess,Prematurity,2024-12-02,55.681
chess,CauseOfDeath,2024-12-02,0
chess,Invasivemechanicalventilation,2024-12-02,100
chess,HoursAdmittedICU,2024-12-02,0
chess,LabTestDate,2024-12-02,98.3
chess,SBDate,2024-12-02,0
chess,HospitalAdmissionDate,2024-12-02,99.995
chess,WeekNo,2024-12-02,100
chess,Hypertension,2024-12-02,95.554
chess,WeekofAdmission,2024-12-02,99.995
chess,Oxygenviacannulaeormask,2024-12-02,100
chess,AdmissionFlu,2024-12-02,45.522
chess,SBPOther,2024-12-02,0
chess,Covid19,2024-12-02,100
chess,Highflownasaloxygen,2024-12-02,100
chess,MinutesAdmittedICU,2024-12-02,0
chess,ObesityClinical,2024-12-02,95.221
chess,AntiCovid19Treatment,2024-12-02,0
chess,RespiratorySupportUnknown,2024-12-02,89.394
covid_antibody_testing_pillar3,RecordCreatedDate,2023-03-31,100
covid_antibody_testing_pillar3,Analyser,2023-03-31,100
covid_antibody_testing_pillar3,ResultValueUnitOfMeasure,2023-03-31,98.416
covid_antibody_testing_pillar3,WorkStatus,2023-03-31,10.164
covid_antibody_testing_pillar3,DateOfOnset,2023-03-31,56.428
covid_antibody_testing_pillar3,OrganisationId,2023-03-31,0.384
covid_antibody_testing_pillar3,STP,2023-03-31,99.897
covid_antibody_testing_pillar3,ProductionDate,2023-03-31,100
covid_antibody_testing_pillar3,AppointmentDate,2023-03-31,100
covid_antibody_testing_pillar3,TestEndDate,2023-03-31,100
covid_antibody_testing_pillar3,ProcessingLabCode,2023-03-31,100
covid_antibody_testing_pillar3,TestCentreID,2023-03-31,100
covid_antibody_testing_pillar3,TestResult,2023-03-31,100
covid_antibody_testing_pillar3,Person_ID_DEID,2023-03-31,100
covid_antibody_testing_pillar3,ParliamentaryConstituency,2023-03-31,99.897
covid_antibody_testing_pillar3,KeyWorkerID,2023-03-31,95.919
covid_antibody_testing_pillar3,CareHomeRole,2023-03-31,16.045
covid_antibody_testing_pillar3,SubjectID,2023-03-31,100
covid_antibody_testing_pillar3,Country,2023-03-31,100
covid_antibody_testing_pillar3,NonDigitalUser,2023-03-31,100
covid_antibody_testing_pillar3,IndustrySector,2023-03-31,52.317
covid_antibody_testing_pillar3,TestType,2023-03-31,100
covid_antibody_testing_pillar3,LocalAuthority,2023-03-31,99.897
covid_antibody_testing_pillar3,SpecimenProcessedDate,2023-03-31,100
covid_antibody_testing_pillar3,KeyWorkerType,2023-03-31,95.919
covid_antibody_testing_pillar3,TestKit,2023-03-31,67.023
covid_antibody_testing_pillar3,SpecimenID,2023-03-31,100
covid_antibody_testing_pillar3,TestLocation,2023-03-31,100
covid_antibody_testing_pillar3,AccessionDate,2023-03-31,100
covid_antibody_testing_pillar3,Occupation,2023-03-31,49.082
covid_antibody_testing_pillar3,County,2023-03-31,99.897
covid_antibody_testing_pillar3,DateOfPositiveTest,2023-03-31,54.142
covid_antibody_testing_pillar3,TestStartDate,2023-03-31,100
covid_antibody_testing_pillar3,CovidSymptomatic,2023-03-31,100
covid_antibody_testing_pillar3,NHSRegion,2023-03-31,99.897
covid_antibody_testing_pillar3,AdministrationMethod,2023-03-31,0
covid_antigen_testing_pillar2,STP,2024-02-27,100
covid_antigen_testing_pillar2,ProcessingLabCode,2024-02-27,99.952
covid_antigen_testing_pillar2,TestCentreID,2024-02-27,100
covid_antigen_testing_pillar2,ProcessTime,2024-02-27,1.126
covid_antigen_testing_pillar2,NHSRegion,2024-02-27,99.991
covid_antigen_testing_pillar2,OccupationTitle,2024-02-27,29.785
covid_antigen_testing_pillar2,DateOfOnset,2024-02-27,8.287
covid_antigen_testing_pillar2,PostCodeCountry,2024-02-27,99.907
covid_antigen_testing_pillar2,SpecimenID,2024-02-27,100
covid_antigen_testing_pillar2,AdministrationMethod,2024-02-27,85.214
covid_antigen_testing_pillar2,KeyWorkerID,2024-02-27,12.252
covid_antigen_testing_pillar2,TestLocation,2024-02-27,94.545
covid_antigen_testing_pillar2,CovidSymptomatic,2024-02-27,96.721
covid_antigen_testing_pillar2,CareHomeRole,2024-02-27,0.969
covid_antigen_testing_pillar2,SubjectID,2024-02-27,99.959
covid_antigen_testing_pillar2,IndustrySector,2024-02-27,18.12
covid_antigen_testing_pillar2,ResultInfo,2024-02-27,0.291
covid_antigen_testing_pillar2,TestCentreRefDataPostcode,2024-02-27,15.16
covid_antigen_testing_pillar2,WorkStatus,2024-02-27,14.477
covid_antigen_testing_pillar2,TestStartDate,2024-02-27,100
covid_antigen_testing_pillar2,SpecimenProcessedDate,2024-02-27,99.953
covid_antigen_testing_pillar2,NonDigitalUser,2024-02-27,98.274
covid_antigen_testing_pillar2,Occupation,2024-02-27,29.902
covid_antigen_testing_pillar2,TestEndDate,2024-02-27,99.953
covid_antigen_testing_pillar2,WorkOrStudyStatus,2024-02-27,24.442
covid_antigen_testing_pillar2,OrganisationId,2024-02-27,50.936
covid_antigen_testing_pillar2,ParliamentaryConstituency,2024-02-27,99.991
covid_antigen_testing_pillar2,CountryCode,2024-02-27,100
covid_antigen_testing_pillar2,Country,2024-02-27,99.614
covid_antigen_testing_pillar2,TestCentreCountryName,2024-02-27,6.056
covid_antigen_testing_pillar2,SampleCreationDate,2024-02-27,5.556
covid_antigen_testing_pillar2,AppointmentDate,2024-02-27,99.953
covid_antigen_testing_pillar2,KeyWorkerType,2024-02-27,12.252
covid_antigen_testing_pillar2,RecordCreatedDate,2024-02-27,99.953
covid_antigen_testing_pillar2,ProductionDate,2024-02-27,100
covid_antigen_testing_pillar2,TestType,2024-02-27,98.267
covid_antigen_testing_pillar2,LocalAuthority,2024-02-27,100
covid_antigen_testing_pillar2,TestResult,2024-02-27,100
covid_antigen_testing_pillar2,TestCentreCountry,2024-02-27,15.634
covid_antigen_testing_pillar2,Person_ID_DEID,2024-02-27,99.995
covid_antigen_testing_pillar2,County,2024-02-27,100
deaths,SOC2KHF,2025-11-04,12.365
deaths,ICD9_ORIG_MENTION_12,2025-11-04,0
deaths,HROR,2025-11-04,64.987
deaths,S_COD_CODE_11,2025-11-04,0.082
deaths,GORR,2025-11-04,61.799
deaths,REG_DISTRICT_CODE,2025-11-04,100
deaths,ICD9_ORIG_MENTION_6,2025-11-04,0.331
deaths,ICD9_ORIG_MENTION_8,2025-11-04,0.038
deaths,CCGPOD,2025-11-04,10.632
deaths,REG_DATE,2025-11-04,100
deaths,S_UNDERLYING_COD_ICD10,2025-11-04,78.698
deaths,ICD9_ORIG_MENTION_2,2025-11-04,19.07
deaths,SOC2KDM,2025-11-04,24.446
deaths,S_COD_CODE_9,2025-11-04,0.376
deaths,ICD9_ORIG_MENTION_4,2025-11-04,3.039
deaths,LSOAR,2025-11-04,14.674
deaths,ICD9_ORIG_MENTION_11,2025-11-04,0
deaths,ICD9_ORIG_MENTION_3,2025-11-04,8.566
deaths,ICD9_ORIG_MENTION_15,2025-11-04,0
deaths,REG_DATE_OF_DEATH,2025-11-04,100
deaths,DEC_RETIRED_IND,2025-11-04,27.387
