MapId	ReadCode	TermCode	ConceptId	DescriptionId	IS_ASSURED	EffectiveDate	MapStatus
{f9acc33c-2623-11e3-a0b5-00ff3a5bce8f}	0....	00	14679004	476525017	1	20130925	1
{f9acc3d1-2623-11e3-a0b5-00ff3a5bce8f}	0....	11	14679004	24938015	1	20130925	1
{f9acc3ef-2623-11e3-a0b5-00ff3a5bce8f}	01...	00	265911003	395138017	1	20130925	1
{f9acc3fe-2623-11e3-a0b5-00ff3a5bce8f}	01...	11	308050009	451353015	1	20130925	1
{f9acc40a-2623-11e3-a0b5-00ff3a5bce8f}	011..	00	158744001	247411016	1	20130925	1
{f9acc419-2623-11e3-a0b5-00ff3a5bce8f}	0111.	00	158745000	247412011	1	20130925	1
{bd46be97-cfab-11e4-8a0d-00ff405f23de}	0111.	11	158745000	247413018	1	20150321	1
{f9acc424-2623-11e3-a0b5-00ff3a5bce8f}	0111.	11	158745000	247413018	0	20130925	1
{f9acc424-2623-11e3-a0b5-00ff3a5bce8f}	0111.	11	158745000	247413018	0	20150321	0
{f9acc433-2623-11e3-a0b5-00ff3a5bce8f}	0112.	00	158746004	247414012	1	20130925	1
{f9acc43f-2623-11e3-a0b5-00ff3a5bce8f}	0113.	00	158747008	247415013	1	20130925	1
{f9acc44a-2623-11e3-a0b5-00ff3a5bce8f}	011Z.	00	158744001	247411016	0	20130925	1
{f9acc456-2623-11e3-a0b5-00ff3a5bce8f}	012..	00	158749006	247417017	0	20130925	1
{f9acc465-2623-11e3-a0b5-00ff3a5bce8f}	0121.	00	158750006	247418010	0	20130925	1
{f9acc470-2623-11e3-a0b5-00ff3a5bce8f}	012Z.	00	158749006	247417017	0	20130925	1
{58e06ed7-f13f-11e5-a545-b8ca3ac18f3c}	013..	00	265912005	395139013	1	20160323	1
{f9acc47c-2623-11e3-a0b5-00ff3a5bce8f}	013..	00	265912005	395139013	0	20130925	1
{f9acc47c-2623-11e3-a0b5-00ff3a5bce8f}	013..	00	265912005	395139013	0	20160323	0
{f9acc487-2623-11e3-a0b5-00ff3a5bce8f}	013..	11	308169002	451489012	1	20130925	1
{f9acc493-2623-11e3-a0b5-00ff3a5bce8f}	013..	12	308168005	451488016	1	20130925	1
{f9acc49e-2623-11e3-a0b5-00ff3a5bce8f}	0131.	00	158753008	247424016	1	20130925	1
{f9acc4a9-2623-11e3-a0b5-00ff3a5bce8f}	0132.	00	158754002	247425015	1	20130925	1
{f9acc4b5-2623-11e3-a0b5-00ff3a5bce8f}	0133.	00	158755001	247426019	1	20130925	1
{f9acc4c0-2623-11e3-a0b5-00ff3a5bce8f}	0134.	00	1637009	3841015	1	20130925	1
{a3b8503b-13b3-11e7-a3e9-b8ca3ac18f3c}	013Z.	00	265912005	395139013	1	20170328	1
{f9acc4cf-2623-11e3-a0b5-00ff3a5bce8f}	013Z.	00	265912005	395139013	0	20130925	1
{f9acc4cf-2623-11e3-a0b5-00ff3a5bce8f}	013Z.	00	265912005	395139013	0	20170328	0
{f9acc4db-2623-11e3-a0b5-00ff3a5bce8f}	01Z..	00	265911003	395138017	1	20130925	1
{f9acc4ea-2623-11e3-a0b5-00ff3a5bce8f}	02...	00	158758004	247429014	1	20130925	1
{a3b8526e-13b3-11e7-a3e9-b8ca3ac18f3c}	021..	00	271554005	406375011	1	20170328	1
{f9acc4f5-2623-11e3-a0b5-00ff3a5bce8f}	021..	00	271554005	406375011	0	20140917	0
{bdc73bbe-cfab-11e4-8a0d-00ff405f23de}	021..	00	271554005	2670095014	1	20170328	0
{32f8eaf7-3ead-11e4-a733-00ff5b292fba}	021..	00	271554005	2670095014	0	20140917	1
{f9acc4f5-2623-11e3-a0b5-00ff3a5bce8f}	021..	00	271554005	406375011	0	20130925	1
{bdc73bbe-cfab-11e4-8a0d-00ff405f23de}	021..	00	271554005	2670095014	1	20150321	1
{32f8eaf7-3ead-11e4-a733-00ff5b292fba}	021..	00	271554005	2670095014	0	20150321	0
{a3b852e8-13b3-11e7-a3e9-b8ca3ac18f3c}	021..	11	271554005	406375011	1	20170328	1
{32f8ec55-3ead-11e4-a733-00ff5b292fba}	021..	11	271554005	2670095014	1	20170328	0
{f9acc501-2623-11e3-a0b5-00ff3a5bce8f}	021..	11	271554005	406375011	1	20130925	1
{32f8ec55-3ead-11e4-a733-00ff5b292fba}	021..	11	271554005	2670095014	1	20140917	1
{f9acc501-2623-11e3-a0b5-00ff3a5bce8f}	021..	11	271554005	406375011	1	20140917	0
{bd46c8d8-cfab-11e4-8a0d-00ff405f23de}	021..	12	271554005	406376012	1	20150321	1
{f9acc50c-2623-11e3-a0b5-00ff3a5bce8f}	021..	12	271554005	406376012	0	20130925	1
{f9acc50c-2623-11e3-a0b5-00ff3a5bce8f}	021..	12	271554005	406376012	0	20150321	0
{f9acc518-2623-11e3-a0b5-00ff3a5bce8f}	0211.	00	11205001	19413017	1	20130925	1
{f9acc523-2623-11e3-a0b5-00ff3a5bce8f}	0212.	00	158760002	247435014	1	20130925	1
{bd46ca9d-cfab-11e4-8a0d-00ff405f23de}	0212.	11	158760002	247434013	1	20150321	1
{f9acc52f-2623-11e3-a0b5-00ff3a5bce8f}	0212.	11	158760002	247434013	0	20130925	1
{f9acc52f-2623-11e3-a0b5-00ff3a5bce8f}	0212.	11	158760002	247434013	0	20150321	0
{f9acc53a-2623-11e3-a0b5-00ff3a5bce8f}	0213.	00	265913000	395140010	1	20130925	1
{f9acc545-2623-11e3-a0b5-00ff3a5bce8f}	0213.	11	307789005	451160016	1	20130925	1
{f9acc551-2623-11e3-a0b5-00ff3a5bce8f}	0213.	12	307790001	451161017	1	20130925	1
{bd46cc9b-cfab-11e4-8a0d-00ff405f23de}	0213.	13	265913000	395141014	1	20150321	1
{f9acc55c-2623-11e3-a0b5-00ff3a5bce8f}	0213.	13	265913000	395141014	0	20130925	1
{f9acc55c-2623-11e3-a0b5-00ff3a5bce8f}	0213.	13	265913000	395141014	0	20150321	0
{f9acc568-2623-11e3-a0b5-00ff3a5bce8f}	0214.	00	158762005	247441019	1	20130925	1
{f9acc573-2623-11e3-a0b5-00ff3a5bce8f}	0215.	00	158763000	247442014	1	20130925	1
{f9acc57e-2623-11e3-a0b5-00ff3a5bce8f}	0216.	00	158764006	247443016	1	20130925	1
